condition,sign,model_cohort,receiver_scope,evaluation_split,specification,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_query_biophysics,delta_auroc_from_ordinary_structure,delta_auroc_full_minus_specification
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_biophysics,5650,171,0.9576726909301236,0.9581554423232808,0.9442463782415951,0.0,-0.0018190325157857457,0.002292805467648096
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_plus_ordinary_structure,5650,171,0.9594917234459094,0.9610337752157743,0.9494662836207033,0.0018190325157857457,0.0,0.00047377295186235013
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_plus_structure_and_water,5650,171,0.9599654963977717,0.9618527641854758,0.9500765535623255,0.002292805467648096,0.00047377295186235013,0.0
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without_rsa,5650,171,0.9604824990953079,0.9606972359049625,0.9501915106743324,0.00280980816518428,0.0009907756493985342,-0.0005170026975361841
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__geometry,5650,171,0.9596440926364581,0.9615183354029311,0.9495392269240317,0.0019714017063344746,0.000152369190548729,0.00032140376131362114
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__contact_network,5650,171,0.9599845425465904,0.9614596767839214,0.9502702725151514,0.0023118516164667424,0.0004928191006809968,-1.9046148818646635e-05
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__community_domain,5650,171,0.9603036908429126,0.9618476410434185,0.9481342080634737,0.0026309999127889228,0.0008119673970031771,-0.00033819444514082697
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__putative_polar_contacts,5650,171,0.9589906343069258,0.960219632834029,0.946940151668485,0.0013179433768021331,-0.0005010891389836125,0.0009748620908459626
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__water_network,5650,171,0.9594917234459094,0.9610337752157743,0.9494662836207033,0.0018190325157857457,0.0,0.00047377295186235013
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_biophysics,5345,177,0.9526261371124548,0.9550939276337542,0.935749079202389,0.0,-0.0024489067785526952,0.002436584530481678
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_plus_ordinary_structure,5345,177,0.9550750438910075,0.9570372040113977,0.9406781526233923,0.0024489067785526952,0.0,-1.2322248071017228e-05
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_plus_structure_and_water,5345,177,0.9550627216429365,0.9575203180696195,0.9397510597527748,0.002436584530481678,-1.2322248071017228e-05,0.0
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without_rsa,5345,177,0.9542486131169771,0.9554489309894661,0.9479903457862041,0.0016224760045222553,-0.00082643077403044,0.0008141085259594227
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__geometry,5345,177,0.9552189901525635,0.9580505028174924,0.9401884090693852,0.0025928530401087,0.00014394626155600498,-0.0001562685096270222
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__contact_network,5345,177,0.9550894665222723,0.9576333891789987,0.9392033343754039,0.0024633294098175273,1.442263126483212e-05,-2.6744879335849348e-05
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__community_domain,5345,177,0.9550365368657858,0.9574991370991683,0.9402060479505208,0.002410399753331016,-3.8507025221679037e-05,2.618477715066181e-05
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__putative_polar_contacts,5345,177,0.9543326284447334,0.9567610258914373,0.9404810889740806,0.0017064913322786257,-0.0007424154462740695,0.0007300931982030523
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__water_network,5345,177,0.9550750438910075,0.9570372040113977,0.9406781526233923,0.0024489067785526952,0.0,-1.2322248071017228e-05
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,query_biophysics,8553,197,0.9215948210293923,0.9339826776545372,0.9145919844192739,0.0,-0.003732033305005711,0.003493029633721223
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,query_plus_ordinary_structure,8553,197,0.925326854334398,0.9369415295032729,0.9212696337256165,0.003732033305005711,0.0,-0.00023900367128448785
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,query_plus_structure_and_water,8553,197,0.9250878506631135,0.9364582094159195,0.9226343246906884,0.003493029633721223,-0.00023900367128448785,0.0
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without_rsa,8553,197,0.9192209147404844,0.9335789754215127,0.9183450514335164,-0.002373906288907879,-0.00610593959391359,0.005866935922629102
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__geometry,8553,197,0.9257993390572461,0.9368525055806582,0.9232827284696825,0.004204518027853821,0.00047248472284810994,-0.0007114883941325978
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__contact_network,8553,197,0.9253114347427022,0.9365014675986041,0.9238309128077035,0.003716613713309891,-1.5419591695819967e-05,-0.00022358407958866788
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__community_domain,8553,197,0.9215132940392561,0.9340330533797855,0.9191646282416103,-8.152699013619369e-05,-0.0038135602951419045,0.0035745566238574167
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__putative_polar_contacts,8553,197,0.9245109282801982,0.9360544995716584,0.9217185892856519,0.0029161072508059327,-0.0008159260541997782,0.0005769223829152903
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__water_network,8553,197,0.925326854334398,0.9369415295032729,0.9212696337256165,0.003732033305005711,0.0,-0.00023900367128448785
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,query_biophysics,8738,196,0.9178365412648272,0.9285964033598706,0.9162932142469136,0.0,-0.0029866162563519927,0.0024516772363093464
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,query_plus_ordinary_structure,8738,196,0.9208231575211792,0.9309431649843898,0.9239163826888336,0.0029866162563519927,0.0,-0.0005349390200426463
