condition,sign,model_cohort,receiver_scope,stage,evaluation_split,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_previous_stage
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,test,5345,177,0.9550750438910075,0.9570372040113977,0.9406781526233923,0.0006421571551513683
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,validation,5650,171,0.965130260621486,0.9680471122204772,0.9535891727161527,0.005638537175576608
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,test,5345,177,0.960155590785983,0.9621463794351246,0.9425935739468237,0.005080546894975502
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,00_distance_q8,validation,8553,197,0.5154717285067022,0.5089514773749289,0.5203460489114857,
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,00_distance_q8,test,8738,196,0.4964562058034204,0.496964403415154,0.49595812733990696,
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,01_add_query_biophysics,validation,8553,197,0.9215948210293923,0.9339826776545372,0.9145919844192739,0.4061230925226901
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,01_add_query_biophysics,test,8738,196,0.9178365412648272,0.9285964033598706,0.9162932142469136,0.42138033546140674
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,02_add_3d_geometry,validation,8553,197,0.9209304662807976,0.9336464675286773,0.9141207637525474,-0.0006643547485947199
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,02_add_3d_geometry,test,8738,196,0.9182226969319249,0.9287236285139356,0.915995030175369,0.00038615566709776505
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,03_add_contact_network,validation,8553,197,0.920807546982457,0.933876589063916,0.9176904676678552,-0.00012291929834051807
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,03_add_contact_network,test,8738,196,0.9196246133138994,0.9296845718202641,0.9217680974952562,0.0014019163819745106
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,04_add_community_domain,validation,8553,197,0.9245749031819148,0.9364338578130716,0.9203269716885052,0.003767356199457783
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,04_add_community_domain,test,8738,196,0.9203807366001862,0.9304935084672874,0.9234356948837747,0.000756123286286714
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,validation,8553,197,0.925326854334398,0.9369415295032729,0.9212696337256165,0.0007519511524831657
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,test,8738,196,0.9208231575211792,0.9309431649843898,0.9239163826888336,0.000442420920993003
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,validation,8553,197,0.9264629829735995,0.9389411610966447,0.922837840866335,0.001136128639201539
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,test,8738,196,0.9210765607177267,0.9321487401906776,0.9223136268005637,0.0002534031965475414
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,00_distance_q8,validation,5067,169,0.4969300947464884,0.503843061519858,0.5049471055418883,
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,00_distance_q8,test,4807,171,0.5124954509584756,0.5169876678172958,0.5294049718513307,
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,validation,5067,169,0.9604610162773762,0.9606627846586723,0.9486486056307215,0.4635309215308878
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,test,4807,171,0.9558667659751431,0.9586784170274529,0.9431088265845143,0.4433713150166675
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,validation,5067,169,0.9606644873759115,0.9606597646905974,0.9487989610253771,0.00020347109853524614
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,test,4807,171,0.9557556152745301,0.9573819788697168,0.9436031327703015,-0.00011115070061296084
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,03_add_contact_network,validation,5067,169,0.9605925090853118,0.9608915495766299,0.9469776293833414,-7.197829059968353e-05
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,03_add_contact_network,test,4807,171,0.9557542302190707,0.9574968771981691,0.9430490871182864,-1.385055459435236e-06
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,04_add_community_domain,validation,5067,169,0.9600715233628757,0.9607615221658319,0.9482192638987295,-0.0005209857224360848
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,04_add_community_domain,test,4807,171,0.9557646181350158,0.9575516073795016,0.9425405580314251,1.0387915945098136e-05
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,validation,5067,169,0.9602915089609855,0.9612232104676033,0.9489348028222109,0.00021998559810976204
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,test,4807,171,0.9557866058904331,0.9578019717975704,0.9430218108502811,2.198775541728537e-05
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,validation,5067,169,0.966300138254405,0.9690696361189957,0.9532144413979717,0.0060086292934194985
esm2_frozen_bilstm_attn,-1,structure_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,test,4807,171,0.9605165702841199,0.9626459275659217,0.9458758471149993,0.004729964393686781
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,00_distance_q8,validation,7795,196,0.5130335077844705,0.5038371241199764,0.5180808973068829,
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,00_distance_q8,test,7948,192,0.49549745586975497,0.4951873135872793,0.4992238604311973,
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,validation,7795,196,0.9254684177611008,0.938873454328037,0.9177015136281298,0.41243490997663024
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,01_add_query_biophysics,test,7948,192,0.9180996929769822,0.9285961842808573,0.9122590455557512,0.4226022371072273
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,validation,7795,196,0.924708666600836,0.9384526699601548,0.9178778055049381,-0.0007597511602648321
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,02_add_3d_geometry,test,7948,192,0.9184977268189769,0.9286918323977768,0.9121729560195293,0.0003980338419946605
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,03_add_contact_network,validation,7795,196,0.9246431651361048,0.938483448169634,0.9179544488290213,-6.55014647311658e-05
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,03_add_contact_network,test,7948,192,0.9188534624416823,0.9289703452175262,0.9106027324787096,0.0003557356227054109
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,04_add_community_domain,validation,7795,196,0.9285982686547514,0.9411130380026637,0.9208672649366609,0.0039551035186465855
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,04_add_community_domain,test,7948,192,0.9196484536739835,0.9298111839655041,0.9120695568011887,0.0007949912323012009
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,validation,7795,196,0.9284630525657483,0.9409942824800387,0.9211722952721951,-0.00013521608900302073
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,05_add_putative_polar_contacts,test,7948,192,0.9195379590741932,0.9297347841334753,0.9119182744694644,-0.00011049459979028953
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,validation,7795,196,0.9297507652809321,0.9431104756364815,0.9233424167674263,0.0012877127151837975
esm2_frozen_bilstm_attn,1,structure_eligible_fixed,sequence_distal_ge21,07_add_source_mechanism_interactions,test,7948,192,0.9199648038290272,0.9311627784462159,0.9113118843535327,0.0004268447548340104
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,00_distance_q8,validation,5650,171,0.49378550477807726,0.5018142572462063,0.49921426244048167,
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,00_distance_q8,test,5345,177,0.5173777303931328,0.5192026151992484,0.5271412234105234,
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,01_add_query_biophysics,validation,5650,171,0.9576726909301236,0.9581554423232808,0.9442463782415951,0.4638871861520464
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,01_add_query_biophysics,test,5345,177,0.9526261371124548,0.9550939276337542,0.935749079202389,0.43524840671932197
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,02_add_3d_geometry,validation,5650,171,0.9578286939253811,0.9578550052511399,0.9444177735630396,0.00015600299525742045
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,02_add_3d_geometry,test,5345,177,0.9527758244214074,0.9541002011793392,0.9371563407572215,0.0001496873089525952
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,03_add_contact_network,validation,5650,171,0.9590656911697042,0.9596169899170619,0.9485138834796456,0.0012369972443231347
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,03_add_contact_network,test,5345,177,0.9545685714901826,0.95625168279608,0.9422087163559332,0.0017927470687751912
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,04_add_community_domain,validation,5650,171,0.9585865301625839,0.959382410968751,0.9482942831844943,-0.00047916100712031007
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,04_add_community_domain,test,5345,177,0.9544328867358561,0.9562022962814543,0.942581793636238,-0.00013568475432645943
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,validation,5650,171,0.9594917234459094,0.9610337752157743,0.9494662836207033,0.0009051932833255005
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,test,5345,177,0.9550750438910075,0.9570372040113977,0.9406781526233923,0.0006421571551513683
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,06_add_crystallographic_water_network,validation,5650,171,0.9599654963977717,0.9618527641854758,0.9500765535623255,0.00047377295186235013
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,06_add_crystallographic_water_network,test,5345,177,0.9550627216429365,0.9575203180696195,0.9397510597527748,-1.2322248071017228e-05
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,validation,5650,171,0.9652368939941478,0.9681599321582715,0.9514500096959466,0.005271397596376071
esm2_frozen_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,test,5345,177,0.9599837794407212,0.9626571328811205,0.9431593723649091,0.004921057797784734
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,00_distance_q8,validation,8553,197,0.5154717285067022,0.5089514773749289,0.5203460489114857,
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,00_distance_q8,test,8738,196,0.4964562058034204,0.496964403415154,0.49595812733990696,
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,01_add_query_biophysics,validation,8553,197,0.9215948210293923,0.9339826776545372,0.9145919844192739,0.4061230925226901
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,01_add_query_biophysics,test,8738,196,0.9178365412648272,0.9285964033598706,0.9162932142469136,0.42138033546140674
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,02_add_3d_geometry,validation,8553,197,0.9209304662807976,0.9336464675286773,0.9141207637525474,-0.0006643547485947199
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,02_add_3d_geometry,test,8738,196,0.9182226969319249,0.9287236285139356,0.915995030175369,0.00038615566709776505
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,03_add_contact_network,validation,8553,197,0.920807546982457,0.933876589063916,0.9176904676678552,-0.00012291929834051807
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,03_add_contact_network,test,8738,196,0.9196246133138994,0.9296845718202641,0.9217680974952562,0.0014019163819745106
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,04_add_community_domain,validation,8553,197,0.9245749031819148,0.9364338578130716,0.9203269716885052,0.003767356199457783
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,04_add_community_domain,test,8738,196,0.9203807366001862,0.9304935084672874,0.9234356948837747,0.000756123286286714
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,validation,8553,197,0.925326854334398,0.9369415295032729,0.9212696337256165,0.0007519511524831657
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,05_add_putative_polar_contacts,test,8738,196,0.9208231575211792,0.9309431649843898,0.9239163826888336,0.000442420920993003
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,06_add_crystallographic_water_network,validation,8553,197,0.9250878506631135,0.9364582094159195,0.9226343246906884,-0.00023900367128448785
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,06_add_crystallographic_water_network,test,8738,196,0.9202882185011365,0.9305754579654412,0.9225654059621813,-0.0005349390200426463
esm2_frozen_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,07_add_source_mechanism_interactions,validation,8553,197,0.9263047954602098,0.9385800997606699,0.924050241835361,0.001216944797096331
