condition,split,sign,structural_cohort,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh,reference_80_effect,effect_difference_from_reference,effect_direction_preserved
esm2_frozen_bilstm_attn,train,-1,reference_80,G,mean_ca_curvature_degrees,experimental_pdb_geometry,1,1,11,88.46271702002731,79.09768370229118,9.365033317736135,,,False,,,9.365033317736135,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,G,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,1,1,11,46.80902159389623,82.87967647061515,-36.07065487671892,,,False,,,-36.07065487671892,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,G,ca_end_to_end_ratio,experimental_pdb_geometry,1,1,10,0.7246997604579912,0.7525437640652068,-0.027844003607215617,,,False,,,-0.027844003607215617,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,C,mean_contact_degree,contact_network,4,4,34,6.326666666666667,4.441062271062271,1.8856043956043953,,,False,,,1.8856043956043953,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,C,mean_inverse_distance_weighted_degree,contact_network,4,4,34,1.0340533144770483,0.7288502569996791,0.3052030574773692,,,False,,,0.3052030574773692,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,C,mean_betweenness,contact_network,4,4,34,0.0260144933945537,0.015336634009381612,0.010677859385172087,,,False,,,0.010677859385172087,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,C,mean_closeness,contact_network,4,4,34,0.23724339893880825,0.19116316778048761,0.04608023115832064,,,False,,,0.04608023115832064,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,C,mean_ca_curvature_degrees,experimental_pdb_geometry,4,4,34,86.51190405356367,69.64237106014329,16.869532993420385,,,False,,,16.869532993420385,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,C,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,4,4,34,61.950408590262924,100.53929281036429,-38.58888422010138,,,False,,,-38.58888422010138,0.0,True
esm2_frozen_bilstm_attn,train,-1,reference_80,C,ca_end_to_end_ratio,experimental_pdb_geometry,2,2,6,0.2410433402969958,0.5594657546974371,-0.3184224144004413,,,False,,,-0.3184224144004413,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,H,mean_contact_degree,contact_network,155,607,707,6.0005696140963725,5.633254883618979,0.36731473047739316,0.20676965710941655,0.5278598038453698,True,9.403167048432639e-06,2.114391091465178e-05,0.36731473047739316,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,H,mean_inverse_distance_weighted_degree,contact_network,155,607,707,0.9908122430391363,0.9209590663539772,0.06985317668515903,0.04404493958801775,0.09566141378230031,True,2.3178872082052654e-07,5.897098197554032e-07,0.06985317668515903,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,H,mean_betweenness,contact_network,155,607,707,0.022610389099633914,0.019081817517458195,0.003528571582175721,0.0018884981359065345,0.005168645028444907,True,9.833308773946378e-07,2.380626199475922e-06,0.003528571582175721,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,H,mean_closeness,contact_network,155,607,707,0.2044646076031243,0.19775665215318564,0.006707955449938686,0.0037670659100356683,0.009648844989841704,True,1.8655987864415137e-05,4.028887601193431e-05,0.006707955449938686,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,H,mean_ca_curvature_degrees,experimental_pdb_geometry,155,607,707,87.58874930498078,85.2253779108296,2.363371394151182,1.5519284311379486,3.174814357164415,True,2.3213604549266753e-10,7.395484635164629e-10,2.363371394151182,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,H,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,155,607,707,52.86700187802209,60.39051247639232,-7.523510598370232,-9.722880546325442,-5.324140650415023,True,5.223301148025729e-12,2.026280617768602e-11,-7.523510598370232,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,H,ca_end_to_end_ratio,experimental_pdb_geometry,154,600,619,0.39596871382850446,0.45338593414629896,-0.057417220317794594,-0.07408487930149836,-0.04074956133409083,True,5.036423957239954e-15,2.4735506474848342e-14,-0.057417220317794594,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,E,mean_contact_degree,contact_network,29,36,265,8.705064210508857,7.2289316303959374,1.4761325801129193,0.9707902351987495,1.981474925027089,True,4.582225313844912e-05,9.496840028694118e-05,1.4761325801129193,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,E,mean_inverse_distance_weighted_degree,contact_network,29,36,265,1.4574820955531962,1.1930386509753645,0.2644434445778319,0.18420994641578617,0.3446769427398777,True,2.863113962230184e-05,6.080950008276497e-05,0.2644434445778319,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,E,mean_betweenness,contact_network,29,36,265,0.034070702295334175,0.02658152013628426,0.007489182159049926,0.002174838234829393,0.012803526083270459,True,0.011062253064602436,0.01626801921265064,0.007489182159049926,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,E,mean_closeness,contact_network,29,36,265,0.2283709532153027,0.2241216868194591,0.004249266395843588,-0.0027399296334845048,0.01123846242517168,True,0.13288740647153138,0.16319340424971301,0.004249266395843588,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,E,mean_ca_curvature_degrees,experimental_pdb_geometry,29,36,265,56.64140629272175,57.95232573282841,-1.3109194401066704,-2.9841558892868423,0.3623170090735015,True,0.19080423740150576,0.2275240989219678,-1.3109194401066704,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,E,mean_abs_ca_virtual_torsion_degrees,experimental_pdb_geometry,29,36,265,149.14585676009955,138.8760149508891,10.269841809210464,5.345394079765654,15.194289538655273,True,0.0005194443313058342,0.0009420652859954676,10.269841809210464,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,E,ca_end_to_end_ratio,experimental_pdb_geometry,29,36,252,0.839179895203656,0.8275757707534513,0.011604124450204867,-0.01468416002719694,0.037892408927606674,True,0.5813652373104127,0.620306714379812,0.011604124450204867,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,C,mean_contact_degree,contact_network,1,1,1,3.1,5.0,-1.9,,,False,,,-1.9,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,C,mean_inverse_distance_weighted_degree,contact_network,1,1,1,0.5059024259521145,0.8584156618006935,-0.35251323584857897,,,False,,,-0.35251323584857897,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,C,mean_betweenness,contact_network,1,1,1,0.0153689647703613,0.0004947639317961,0.0148742008385652,,,False,,,0.0148742008385652,0.0,True
esm2_frozen_bilstm_attn,validation,-1,reference_80,C,mean_closeness,contact_network,1,1,1,0.1529708016389423,0.1154499151103565,0.0375208865285858,,,False,,,0.0375208865285858,0.0,True
