condition,sign,stage,evaluation_split,structural_cohort,model_training_cohort,fitted_model_identifier,n_train_segments,n_train_proteins,model_status,n_segments,n_selected_segments,n_control_segments,n_proteins,weighted_auroc,weighted_average_precision,macro_within_protein_q8_concordance,n_matched_protein_q8_strata,delta_auroc_from_previous_stage,delta_concordance_from_previous_stage
esm2_frozen_bilstm_attn,1,02_add_local_sequence_or_annotation_geometry,validation,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign+1__train-reference_80__02_add_local_sequence_or_annotation_geometry,30233,888,ok,3632,750,2882,189,0.77515372976352,0.7576190474731932,0.7876910020131919,385,0.02039732706372177,0.022573204310475603
esm2_frozen_bilstm_attn,1,03_add_experimental_pdb_geometry,validation,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign+1__train-reference_80__03_add_experimental_pdb_geometry,30233,888,ok,3632,750,2882,189,0.7763244974026089,0.7610960702840341,0.7745832380442039,385,0.0011707676390888544,-0.01310776396898794
esm2_frozen_bilstm_attn,1,04_add_contact_network,validation,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign+1__train-reference_80__04_add_contact_network,30233,888,ok,3632,750,2882,189,0.7804880371198937,0.7635005380956348,0.7894264178220637,385,0.004163539717284781,0.01484317977785976
esm2_frozen_bilstm_attn,1,05_add_ecod_domain,validation,fully_resolved_geometry,reference_80,esm2_frozen_bilstm_attn__sign+1__train-reference_80__05_add_ecod_domain,30233,888,ok,3632,750,2882,189,0.781627014343025,0.7646528546365872,0.7904437104996757,385,0.0011389772231312767,0.0010172926776119695
esm2_top28_bilstm_attn,-1,00_q8_only,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__00_q8_only,6410,694,ok,1280,605,675,155,0.5,0.5000000000000006,0.5,157,,
esm2_top28_bilstm_attn,-1,01_base_biophysics,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__01_base_biophysics,6410,694,ok,1280,605,675,155,0.8585599327224874,0.823583451961486,0.8931818402508437,157,0.35855993272248743,0.3931818402508437
esm2_top28_bilstm_attn,-1,02_add_local_sequence_or_annotation_geometry,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__02_add_local_sequence_or_annotation_geometry,6410,694,ok,1280,605,675,155,0.8695976104164934,0.835041737105849,0.8930993071563273,157,0.011037677694005987,-8.253309451633495e-05
esm2_top28_bilstm_attn,-1,03_add_experimental_pdb_geometry,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__03_add_experimental_pdb_geometry,6410,694,ok,1280,605,675,155,0.8766742739727336,0.8473465819664336,0.9015333065314125,157,0.007076663556240148,0.008433999375085155
esm2_top28_bilstm_attn,-1,04_add_contact_network,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__04_add_contact_network,6410,694,ok,1280,605,675,155,0.8786577994265284,0.8465295015865961,0.9023907054773043,157,0.0019835254537948765,0.000857398945891763
esm2_top28_bilstm_attn,-1,05_add_ecod_domain,test,fully_resolved_geometry,reference_80,esm2_top28_bilstm_attn__sign-1__train-reference_80__05_add_ecod_domain,6410,694,ok,1280,605,675,155,0.8816637834507297,0.8493911794496489,0.9017795776672831,157,0.003005984024201269,-0.0006111278100211504
