condition,split,sign,q8,n_total_candidate_segments,n_selected_segments,n_clean_control_segments,n_case_control_proteins,accepted_mapping_segments,accepted_mapping_selected_segments,accepted_mapping_control_segments,accepted_mapping_proteins,accepted_mapping_matched_strata,accepted_mapping_matched_selected_segments,accepted_mapping_matched_control_segments,reference_80_segments,reference_80_selected_segments,reference_80_control_segments,reference_80_proteins,reference_80_matched_strata,reference_80_matched_selected_segments,reference_80_matched_control_segments,fully_resolved_local_segments,fully_resolved_local_selected_segments,fully_resolved_local_control_segments,fully_resolved_local_proteins,fully_resolved_local_matched_strata,fully_resolved_local_matched_selected_segments,fully_resolved_local_matched_control_segments,fully_resolved_geometry_segments,fully_resolved_geometry_selected_segments,fully_resolved_geometry_control_segments,fully_resolved_geometry_proteins,fully_resolved_geometry_matched_strata,fully_resolved_geometry_matched_selected_segments,fully_resolved_geometry_matched_control_segments,strict_graph_95_segments,strict_graph_95_selected_segments,strict_graph_95_control_segments,strict_graph_95_proteins,strict_graph_95_matched_strata,strict_graph_95_matched_selected_segments,strict_graph_95_matched_control_segments,selected_segments_lost_reference_to_full,control_segments_lost_reference_to_full,selected_loss_rate_reference_to_full,control_loss_rate_reference_to_full
esm2_frozen_bilstm_attn,test,-1,I,12,0,12,11,12,0,12,11,0,0,0,12,0,12,11,0,0,0,12,0,12,11,0,0,0,10,0,10,9,0,0,0,12,0,12,11,0,0,0,0,0,,
esm2_top4_bilstm_attn,train,-1,S,5476,0,3583,731,3564,0,3564,728,0,0,0,3558,0,3558,727,0,0,0,3558,0,3558,727,0,0,0,790,0,790,378,0,0,0,3263,0,3263,626,0,0,0,0,0,,
esm2_top4_bilstm_attn,train,-1,B,188,0,179,123,178,0,178,122,0,0,0,178,0,178,122,0,0,0,178,0,178,122,0,0,0,0,0,0,0,0,0,0,173,0,173,118,0,0,0,0,0,,
esm2_top4_bilstm_attn,train,-1,I,24,0,24,22,24,0,24,22,0,0,0,24,0,24,22,0,0,0,24,0,24,22,0,0,0,16,0,16,16,0,0,0,24,0,24,22,0,0,0,0,0,,
esm2_top4_bilstm_attn,validation,-1,T,2454,0,1692,202,1692,0,1692,202,0,0,0,1688,0,1688,202,0,0,0,1688,0,1688,202,0,0,0,1128,0,1128,192,0,0,0,1556,0,1556,173,0,0,0,0,0,,
esm2_top4_bilstm_attn,validation,-1,S,1283,0,828,179,828,0,828,179,0,0,0,824,0,824,179,0,0,0,824,0,824,179,0,0,0,153,0,153,90,0,0,0,766,0,766,153,0,0,0,0,0,,
esm2_top4_bilstm_attn,validation,-1,G,576,0,470,134,470,0,470,134,0,0,0,468,0,468,134,0,0,0,467,0,467,134,0,0,0,351,0,351,122,0,0,0,439,0,439,121,0,0,0,0,0,,
esm2_top4_bilstm_attn,validation,-1,I,13,0,11,7,11,0,11,7,0,0,0,11,0,11,7,0,0,0,11,0,11,7,0,0,0,5,0,5,4,0,0,0,11,0,11,7,0,0,0,0,0,,
esm2_top4_bilstm_attn,validation,-1,B,41,0,38,26,38,0,38,26,0,0,0,38,0,38,26,0,0,0,38,0,38,26,0,0,0,0,0,0,0,0,0,0,34,0,34,24,0,0,0,0,0,,
esm2_top4_bilstm_attn,test,-1,S,1222,0,786,169,786,0,786,169,0,0,0,785,0,785,169,0,0,0,785,0,785,169,0,0,0,165,0,165,90,0,0,0,747,0,747,156,0,0,0,0,0,,
esm2_top4_bilstm_attn,test,-1,B,57,0,52,33,52,0,52,33,0,0,0,52,0,52,33,0,0,0,52,0,52,33,0,0,0,0,0,0,0,0,0,0,52,0,52,33,0,0,0,0,0,,
esm2_top4_bilstm_attn,test,-1,I,12,0,10,9,10,0,10,9,0,0,0,10,0,10,9,0,0,0,10,0,10,9,0,0,0,9,0,9,8,0,0,0,10,0,10,9,0,0,0,0,0,,
esm2_top28_bilstm_attn,train,-1,S,5476,0,3709,746,3690,0,3690,743,0,0,0,3683,0,3683,743,0,0,0,3683,0,3683,743,0,0,0,824,0,824,385,0,0,0,3379,0,3379,639,0,0,0,0,0,,
esm2_top28_bilstm_attn,train,-1,B,188,0,178,121,177,0,177,120,0,0,0,177,0,177,120,0,0,0,177,0,177,120,0,0,0,0,0,0,0,0,0,0,173,0,173,116,0,0,0,0,0,,
esm2_top28_bilstm_attn,train,-1,I,24,0,24,22,24,0,24,22,0,0,0,24,0,24,22,0,0,0,24,0,24,22,0,0,0,16,0,16,16,0,0,0,24,0,24,22,0,0,0,0,0,,
esm2_top28_bilstm_attn,validation,-1,T,2454,0,1696,203,1696,0,1696,203,0,0,0,1693,0,1693,203,0,0,0,1693,0,1693,203,0,0,0,1136,0,1136,195,0,0,0,1553,0,1553,172,0,0,0,0,0,,
esm2_top28_bilstm_attn,validation,-1,S,1283,0,844,180,844,0,844,180,0,0,0,840,0,840,180,0,0,0,840,0,840,180,0,0,0,168,0,168,98,0,0,0,779,0,779,152,0,0,0,0,0,,
esm2_top28_bilstm_attn,validation,-1,G,576,0,449,139,449,0,449,139,0,0,0,446,0,446,139,0,0,0,445,0,445,139,0,0,0,328,0,328,128,0,0,0,414,0,414,124,0,0,0,0,0,,
esm2_top28_bilstm_attn,validation,-1,I,13,0,11,7,11,0,11,7,0,0,0,11,0,11,7,0,0,0,11,0,11,7,0,0,0,5,0,5,4,0,0,0,11,0,11,7,0,0,0,0,0,,
esm2_top28_bilstm_attn,validation,-1,B,41,0,39,26,39,0,39,26,0,0,0,39,0,39,26,0,0,0,39,0,39,26,0,0,0,0,0,0,0,0,0,0,35,0,35,24,0,0,0,0,0,,
esm2_top28_bilstm_attn,test,-1,C,4698,0,3339,207,3339,0,3339,207,0,0,0,3239,0,3239,207,0,0,0,3222,0,3222,207,0,0,0,1669,0,1669,204,0,0,0,3029,0,3029,187,0,0,0,0,0,,
esm2_top28_bilstm_attn,test,-1,T,2487,0,1755,199,1755,0,1755,199,0,0,0,1748,0,1748,199,0,0,0,1748,0,1748,199,0,0,0,1136,0,1136,189,0,0,0,1656,0,1656,180,0,0,0,0,0,,
esm2_top28_bilstm_attn,test,-1,S,1222,0,784,168,784,0,784,168,0,0,0,781,0,781,168,0,0,0,781,0,781,168,0,0,0,164,0,164,89,0,0,0,745,0,745,156,0,0,0,0,0,,
esm2_top28_bilstm_attn,test,-1,B,57,0,54,34,54,0,54,34,0,0,0,54,0,54,34,0,0,0,54,0,54,34,0,0,0,0,0,0,0,0,0,0,54,0,54,34,0,0,0,0,0,,
esm2_top28_bilstm_attn,test,-1,I,12,0,12,11,12,0,12,11,0,0,0,12,0,12,11,0,0,0,12,0,12,11,0,0,0,10,0,10,9,0,0,0,12,0,12,11,0,0,0,0,0,,
esm3_frozen_bilstm_attn,train,-1,T,11343,0,8440,915,8372,0,8372,912,0,0,0,8335,0,8335,911,0,0,0,8335,0,8335,911,0,0,0,5440,0,5440,853,0,0,0,7600,0,7600,760,0,0,0,0,0,,
esm3_frozen_bilstm_attn,train,-1,S,5476,0,3897,733,3878,0,3878,730,0,0,0,3867,0,3867,729,0,0,0,3867,0,3867,729,0,0,0,891,0,891,403,0,0,0,3560,0,3560,629,0,0,0,0,0,,
esm3_frozen_bilstm_attn,train,-1,B,188,0,174,119,173,0,173,118,0,0,0,173,0,173,118,0,0,0,173,0,173,118,0,0,0,0,0,0,0,0,0,0,168,0,168,114,0,0,0,0,0,,
esm3_frozen_bilstm_attn,train,-1,I,24,0,24,22,24,0,24,22,0,0,0,24,0,24,22,0,0,0,24,0,24,22,0,0,0,16,0,16,16,0,0,0,24,0,24,22,0,0,0,0,0,,
esm3_frozen_bilstm_attn,validation,-1,C,4666,0,3573,208,3573,0,3573,208,0,0,0,3503,0,3503,208,0,0,0,3486,0,3486,208,0,0,0,1739,0,1739,205,0,0,0,3228,0,3228,176,0,0,0,0,0,,
esm3_frozen_bilstm_attn,validation,-1,T,2454,0,1884,203,1884,0,1884,203,0,0,0,1878,0,1878,203,0,0,0,1878,0,1878,203,0,0,0,1261,0,1261,196,0,0,0,1734,0,1734,172,0,0,0,0,0,,
esm3_frozen_bilstm_attn,validation,-1,S,1283,0,930,183,930,0,930,183,0,0,0,925,0,925,183,0,0,0,925,0,925,183,0,0,0,194,0,194,101,0,0,0,863,0,863,154,0,0,0,0,0,,
esm3_frozen_bilstm_attn,validation,-1,G,576,0,510,143,510,0,510,143,0,0,0,507,0,507,143,0,0,0,506,0,506,143,0,0,0,376,0,376,129,0,0,0,471,0,471,127,0,0,0,0,0,,
esm3_frozen_bilstm_attn,validation,-1,B,41,0,40,27,40,0,40,27,0,0,0,40,0,40,27,0,0,0,40,0,40,27,0,0,0,0,0,0,0,0,0,0,36,0,36,25,0,0,0,0,0,,
esm3_frozen_bilstm_attn,validation,-1,I,13,0,12,7,12,0,12,7,0,0,0,12,0,12,7,0,0,0,12,0,12,7,0,0,0,6,0,6,4,0,0,0,12,0,12,7,0,0,0,0,0,,
esm3_frozen_bilstm_attn,test,-1,T,2487,0,1883,199,1883,0,1883,199,0,0,0,1875,0,1875,199,0,0,0,1875,0,1875,199,0,0,0,1208,0,1208,188,0,0,0,1780,0,1780,180,0,0,0,0,0,,
esm3_frozen_bilstm_attn,test,-1,S,1222,0,897,173,897,0,897,173,0,0,0,895,0,895,172,0,0,0,895,0,895,172,0,0,0,202,0,202,93,0,0,0,852,0,852,159,0,0,0,0,0,,
esm3_frozen_bilstm_attn,test,-1,B,57,0,55,34,55,0,55,34,0,0,0,55,0,55,34,0,0,0,55,0,55,34,0,0,0,0,0,0,0,0,0,0,55,0,55,34,0,0,0,0,0,,
esm3_frozen_bilstm_attn,test,-1,I,12,0,10,9,10,0,10,9,0,0,0,10,0,10,9,0,0,0,10,0,10,9,0,0,0,8,0,8,7,0,0,0,10,0,10,9,0,0,0,0,0,,
esm3_top4_bilstm_attn,train,-1,S,5476,0,3787,727,3767,0,3767,724,0,0,0,3756,0,3756,721,0,0,0,3756,0,3756,721,0,0,0,835,0,835,390,0,0,0,3449,0,3449,621,0,0,0,0,0,,
esm3_top4_bilstm_attn,train,-1,B,188,0,178,120,177,0,177,119,0,0,0,177,0,177,119,0,0,0,177,0,177,119,0,0,0,0,0,0,0,0,0,0,173,0,173,115,0,0,0,0,0,,
esm3_top4_bilstm_attn,train,-1,I,24,0,23,21,23,0,23,21,0,0,0,23,0,23,21,0,0,0,23,0,23,21,0,0,0,15,0,15,15,0,0,0,23,0,23,21,0,0,0,0,0,,
esm3_top4_bilstm_attn,validation,-1,C,4666,0,3563,208,3563,0,3563,208,0,0,0,3481,0,3481,208,0,0,0,3461,0,3461,208,0,0,0,1766,0,1766,204,0,0,0,3203,0,3203,176,0,0,0,0,0,,
esm3_top4_bilstm_attn,validation,-1,T,2454,0,1820,201,1820,0,1820,201,0,0,0,1815,0,1815,201,0,0,0,1815,0,1815,201,0,0,0,1216,0,1216,194,0,0,0,1678,0,1678,171,0,0,0,0,0,,
esm3_top4_bilstm_attn,validation,-1,S,1283,0,890,180,890,0,890,180,0,0,0,887,0,887,180,0,0,0,887,0,887,180,0,0,0,181,0,181,96,0,0,0,824,0,824,152,0,0,0,0,0,,
esm3_top4_bilstm_attn,validation,-1,G,576,0,504,142,504,0,504,142,0,0,0,501,0,501,142,0,0,0,500,0,500,142,0,0,0,370,0,370,129,0,0,0,466,0,466,127,0,0,0,0,0,,
esm3_top4_bilstm_attn,validation,-1,B,41,0,40,27,40,0,40,27,0,0,0,40,0,40,27,0,0,0,40,0,40,27,0,0,0,0,0,0,0,0,0,0,36,0,36,25,0,0,0,0,0,,
esm3_top4_bilstm_attn,validation,-1,I,13,0,12,7,12,0,12,7,0,0,0,12,0,12,7,0,0,0,12,0,12,7,0,0,0,6,0,6,4,0,0,0,12,0,12,7,0,0,0,0,0,,
esm3_top4_bilstm_attn,test,-1,T,2487,0,1841,199,1841,0,1841,199,0,0,0,1835,0,1835,199,0,0,0,1835,0,1835,199,0,0,0,1175,0,1175,189,0,0,0,1740,0,1740,180,0,0,0,0,0,,
esm3_top4_bilstm_attn,test,-1,S,1222,0,863,171,863,0,863,171,0,0,0,862,0,862,171,0,0,0,862,0,862,171,0,0,0,189,0,189,98,0,0,0,818,0,818,158,0,0,0,0,0,,
esm3_top4_bilstm_attn,test,-1,B,57,0,54,33,54,0,54,33,0,0,0,54,0,54,33,0,0,0,54,0,54,33,0,0,0,0,0,0,0,0,0,0,54,0,54,33,0,0,0,0,0,,
esm3_top4_bilstm_attn,test,-1,I,12,0,12,11,12,0,12,11,0,0,0,12,0,12,11,0,0,0,12,0,12,11,0,0,0,10,0,10,9,0,0,0,12,0,12,11,0,0,0,0,0,,
