condition,split,sign,q8,n_total_candidate_segments,n_selected_segments,n_clean_control_segments,n_case_control_proteins,accepted_mapping_segments,accepted_mapping_selected_segments,accepted_mapping_control_segments,accepted_mapping_proteins,accepted_mapping_matched_strata,accepted_mapping_matched_selected_segments,accepted_mapping_matched_control_segments,reference_80_segments,reference_80_selected_segments,reference_80_control_segments,reference_80_proteins,reference_80_matched_strata,reference_80_matched_selected_segments,reference_80_matched_control_segments,fully_resolved_local_segments,fully_resolved_local_selected_segments,fully_resolved_local_control_segments,fully_resolved_local_proteins,fully_resolved_local_matched_strata,fully_resolved_local_matched_selected_segments,fully_resolved_local_matched_control_segments,fully_resolved_geometry_segments,fully_resolved_geometry_selected_segments,fully_resolved_geometry_control_segments,fully_resolved_geometry_proteins,fully_resolved_geometry_matched_strata,fully_resolved_geometry_matched_selected_segments,fully_resolved_geometry_matched_control_segments,strict_graph_95_segments,strict_graph_95_selected_segments,strict_graph_95_control_segments,strict_graph_95_proteins,strict_graph_95_matched_strata,strict_graph_95_matched_selected_segments,strict_graph_95_matched_control_segments,selected_segments_lost_reference_to_full,control_segments_lost_reference_to_full,selected_loss_rate_reference_to_full,control_loss_rate_reference_to_full
esm2_frozen_bilstm_attn,test,1,E,1680,29,1496,175,1525,29,1496,175,26,28,256,1520,29,1491,175,26,28,256,1517,29,1488,175,26,28,255,1412,27,1385,175,24,26,236,1419,28,1391,160,25,27,247,0,1,0.0,0.00390625
esm2_frozen_bilstm_attn,test,1,S,1222,144,875,176,1019,144,875,176,85,134,585,1016,144,872,176,85,134,583,1016,144,872,176,85,134,583,271,85,186,114,44,65,90,964,140,824,162,82,130,572,0,0,0.0,0.0
esm2_frozen_bilstm_attn,test,1,G,496,18,448,148,466,18,448,148,14,15,60,465,18,447,148,14,15,60,465,18,447,148,14,15,60,344,13,331,137,9,10,23,447,18,429,138,14,15,60,0,0,0.0,0.0
esm2_frozen_bilstm_attn,test,1,H,1522,15,850,187,865,15,850,187,13,14,103,862,15,847,187,13,14,102,855,15,840,187,13,14,101,756,15,741,182,13,14,92,804,15,789,169,13,14,101,0,1,0.0,0.00980392156862745
esm2_top4_bilstm_attn,train,1,C,21789,2647,15853,967,18396,2637,15759,963,859,2635,14882,17596,2349,15247,960,818,2342,14181,17406,2257,15149,959,798,2247,13961,9916,1996,7920,957,763,1967,7136,15881,2054,13827,790,687,2050,12970,95,220,0.040563620836891544,0.015513715534870602
esm2_top4_bilstm_attn,train,1,S,5476,768,3583,770,4332,768,3564,767,388,726,2504,4317,759,3558,766,385,717,2493,4317,759,3558,766,385,717,2493,1178,388,790,472,163,274,419,3968,705,3263,656,356,672,2378,0,0,0.0,0.0
esm2_top4_bilstm_attn,train,1,T,11343,1720,7836,925,9481,1709,7772,922,674,1693,6821,9416,1682,7734,922,669,1666,6740,9416,1682,7734,922,669,1666,6740,6472,1451,5021,885,602,1413,4209,8562,1516,7046,768,582,1504,6265,0,0,0.0,0.0
esm2_top4_bilstm_attn,train,1,G,2375,136,1955,602,2076,136,1940,600,101,118,459,2063,133,1930,600,98,115,451,2063,133,1930,600,98,115,451,1482,114,1368,536,82,94,281,1912,125,1787,527,94,110,440,0,0,0.0,0.0
esm2_top4_bilstm_attn,train,1,H,7123,52,3632,821,3660,52,3608,817,45,46,257,3633,50,3583,814,43,44,239,3595,50,3545,809,42,43,238,3093,47,3046,782,38,39,185,3246,40,3206,685,34,34,213,1,1,0.022727272727272728,0.0041841004184100415
esm2_top4_bilstm_attn,train,1,E,7666,79,7044,748,7098,79,7019,747,74,79,1028,7083,77,7006,747,73,77,1004,7065,76,6989,747,72,76,973,6631,72,6559,736,68,72,856,6399,72,6327,634,68,72,952,1,31,0.012987012987012988,0.030876494023904383
esm2_top4_bilstm_attn,validation,1,C,4666,518,3403,208,3921,518,3403,208,191,518,3187,3783,468,3315,208,182,468,3026,3750,455,3295,208,180,455,2973,2079,403,1676,205,168,401,1442,3473,424,3049,176,160,424,2802,13,53,0.027777777777777776,0.01751487111698612
esm2_top4_bilstm_attn,validation,1,T,2454,396,1692,206,2088,396,1692,206,155,392,1470,2078,390,1688,205,154,387,1464,2078,390,1688,205,154,387,1464,1470,342,1128,199,140,335,950,1913,357,1556,175,137,355,1372,0,0,0.0,0.0
esm2_top4_bilstm_attn,validation,1,S,1283,199,828,186,1027,199,828,186,101,190,521,1022,198,824,186,101,189,519,1022,198,824,186,101,189,519,263,110,153,122,37,60,65,948,182,766,159,90,174,493,0,0,0.0,0.0
esm2_top4_bilstm_attn,validation,1,G,576,32,470,138,502,32,470,138,25,28,110,500,32,468,138,25,28,109,499,32,467,138,25,28,109,373,22,351,125,18,19,70,470,31,439,124,25,28,109,0,0,0.0,0.0
esm2_top4_bilstm_attn,validation,1,E,1659,26,1523,174,1549,26,1523,174,25,26,302,1549,26,1523,174,25,26,302,1547,26,1521,174,25,26,300,1464,22,1442,174,21,22,237,1414,24,1390,151,23,24,285,0,2,0.0,0.006622516556291391
esm2_top4_bilstm_attn,validation,1,H,1457,14,703,173,717,14,703,173,12,14,72,714,14,700,173,11,13,69,710,13,697,173,10,12,63,614,11,603,168,9,10,43,651,10,641,149,9,10,60,1,6,0.07692307692307693,0.08695652173913043
esm2_top4_bilstm_attn,test,1,C,4698,607,3349,208,3956,607,3349,208,192,605,3223,3800,561,3239,208,190,559,3107,3764,546,3218,208,189,545,3085,2129,477,1652,207,177,471,1527,3543,512,3031,188,170,511,2901,14,22,0.025044722719141325,0.007080785323463148
esm2_top4_bilstm_attn,test,1,T,2487,364,1744,198,2108,364,1744,198,152,364,1495,2097,358,1739,198,149,358,1479,2097,358,1739,198,149,358,1479,1420,309,1111,192,139,300,933,1990,339,1651,179,139,339,1421,0,0,0.0,0.0
esm2_top4_bilstm_attn,test,1,E,1680,21,1509,174,1530,21,1509,174,19,21,127,1527,21,1506,174,19,21,127,1524,21,1503,174,19,21,127,1421,20,1401,174,18,20,118,1427,21,1406,159,19,21,127,0,0,0.0,0.0
esm2_top4_bilstm_attn,test,1,S,1222,179,786,175,965,179,786,175,93,172,559,961,176,785,175,93,169,559,961,176,785,175,93,169,559,262,97,165,112,44,72,89,917,170,747,161,88,164,543,0,0,0.0,0.0
esm2_top4_bilstm_attn,test,1,G,496,28,416,145,444,28,416,145,20,21,83,443,28,415,145,20,21,83,443,28,415,145,20,21,83,331,26,305,133,18,18,53,425,27,398,135,20,21,83,0,0,0.0,0.0
esm2_top4_bilstm_attn,test,1,H,1522,11,763,179,774,11,763,179,7,9,65,771,11,760,179,7,9,65,766,11,755,179,7,9,65,672,11,661,176,7,9,57,726,10,716,162,7,9,65,0,0,0.0,0.0
esm2_top28_bilstm_attn,train,1,C,21789,2565,15884,967,18351,2553,15798,963,839,2551,14804,17554,2234,15320,961,781,2226,14008,17369,2141,15228,960,762,2132,13847,9845,1859,7986,956,727,1836,6990,15863,1977,13886,790,663,1974,12869,94,161,0.042228212039532795,0.011493432324386064
esm2_top28_bilstm_attn,train,1,S,5476,649,3709,777,4337,647,3690,774,346,611,2347,4326,643,3683,774,345,607,2338,4326,643,3683,774,345,607,2338,1163,339,824,463,158,243,413,3973,594,3379,663,316,565,2224,0,0,0.0,0.0
esm2_top28_bilstm_attn,train,1,T,11343,1478,7992,925,9395,1468,7927,922,614,1457,6485,9333,1438,7895,922,609,1427,6389,9333,1438,7895,922,609,1427,6389,6421,1223,5198,889,543,1188,4050,8473,1295,7178,767,534,1289,5942,0,0,0.0,0.0
esm2_top28_bilstm_attn,train,1,G,2375,133,1916,596,2036,133,1903,594,93,108,401,2023,131,1892,592,93,108,399,2023,131,1892,592,93,108,399,1459,116,1343,533,76,88,244,1881,124,1757,525,91,105,391,0,0,0.0,0.0
esm2_top28_bilstm_attn,train,1,H,7123,119,3770,830,3865,118,3747,826,96,106,475,3839,115,3724,825,93,103,465,3796,113,3683,824,92,101,462,3299,106,3193,800,84,92,369,3422,97,3325,691,80,88,434,2,3,0.019417475728155338,0.0064516129032258064
esm2_top28_bilstm_attn,train,1,E,7666,86,6999,750,7058,86,6972,749,79,86,1013,7046,86,6960,749,79,86,1010,7027,84,6943,749,78,84,983,6603,81,6522,736,75,81,892,6367,76,6291,636,71,76,936,2,27,0.023255813953488372,0.026732673267326732
esm2_top28_bilstm_attn,validation,1,C,4666,576,3317,208,3893,576,3317,208,191,576,3088,3754,513,3241,208,181,513,2939,3721,493,3228,208,180,493,2925,2056,441,1615,205,168,437,1398,3443,463,2980,176,162,463,2771,20,14,0.03898635477582846,0.004763525008506295
esm2_top28_bilstm_attn,validation,1,T,2454,372,1696,206,2068,372,1696,206,157,368,1467,2060,367,1693,206,155,363,1459,2060,367,1693,206,155,363,1459,1457,321,1136,201,139,314,949,1887,334,1553,175,135,330,1359,0,0,0.0,0.0
esm2_top28_bilstm_attn,validation,1,S,1283,167,844,186,1011,167,844,186,97,158,550,1006,166,840,186,97,157,547,1006,166,840,186,97,157,547,260,92,168,119,43,63,77,933,154,779,158,86,145,526,0,0,0.0,0.0
esm2_top28_bilstm_attn,validation,1,G,576,34,449,142,483,34,449,142,26,31,95,480,34,446,142,26,31,94,479,34,445,142,26,31,94,353,25,328,130,18,23,55,446,32,414,126,25,30,93,0,0,0.0,0.0
esm2_top28_bilstm_attn,validation,1,E,1659,25,1526,174,1551,25,1526,174,23,25,230,1551,25,1526,174,23,25,230,1549,25,1524,174,23,25,229,1468,23,1445,174,21,23,211,1419,23,1396,151,21,23,218,0,1,0.0,0.004347826086956522
esm2_top28_bilstm_attn,validation,1,H,1457,17,728,172,745,17,728,172,15,16,84,742,17,725,171,15,16,84,738,17,721,170,15,16,84,636,13,623,167,12,12,47,678,15,663,149,14,15,80,0,0,0.0,0.0
esm2_top28_bilstm_attn,test,1,C,4698,622,3339,208,3961,622,3339,208,193,620,3205,3803,564,3239,208,187,562,3064,3767,545,3222,208,184,544,3027,2146,477,1669,207,176,472,1537,3545,516,3029,188,168,515,2864,18,37,0.03202846975088968,0.012075718015665796
esm2_top28_bilstm_attn,test,1,T,2487,334,1755,199,2089,334,1755,199,150,334,1534,2075,327,1748,199,148,327,1522,2075,327,1748,199,148,327,1522,1414,278,1136,193,135,271,951,1966,310,1656,180,137,310,1458,0,0,0.0,0.0
esm2_top28_bilstm_attn,test,1,E,1680,18,1508,175,1526,18,1508,175,17,18,139,1521,18,1503,175,17,18,139,1518,18,1500,175,17,18,138,1418,16,1402,175,15,16,117,1419,15,1404,160,14,15,107,0,1,0.0,0.007194244604316547
esm2_top28_bilstm_attn,test,1,S,1222,161,784,176,945,161,784,176,93,152,561,942,161,781,176,93,152,559,942,161,781,176,93,152,559,259,95,164,114,39,66,76,901,156,745,164,88,147,544,0,0,0.0,0.0
esm2_top28_bilstm_attn,test,1,G,496,33,405,145,438,33,405,145,25,28,89,437,33,404,145,25,28,89,437,33,404,145,25,28,89,325,28,297,133,22,23,51,418,33,385,134,25,28,89,0,0,0.0,0.0
esm2_top28_bilstm_attn,test,1,H,1522,9,792,187,801,9,792,187,8,8,82,798,9,789,187,8,8,82,794,9,785,187,8,8,82,697,8,689,184,7,7,69,740,9,731,169,8,8,82,0,0,0.0,0.0
esm3_frozen_bilstm_attn,train,1,T,11343,1352,8440,923,9720,1348,8372,920,625,1338,6914,9657,1322,8335,919,622,1312,6866,9657,1322,8335,919,622,1312,6866,6572,1132,5440,884,545,1094,4298,8803,1203,7600,764,546,1197,6420,0,0,0.0,0.0
esm3_frozen_bilstm_attn,train,1,C,21789,2855,16363,967,19107,2833,16274,963,883,2828,15629,18311,2475,15836,961,831,2456,14881,18119,2365,15754,960,816,2346,14765,10291,2100,8191,958,776,2059,7481,16534,2140,14394,790,694,2127,13596,110,116,0.04478827361563518,0.0077951750554398225
esm3_frozen_bilstm_attn,train,1,H,7123,60,3622,835,3658,60,3598,831,53,56,277,3634,59,3575,830,52,55,270,3594,59,3535,827,52,55,269,3060,51,3009,802,44,47,203,3230,51,3179,694,45,48,251,0,1,0.0,0.003703703703703704
esm3_frozen_bilstm_attn,train,1,S,5476,673,3897,772,4550,672,3878,769,377,626,2598,4532,665,3867,768,373,619,2568,4532,665,3867,768,373,619,2568,1219,328,891,480,158,242,448,4168,608,3560,658,342,572,2434,0,0,0.0,0.0
esm3_frozen_bilstm_attn,train,1,G,2375,107,2047,595,2141,107,2034,594,86,95,454,2127,105,2022,592,86,94,453,2127,105,2022,592,86,94,453,1518,82,1436,535,64,68,222,1978,102,1876,523,84,92,445,0,0,0.0,0.0
esm3_frozen_bilstm_attn,train,1,E,7666,114,7005,752,7092,114,6978,751,108,114,1281,7077,112,6965,751,106,112,1257,7059,112,6947,751,106,112,1251,6627,109,6518,740,103,109,1147,6391,102,6289,636,96,102,1187,0,6,0.0,0.00477326968973747
esm3_frozen_bilstm_attn,train,1,B,188,3,174,119,176,3,173,118,3,3,3,176,3,173,118,3,3,3,176,3,173,118,3,3,3,0,0,0,0,0,0,0,171,3,168,114,3,3,3,0,0,0.0,0.0
esm3_frozen_bilstm_attn,validation,1,C,4666,550,3573,208,4123,550,3573,208,189,550,3331,3982,479,3503,208,173,479,3126,3947,461,3486,208,168,461,3051,2154,415,1739,206,160,414,1490,3657,429,3228,176,150,429,2883,18,75,0.037578288100208766,0.02399232245681382
esm3_frozen_bilstm_attn,validation,1,T,2454,293,1884,206,2177,293,1884,206,144,287,1499,2168,290,1878,206,142,284,1485,2168,290,1878,206,142,284,1485,1513,252,1261,200,132,246,988,1995,261,1734,175,123,255,1384,0,0,0.0,0.0
esm3_frozen_bilstm_attn,validation,1,S,1283,170,930,187,1100,170,930,187,101,166,531,1095,170,925,187,101,166,530,1095,170,925,187,101,166,530,284,90,194,125,40,59,77,1018,155,863,158,88,151,501,0,0,0.0,0.0
esm3_frozen_bilstm_attn,validation,1,G,576,13,510,145,523,13,510,145,10,11,45,520,13,507,145,10,11,44,519,13,506,145,10,11,44,383,7,376,131,5,5,15,483,12,471,128,10,11,44,0,0,0.0,0.0
esm3_frozen_bilstm_attn,validation,1,E,1659,33,1521,174,1554,33,1521,174,28,33,282,1554,33,1521,174,28,33,282,1552,33,1519,174,28,33,282,1468,31,1437,174,27,31,261,1421,29,1392,151,24,29,261,0,0,0.0,0.0
esm3_frozen_bilstm_attn,validation,1,H,1457,10,697,179,707,10,697,179,7,7,49,706,10,696,179,7,7,49,703,10,693,179,7,7,49,606,10,596,177,7,7,45,639,9,630,153,7,7,49,0,0,0.0,0.0
esm3_frozen_bilstm_attn,test,1,C,4698,628,3563,207,4191,628,3563,207,197,625,3493,4031,554,3477,207,189,551,3345,3993,528,3465,207,186,526,3308,2278,474,1804,206,181,468,1710,3767,497,3270,187,170,495,3137,25,37,0.045372050816696916,0.011061285500747383
esm3_frozen_bilstm_attn,test,1,S,1222,133,897,177,1030,133,897,177,80,126,543,1025,130,895,176,78,123,527,1025,130,895,176,78,123,527,278,76,202,109,37,56,93,979,127,852,163,75,120,518,0,0,0.0,0.0
esm3_frozen_bilstm_attn,test,1,E,1680,23,1531,174,1554,23,1531,174,21,23,193,1551,23,1528,174,21,23,193,1548,23,1525,174,21,23,193,1446,22,1424,174,20,22,184,1449,23,1426,159,21,23,193,0,0,0.0,0.0
esm3_frozen_bilstm_attn,test,1,T,2487,276,1883,199,2159,276,1883,199,139,276,1550,2147,272,1875,199,138,272,1539,2147,272,1875,199,138,272,1539,1435,227,1208,193,121,220,901,2036,256,1780,180,128,256,1473,0,0,0.0,0.0
esm3_frozen_bilstm_attn,test,1,G,496,22,431,144,453,22,431,144,18,18,77,452,22,430,144,18,18,77,452,22,430,144,18,18,77,339,15,324,133,11,11,36,435,22,413,133,18,18,77,0,0,0.0,0.0
esm3_frozen_bilstm_attn,test,1,H,1522,16,735,187,751,16,735,187,10,12,75,748,16,732,187,10,12,75,742,16,726,187,10,12,75,646,13,633,179,8,10,60,700,15,685,169,9,11,71,0,0,0.0,0.0
esm3_top4_bilstm_attn,train,1,T,11343,1493,8270,919,9691,1483,8208,916,650,1465,7012,9622,1452,8170,916,646,1434,6956,9622,1452,8170,916,646,1434,6956,6579,1238,5341,883,573,1199,4350,8769,1303,7466,761,562,1292,6494,0,0,0.0,0.0
esm3_top4_bilstm_attn,train,1,C,21789,2597,16523,967,19011,2580,16431,963,865,2577,15568,18206,2301,15905,960,820,2285,14810,18014,2211,15803,959,806,2196,14673,10258,1894,8364,957,755,1857,7423,16454,1996,14458,790,690,1990,13554,89,137,0.03894967177242888,0.00925050641458474
esm3_top4_bilstm_attn,train,1,G,2375,113,2018,596,2117,113,2004,595,85,96,432,2103,111,1992,592,84,95,423,2103,111,1992,592,84,95,423,1513,94,1419,535,69,76,257,1956,106,1850,522,82,93,415,0,0,0.0,0.0
esm3_top4_bilstm_attn,train,1,H,7123,82,3656,832,3713,82,3631,828,69,76,382,3686,81,3605,826,68,75,375,3643,80,3563,822,67,74,372,3125,75,3050,801,61,68,303,3289,70,3219,692,60,66,350,1,3,0.013333333333333334,0.008
esm3_top4_bilstm_attn,train,1,S,5476,739,3787,766,4505,738,3767,763,404,694,2665,4491,735,3756,761,401,689,2638,4491,735,3756,761,401,689,2638,1206,371,835,474,171,268,447,4123,674,3449,653,367,636,2502,0,0,0.0,0.0
esm3_top4_bilstm_attn,train,1,E,7666,102,7057,750,7132,102,7030,749,93,101,1116,7116,101,7015,749,93,100,1114,7096,101,6995,749,93,100,1112,6653,97,6556,738,89,96,1025,6424,95,6329,635,87,94,1081,0,2,0.0,0.0017953321364452424
esm3_top4_bilstm_attn,validation,1,C,4666,518,3563,208,4081,518,3563,208,186,518,3317,3943,462,3481,208,177,462,3182,3909,448,3461,208,175,448,3149,2151,385,1766,206,162,383,1522,3621,418,3203,176,158,418,2988,14,33,0.030303030303030304,0.010370835952231301
esm3_top4_bilstm_attn,validation,1,T,2454,324,1820,205,2144,324,1820,205,148,316,1546,2136,321,1815,205,147,313,1533,2136,321,1815,205,147,313,1533,1496,280,1216,199,137,272,984,1961,283,1678,174,128,277,1438,0,0,0.0,0.0
esm3_top4_bilstm_attn,validation,1,S,1283,185,890,186,1075,185,890,186,104,179,581,1071,184,887,186,103,178,570,1071,184,887,186,103,178,570,278,97,181,124,44,60,88,999,175,824,158,95,169,548,0,0,0.0,0.0
esm3_top4_bilstm_attn,validation,1,E,1659,31,1529,174,1560,31,1529,174,25,31,240,1560,31,1529,174,25,31,240,1558,31,1527,174,25,31,239,1476,30,1446,174,24,30,223,1422,25,1397,151,19,25,199,0,1,0.0,0.004166666666666667
esm3_top4_bilstm_attn,validation,1,G,576,20,504,144,524,20,504,144,18,18,83,521,20,501,144,18,18,82,520,20,500,144,18,18,82,386,16,370,132,13,13,49,484,18,466,128,17,17,77,0,0,0.0,0.0
esm3_top4_bilstm_attn,validation,1,H,1457,11,733,177,744,11,733,177,8,9,40,743,11,732,177,8,9,39,738,10,728,177,7,8,30,636,10,626,174,7,8,27,665,8,657,152,6,6,27,1,9,0.1111111111111111,0.23076923076923078
esm3_top4_bilstm_attn,test,1,C,4698,548,3600,208,4148,548,3600,208,190,546,3470,3989,501,3488,208,186,499,3325,3951,482,3469,208,183,481,3280,2265,419,1846,207,176,416,1706,3728,456,3272,188,168,455,3136,18,45,0.036072144288577156,0.013533834586466165
esm3_top4_bilstm_attn,test,1,S,1222,143,863,179,1006,143,863,179,83,131,548,1002,140,862,179,81,128,530,1002,140,862,179,81,128,530,272,83,189,111,42,68,85,953,135,818,166,77,123,516,0,0,0.0,0.0
esm3_top4_bilstm_attn,test,1,T,2487,315,1841,199,2156,315,1841,199,150,315,1611,2145,310,1835,199,147,310,1586,2145,310,1835,199,147,310,1586,1436,261,1175,195,131,253,961,2026,286,1740,180,136,286,1515,0,0,0.0,0.0
esm3_top4_bilstm_attn,test,1,E,1680,22,1517,175,1539,22,1517,175,20,22,197,1536,22,1514,175,20,22,197,1534,22,1512,175,20,22,197,1436,21,1415,175,19,21,182,1436,22,1414,160,20,22,197,0,0,0.0,0.0
esm3_top4_bilstm_attn,test,1,G,496,27,422,145,449,27,422,145,22,22,81,448,27,421,145,22,22,81,448,27,421,145,22,22,81,338,21,317,133,16,16,44,430,25,405,135,21,21,80,0,0,0.0,0.0
esm3_top4_bilstm_attn,test,1,H,1522,17,781,187,798,17,781,187,15,17,110,795,17,778,187,15,17,109,789,17,772,187,15,17,109,692,15,677,184,13,15,89,738,17,721,169,15,17,109,0,0,0.0,0.0
esm3_top28_bilstm_attn,train,1,T,11343,1410,8463,925,9796,1403,8393,922,612,1388,6915,9724,1376,8348,922,606,1361,6838,9724,1376,8348,922,606,1361,6838,6643,1163,5480,890,536,1131,4221,8851,1252,7599,767,536,1243,6443,0,0,0.0,0.0
esm3_top28_bilstm_attn,train,1,C,21789,2644,16759,966,19289,2623,16666,962,851,2617,15826,18477,2295,16182,960,802,2285,15066,18288,2211,16077,959,788,2202,14912,10439,1880,8559,956,744,1860,7615,16694,2023,14671,789,684,2020,13816,83,154,0.036323851203501095,0.010221691225275454
esm3_top28_bilstm_attn,train,1,H,7123,81,3591,834,3648,81,3567,830,68,73,392,3622,80,3542,829,67,72,385,3584,80,3504,827,67,72,383,3064,74,2990,806,60,65,283,3223,71,3152,694,59,64,357,0,2,0.0,0.005194805194805195
esm3_top28_bilstm_attn,train,1,G,2375,124,2022,600,2133,124,2009,599,98,113,506,2119,121,1998,598,96,111,493,2119,121,1998,598,96,111,493,1516,93,1423,539,75,81,272,1967,113,1854,527,92,106,480,0,0,0.0,0.0
esm3_top28_bilstm_attn,train,1,S,5476,731,3864,784,4575,731,3844,781,401,696,2738,4558,725,3833,780,401,690,2732,4558,725,3833,780,401,690,2732,1208,368,840,478,164,266,421,4184,666,3518,670,368,641,2593,0,0,0.0,0.0
esm3_top28_bilstm_attn,train,1,E,7666,86,7145,751,7205,86,7119,750,78,85,973,7191,84,7107,750,76,83,947,7170,84,7086,750,76,83,940,6716,80,6636,737,73,79,870,6491,76,6415,635,70,75,894,0,7,0.0,0.007391763463569166
esm3_top28_bilstm_attn,validation,1,C,4666,568,3575,208,4143,568,3575,208,191,568,3374,4005,503,3502,208,177,503,3171,3972,487,3485,208,173,487,3119,2205,423,1782,206,167,422,1578,3672,462,3210,176,157,462,2973,16,52,0.03180914512922465,0.01639861242510249
esm3_top28_bilstm_attn,validation,1,T,2454,311,1828,206,2139,311,1828,206,151,309,1556,2133,308,1825,206,150,306,1544,2133,308,1825,206,150,306,1544,1489,265,1224,201,142,263,1021,1960,274,1686,175,129,272,1440,0,0,0.0,0.0
esm3_top28_bilstm_attn,validation,1,S,1283,188,890,188,1078,188,890,188,105,184,605,1073,186,887,188,103,182,590,1073,186,887,188,103,182,590,278,98,180,125,42,63,81,1000,174,826,160,94,170,567,0,0,0.0,0.0
esm3_top28_bilstm_attn,validation,1,E,1659,33,1539,174,1572,33,1539,174,28,33,289,1572,33,1539,174,28,33,289,1570,33,1537,174,28,33,288,1488,32,1456,174,27,32,264,1435,30,1405,151,25,30,273,0,1,0.0,0.0034602076124567475
esm3_top28_bilstm_attn,validation,1,H,1457,11,674,177,685,11,674,177,8,8,43,682,11,671,177,8,8,43,678,11,667,176,8,8,43,582,10,572,170,7,7,24,607,8,599,151,6,6,38,0,0,0.0,0.0
esm3_top28_bilstm_attn,validation,1,G,576,31,498,144,529,31,498,144,29,30,129,526,31,495,144,29,30,129,525,31,494,144,29,30,129,389,21,368,132,18,19,58,488,28,460,128,27,28,122,0,0,0.0,0.0
esm3_top28_bilstm_attn,test,1,C,4698,572,3606,208,4178,572,3606,208,187,569,3441,4018,520,3498,208,182,517,3307,3980,501,3479,208,180,499,3276,2274,435,1839,207,173,429,1705,3756,476,3280,188,167,474,3114,18,31,0.03481624758220503,0.00937405503477472
esm3_top28_bilstm_attn,test,1,T,2487,322,1853,199,2175,322,1853,199,142,322,1538,2161,315,1846,199,139,315,1510,2161,315,1846,199,139,315,1510,1443,256,1187,194,122,249,896,2042,290,1752,180,126,290,1433,0,0,0.0,0.0
esm3_top28_bilstm_attn,test,1,G,496,28,420,145,448,28,420,145,23,23,111,447,28,419,145,23,23,111,447,28,419,145,23,23,111,338,22,316,133,17,17,50,429,28,401,135,23,23,111,0,0,0.0,0.0
esm3_top28_bilstm_attn,test,1,S,1222,143,882,177,1025,143,882,177,76,133,506,1024,143,881,177,76,133,506,1024,143,881,177,76,133,506,274,86,188,112,42,64,95,974,139,835,164,73,129,490,0,0,0.0,0.0
esm3_top28_bilstm_attn,test,1,H,1522,16,736,186,752,16,736,186,14,16,98,749,16,733,186,14,16,97,743,16,727,186,14,16,97,645,15,630,182,13,15,81,700,16,684,170,14,16,97,0,0,0.0,0.0
esm3_top28_bilstm_attn,test,1,E,1680,19,1543,175,1562,19,1543,175,18,19,164,1560,19,1541,175,18,19,164,1557,19,1538,175,18,19,164,1451,18,1433,175,17,18,153,1460,19,1441,160,18,19,164,0,0,0.0,0.0
esm2_frozen_bilstm_attn,train,1,I,24,0,24,22,24,0,24,22,0,0,0,24,0,24,22,0,0,0,24,0,24,22,0,0,0,16,0,16,16,0,0,0,24,0,24,22,0,0,0,0,0,,
esm2_frozen_bilstm_attn,validation,1,I,13,0,13,8,13,0,13,8,0,0,0,13,0,13,8,0,0,0,13,0,13,8,0,0,0,7,0,7,5,0,0,0,13,0,13,8,0,0,0,0,0,,
esm2_frozen_bilstm_attn,test,1,B,57,0,53,34,53,0,53,34,0,0,0,53,0,53,34,0,0,0,53,0,53,34,0,0,0,0,0,0,0,0,0,0,53,0,53,34,0,0,0,0,0,,
esm2_frozen_bilstm_attn,test,1,I,12,0,12,11,12,0,12,11,0,0,0,12,0,12,11,0,0,0,12,0,12,11,0,0,0,10,0,10,9,0,0,0,12,0,12,11,0,0,0,0,0,,
esm2_top4_bilstm_attn,train,1,B,188,0,179,123,178,0,178,122,0,0,0,178,0,178,122,0,0,0,178,0,178,122,0,0,0,0,0,0,0,0,0,0,173,0,173,118,0,0,0,0,0,,
esm2_top4_bilstm_attn,train,1,I,24,0,24,22,24,0,24,22,0,0,0,24,0,24,22,0,0,0,24,0,24,22,0,0,0,16,0,16,16,0,0,0,24,0,24,22,0,0,0,0,0,,
esm2_top4_bilstm_attn,validation,1,I,13,0,11,7,11,0,11,7,0,0,0,11,0,11,7,0,0,0,11,0,11,7,0,0,0,5,0,5,4,0,0,0,11,0,11,7,0,0,0,0,0,,
esm2_top4_bilstm_attn,validation,1,B,41,0,38,26,38,0,38,26,0,0,0,38,0,38,26,0,0,0,38,0,38,26,0,0,0,0,0,0,0,0,0,0,34,0,34,24,0,0,0,0,0,,
esm2_top4_bilstm_attn,test,1,B,57,0,52,33,52,0,52,33,0,0,0,52,0,52,33,0,0,0,52,0,52,33,0,0,0,0,0,0,0,0,0,0,52,0,52,33,0,0,0,0,0,,
esm2_top4_bilstm_attn,test,1,I,12,0,10,9,10,0,10,9,0,0,0,10,0,10,9,0,0,0,10,0,10,9,0,0,0,9,0,9,8,0,0,0,10,0,10,9,0,0,0,0,0,,
esm2_top28_bilstm_attn,train,1,B,188,0,178,121,177,0,177,120,0,0,0,177,0,177,120,0,0,0,177,0,177,120,0,0,0,0,0,0,0,0,0,0,173,0,173,116,0,0,0,0,0,,
esm2_top28_bilstm_attn,train,1,I,24,0,24,22,24,0,24,22,0,0,0,24,0,24,22,0,0,0,24,0,24,22,0,0,0,16,0,16,16,0,0,0,24,0,24,22,0,0,0,0,0,,
esm2_top28_bilstm_attn,validation,1,I,13,0,11,7,11,0,11,7,0,0,0,11,0,11,7,0,0,0,11,0,11,7,0,0,0,5,0,5,4,0,0,0,11,0,11,7,0,0,0,0,0,,
