condition,sign,model_cohort,receiver_scope,evaluation_split,specification,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_query_biophysics,delta_auroc_from_ordinary_structure,delta_auroc_full_minus_specification
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_biophysics,5036,164,0.9742366592810925,0.9776000722390765,0.9586937156931008,0.0,-0.0019085883795816327,0.0017718438026792516
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_plus_ordinary_structure,5036,164,0.9761452476606741,0.9793594232240141,0.9685910360387948,0.0019085883795816327,0.0,-0.00013674457690238118
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_plus_structure_and_water,5036,164,0.9760085030837717,0.9793088947354804,0.9676179205144135,0.0017718438026792516,-0.00013674457690238118,0.0
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without_rsa,5036,164,0.975740218740852,0.9790974536565719,0.9630303843954886,0.0015035594597595514,-0.00040502891982208133,0.00026828434291970016
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__geometry,5036,164,0.9758739666084569,0.9791740209598323,0.9654955273992133,0.0016373073273644456,-0.0002712810522171871,0.00013453647531480595
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__contact_network,5036,164,0.9754927536414749,0.9787948466848624,0.9654648590766408,0.0012560943603824315,-0.0006524940191992012,0.0005157494422968201
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__community_domain,5036,164,0.9762170109622782,0.979337571804263,0.9647983209890494,0.0019803516811857103,7.176330160407751e-05,-0.0002085078785064587
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__putative_polar_contacts,5036,164,0.9757018924061494,0.9790172722313014,0.9673108107841517,0.001465233125056864,-0.00044335525452476876,0.0003066106776223876
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__water_network,5036,164,0.9761452476606741,0.9793594232240141,0.9685910360387948,0.0019085883795816327,0.0,-0.00013674457690238118
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_biophysics,5235,170,0.9715220353402778,0.9764012156295817,0.9583558163451888,0.0,-0.0016640113139340107,0.0014435834620136756
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_plus_ordinary_structure,5235,170,0.9731860466542118,0.9778539393265369,0.9642002289174154,0.0016640113139340107,0.0,-0.0002204278519203351
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_plus_structure_and_water,5235,170,0.9729656188022915,0.9776621479480752,0.9635549652991309,0.0014435834620136756,-0.0002204278519203351,0.0
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without_rsa,5235,170,0.9729946685655577,0.9775504384029801,0.9645431323659116,0.0014726332252799068,-0.00019137808865410388,-2.904976326623121e-05
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__geometry,5235,170,0.9730272218178612,0.9777782082512602,0.9636708230944898,0.0015051864775833534,-0.00015882483635065725,-6.160301556967784e-05
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__contact_network,5235,170,0.9724688532525663,0.9773740393165183,0.9641726714987733,0.0009468179122884557,-0.000717193401645555,0.0004967655497252199
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__community_domain,5235,170,0.9722071134257495,0.9770526278971303,0.9624760772192833,0.0006850780854716909,-0.0009789332284623198,0.0007585053765419847
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__putative_polar_contacts,5235,170,0.9729548163777602,0.9774122085081014,0.9619751219963021,0.0014327810374823446,-0.00023123027645166605,1.0802424531330956e-05
esm3_top4_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__water_network,5235,170,0.9731860466542118,0.9778539393265369,0.9642002289174154,0.0016640113139340107,0.0,-0.0002204278519203351
esm3_top4_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,query_biophysics,8967,203,0.8830606986763119,0.8771626432231205,0.8820706401224552,0.0,-0.006609534590609201,0.0075578052541926954
esm3_top4_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,query_plus_ordinary_structure,8967,203,0.8896702332669211,0.8821043839976292,0.8958821728757487,0.006609534590609201,0.0,0.0009482706635834948
esm3_top4_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,query_plus_structure_and_water,8967,203,0.8906185039305046,0.8826417302683319,0.8980628402416868,0.0075578052541926954,0.0009482706635834948,0.0
esm3_top4_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without_rsa,8967,203,0.8799514913706822,0.8756406218430641,0.8926000201868378,-0.003109207305629691,-0.009718741896238892,0.010667012559822386
esm3_top4_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__geometry,8967,203,0.8901355869327219,0.8822328172604876,0.8969689357142188,0.007074888256410006,0.00046535366580080506,0.0004829169977826897
esm3_top4_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__contact_network,8967,203,0.8905600424147004,0.8826593229640902,0.8966350927962562,0.007499343738388564,0.0008898091477793635,5.846151580413128e-05
esm3_top4_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__community_domain,8967,203,0.8893440926404563,0.8819216565864008,0.8961793269398401,0.006283393964144457,-0.00032614062646474373,0.0012744112900482385
esm3_top4_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__putative_polar_contacts,8967,203,0.8890191958760301,0.8810365601271049,0.8952673879770955,0.0059584971997181935,-0.0006510373908910072,0.001599308054474502
esm3_top4_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__water_network,8967,203,0.8896702332669211,0.8821043839976292,0.8958821728757487,0.006609534590609201,0.0,0.0009482706635834948
esm3_top4_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,test,query_biophysics,8883,199,0.8814821367287835,0.8803995153551454,0.8767379828648755,0.0,-0.0046790684140703975,0.004913267693324563
