condition,split,sign,label,seed_a,seed_b,observed_n_proteins,observed_n_informative_proteins,observed_total_bands_seed_a,observed_total_bands_seed_b,observed_total_matched_bands,observed_micro_f1,observed_micro_jaccard,observed_macro_f1_informative_proteins,observed_mean_matched_apex_distance,null_mean_micro_jaccard,null_std_micro_jaccard,micro_jaccard_empirical_p_upper,micro_jaccard_null_z,null_mean_macro_f1,null_std_macro_f1,macro_f1_empirical_p_upper,macro_f1_null_z,micro_jaccard_empirical_q_bh,macro_f1_empirical_q_bh
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,1,2,967,965,6469,6201,5547,0.875611681136543,0.778744910852169,0.864378798806622,0.6259239228411754,0.2476529094980248,0.004536563689901458,0.000999000999000999,117.06922632572595,0.37351151908102836,0.0072108746441916505,0.000999000999000999,68.07319554791964,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,1,3,967,966,6469,6582,5100,0.7815493065665466,0.6414287511004905,0.7674286108389832,1.1976470588235295,0.2478681752262952,0.004285082142669947,0.000999000999000999,91.84434808266609,0.3761432980267228,0.006868143947672122,0.000999000999000999,56.971041345876564,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,train,1,flexibility_supporting,2,3,967,965,6201,6582,5444,0.8517562387545959,0.7417904346641232,0.8372516341754129,0.6974650991917708,0.2461027739561697,0.004647993806577364,0.000999000999000999,106.64550800530482,0.36969664878230407,0.007270165992538414,0.000999000999000999,64.31145944576429,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,1,2,967,961,5867,5697,5176,0.8951919750951228,0.8102692548528491,0.8755155026888003,0.6974497681607419,0.27763617210554353,0.005290011002959579,0.000999000999000999,100.6865737045378,0.40658588190084904,0.008187562132635136,0.000999000999000999,57.27341218197608,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,1,3,967,966,5867,6004,4878,0.8218347232752085,0.6975546975546976,0.7772242752782518,1.4604346043460434,0.28866856030779414,0.004984563530056194,0.000999000999000999,82.03047965611822,0.4168682857087357,0.007641909184626627,0.000999000999000999,47.15523056652532,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,2,3,967,966,5697,6004,5120,0.8751388770190582,0.7779972648533657,0.8382531309744411,0.873046875,0.2834197144955865,0.005334470931024921,0.000999000999000999,92.71351493947596,0.40898531700103746,0.008086894695099066,0.000999000999000999,53.08190970182344,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,1,2,208,208,1362,1311,1169,0.8746726524504302,0.7772606382978723,0.8750843692547616,0.6150556030795552,0.2394437888044193,0.00982936867377823,0.000999000999000999,54.715299358766046,0.36402398711551337,0.01434159354420122,0.000999000999000999,35.63483936175886,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,1,3,208,208,1362,1400,1081,0.782766111513396,0.6430696014277216,0.7761783424373322,1.1498612395929695,0.24546648447351957,0.009614601759610946,0.000999000999000999,41.35409108929032,0.37229125169765426,0.014312752349901387,0.000999000999000999,28.218687843254738,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,validation,1,flexibility_supporting,2,3,208,208,1311,1400,1163,0.8579859830320915,0.7512919896640827,0.8530252522756503,0.6964746345657782,0.2434066015955051,0.009991568543645555,0.000999000999000999,50.83139707744716,0.3699193556328356,0.014317721433241816,0.000999000999000999,33.741814219207775,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,1,2,208,207,1226,1193,1067,0.882182720132286,0.7892011834319527,0.8719199672709578,0.7516401124648547,0.2721408244692657,0.010926914924217443,0.000999000999000999,47.31988512299298,0.4082710730754686,0.016798736591348243,0.000999000999000999,27.60022408079662,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,1,3,208,208,1226,1260,1000,0.8045052292839904,0.6729475100942126,0.7811907494036787,1.58,0.2846389005860861,0.010974743395880246,0.000999000999000999,35.38202174766945,0.4203385979204108,0.01604551098983862,0.000999000999000999,22.48929010187274,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,validation,-1,rigidity_supporting,2,3,208,208,1193,1260,1056,0.8609865470852018,0.7559055118110236,0.8445576733121994,1.0075757575757576,0.28195586126406796,0.010996419537042787,0.000999000999000999,43.10036089023324,0.41891829706901784,0.01627977442103508,0.000999000999000999,26.14528710503589,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,1,2,208,208,1359,1327,1173,0.8734177215189873,0.7752808988764045,0.8788017632143881,0.6104006820119352,0.23902953373228744,0.00972799809396064,0.000999000999000999,55.124534355843885,0.3691820051632963,0.01512403754484525,0.000999000999000999,33.69601249269486,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,1,3,208,208,1359,1405,1080,0.7814761215629522,0.6413301662707839,0.7851525334824518,1.2805555555555554,0.24160086273768058,0.009303458333768347,0.000999000999000999,42.96566816258248,0.3730048227820433,0.01434937766508949,0.000999000999000999,28.722340461016653,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,2,3,208,208,1327,1405,1175,0.8601756954612005,0.7546563904945408,0.8505245178210639,0.8102127659574467,0.24331712094409544,0.00975963620473648,0.000999000999000999,52.39327151377689,0.37348143851966953,0.015322056354555585,0.000999000999000999,31.13440312856955,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,1,2,208,208,1232,1208,1079,0.8844262295081967,0.7927994121969141,0.8703097649241751,0.706209453197405,0.2697959271371832,0.010783122027359048,0.000999000999000999,48.502046414086855,0.4034123237250135,0.01625323820719415,0.000999000999000999,28.7264257895697,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,1,3,208,208,1232,1271,1010,0.8070315621254495,0.6764902880107166,0.7883122115830121,1.5336633663366337,0.2793416067835752,0.010905883113971903,0.000999000999000999,36.41600382809353,0.4172896476065666,0.01604117288756427,0.000999000999000999,23.129391259418213,0.000999000999000999,0.000999000999000999
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,2,3,208,208,1208,1271,1070,0.8632513110125051,0.759403832505323,0.8418793424528931,0.9560747663551402,0.2790432987988589,0.010464547390200186,0.000999000999000999,45.903613008271236,0.4110399643560445,0.015985129156857902,0.000999000999000999,26.952511541766984,0.000999000999000999,0.000999000999000999
esm2_top4_bilstm_attn,train,1,flexibility_supporting,1,2,967,958,5425,5645,5116,0.9242999096657634,0.8592542828350689,0.9184888904073882,0.2691555903049257,0.21231191475793515,0.004893056179594508,0.000999000999000999,132.21641941800604,0.31461679375129364,0.00809694857447857,0.000999000999000999,74.58020649402272,0.000999000999000999,0.000999000999000999
esm2_top4_bilstm_attn,train,1,flexibility_supporting,1,3,967,959,5425,6032,5209,0.9093130837042855,0.8337067861715749,0.8991299446722323,0.26243040890765984,0.2166371896093185,0.004618849300352923,0.000999000999000999,133.59812291669843,0.32082885851624837,0.007844337904750818,0.000999000999000999,73.72210289484643,0.000999000999000999,0.000999000999000999
esm2_top4_bilstm_attn,train,1,flexibility_supporting,2,3,967,959,5645,6032,5415,0.927464245953584,0.8647396997764293,0.9242220874704111,0.23878116343490305,0.21745803860203353,0.004886803942556785,0.000999000999000999,132.4550092009087,0.32325535998218746,0.007898156250977931,0.000999000999000999,76.08949587618166,0.000999000999000999,0.000999000999000999
