condition,split,sign,q8,n_selected_segments,n_proteins,structure_available_fraction,structure_eligible_fraction,fully_resolved_fraction,strain_available_fraction
esm2_top4_bilstm_attn,validation,1,H,12,11,1.0,1.0,1.0,0.0
esm2_top4_bilstm_attn,validation,1,S,198,110,1.0,0.9949494949494949,0.9949494949494949,0.0
esm2_top4_bilstm_attn,validation,1,T,421,165,1.0,0.9857482185273159,0.9857482185273159,0.0
esm3_frozen_bilstm_attn,test,1,B,1,1,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,1,C,701,197,1.0,0.9144079885877318,0.8815977175463623,1.0
esm3_frozen_bilstm_attn,test,1,E,28,25,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,1,G,24,23,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,1,H,13,10,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,1,S,161,99,1.0,0.9813664596273292,0.9813664596273292,1.0
esm3_frozen_bilstm_attn,test,1,T,325,147,1.0,0.9876923076923076,0.9876923076923076,1.0
esm3_frozen_bilstm_attn,train,1,B,3,3,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,train,1,C,3167,901,0.9933691190401011,0.894537417113988,0.8645405746763498,0.0
esm3_frozen_bilstm_attn,train,1,E,122,108,0.9918032786885246,0.9836065573770492,0.9836065573770492,0.0
esm3_frozen_bilstm_attn,train,1,G,129,111,1.0,0.9844961240310077,0.9844961240310077,0.0
esm3_frozen_bilstm_attn,train,1,H,84,78,1.0,0.9642857142857143,0.9642857142857143,0.0
esm3_frozen_bilstm_attn,train,1,S,786,463,0.9974554707379135,0.989821882951654,0.989821882951654,0.0
esm3_frozen_bilstm_attn,train,1,T,1566,656,0.9974457215836526,0.9821200510855683,0.9821200510855683,0.0
esm3_frozen_bilstm_attn,validation,1,C,636,191,1.0,0.9040880503144654,0.8742138364779874,0.0
esm3_frozen_bilstm_attn,validation,1,E,29,26,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,1,G,23,19,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,1,H,11,11,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,1,S,197,120,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,1,T,345,152,1.0,0.991304347826087,0.991304347826087,0.0
esm3_top28_bilstm_attn,test,1,C,648,190,1.0,0.9367283950617284,0.9104938271604939,1.0
esm3_top28_bilstm_attn,test,1,E,28,25,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,1,G,26,24,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,1,H,14,12,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,1,S,164,98,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,1,T,342,152,1.0,0.9824561403508771,0.9824561403508771,1.0
esm3_top28_bilstm_attn,train,1,C,2975,874,0.9936134453781512,0.9005042016806722,0.8752941176470588,0.0
esm3_top28_bilstm_attn,train,1,E,99,91,1.0,0.98989898989899,0.98989898989899,0.0
esm3_top28_bilstm_attn,train,1,G,150,132,1.0,0.98,0.98,0.0
esm3_top28_bilstm_attn,train,1,H,91,85,0.989010989010989,0.967032967032967,0.967032967032967,0.0
esm3_top28_bilstm_attn,train,1,S,831,464,1.0,0.9915764139590855,0.9915764139590855,0.0
esm3_top28_bilstm_attn,train,1,T,1568,658,0.9929846938775511,0.9738520408163265,0.9738520408163265,0.0
esm3_top28_bilstm_attn,validation,1,C,605,196,1.0,0.9074380165289256,0.8859504132231405,0.0
esm3_top28_bilstm_attn,validation,1,E,32,30,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,1,G,36,32,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,1,H,8,8,1.0,1.0,1.0,0.0
