condition,split,sign,mechanism_class,n_proteins,n_bands,fraction_high_receivers_long_range_macro_mean,fraction_positive_directional_mass_long_range_macro_mean,fraction_attention_mass_long_range_macro_mean
esm3_top28_bilstm_attn,test,-1,combined,153,580,0.5752091631943383,0.6586905496684357,0.6600366454742519
esm3_top28_bilstm_attn,test,-1,consultation_dominated,1,1,0.3076923076923077,0.5360070340486338,0.5633244064835545
esm3_top28_bilstm_attn,test,-1,evidence_dominated,82,169,0.6738305069067784,0.734316860396365,0.735684213843675
esm3_top28_bilstm_attn,test,1,combined,199,1051,0.6370010137276669,0.7366980040203394,0.7374420719777601
esm3_top28_bilstm_attn,test,1,consultation_dominated,19,23,0.5945274367874988,0.6944902608289452,0.69535331071881
esm3_top28_bilstm_attn,test,1,evidence_dominated,20,31,0.7272679421570915,0.7894115122926779,0.7901275783841035
esm3_top28_bilstm_attn,test,1,not_magnitude_enriched,1,1,0.3636363636363636,0.634033360964052,0.6335811342177964
esm3_top28_bilstm_attn,test,1,unclassified,10,12,0.5038131548085781,0.6421842702501522,0.6435204034969981
esm3_top28_bilstm_attn,train,-1,combined,620,2547,0.5816003678882891,0.6726338942763621,0.6742068931751495
esm3_top28_bilstm_attn,train,-1,consultation_dominated,6,6,0.1770239156268568,0.25427977958829284,0.2534861664352946
esm3_top28_bilstm_attn,train,-1,evidence_dominated,395,769,0.6323715587217614,0.7022269783979174,0.7043832669008445
esm3_top28_bilstm_attn,train,1,combined,910,4845,0.6057993647669426,0.714038525996063,0.7151421200159656
esm3_top28_bilstm_attn,train,1,consultation_dominated,92,119,0.6194400968803694,0.7210234541640211,0.7222029397537384
esm3_top28_bilstm_attn,train,1,evidence_dominated,96,137,0.6904540688660471,0.7567535552816173,0.7567386063367749
esm3_top28_bilstm_attn,train,1,unclassified,42,46,0.3442730668760297,0.5074557854283862,0.5087178011881613
esm3_top28_bilstm_attn,validation,-1,combined,149,575,0.5655905397817117,0.6626761124518337,0.6639202989167412
esm3_top28_bilstm_attn,validation,-1,evidence_dominated,88,169,0.6658355873722437,0.7381416933172392,0.7394802927815516
esm3_top28_bilstm_attn,validation,1,combined,204,1095,0.6324614640389277,0.7364903784121254,0.7373103557907033
esm3_top28_bilstm_attn,validation,1,consultation_dominated,15,17,0.5224269587681262,0.6643545086040319,0.6658321147089336
esm3_top28_bilstm_attn,validation,1,evidence_dominated,29,37,0.7807579692790311,0.799864526547912,0.7998759328929749
esm3_top28_bilstm_attn,validation,1,not_magnitude_enriched,2,2,0.4236111111111111,0.5724571706650207,0.574941144573276
esm3_top28_bilstm_attn,validation,1,unclassified,6,6,0.5170443469785575,0.673989306371601,0.674967621540203
