condition,sign,model_cohort,receiver_scope,stage,evaluation_split,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_previous_stage
esm3_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,00_distance_q8,validation,5301,169,0.5152538688601881,0.5086488357485766,0.5186094576435534,
esm3_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,00_distance_q8,test,5080,173,0.5080924585773551,0.5025925511117737,0.5072123736812542,
esm3_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,01_add_query_biophysics,validation,5301,169,0.9723911315440934,0.9760279685922223,0.9487935821126335,0.4571372626839053
esm3_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,01_add_query_biophysics,test,5080,173,0.9745495064999329,0.9707312755543587,0.9451047891991805,0.4664570479225778
esm3_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,validation,5301,169,0.972791854240002,0.9761411628522678,0.9504712166025471,0.0004007226959086285
esm3_top28_bilstm_attn,-1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,test,5080,173,0.9757867252520208,0.9722723031104984,0.9439016386180474,0.0012372187520879319
esm3_top28_bilstm_attn,1,all_receivers,all_eligible_queries,00_distance_q8,validation,9863,206,0.5155844420183928,0.5127490442052861,0.5439429122153633,
esm3_top28_bilstm_attn,1,all_receivers,all_eligible_queries,00_distance_q8,test,9908,198,0.5266547479705109,0.5263671957490368,0.5447715445169029,
esm3_top28_bilstm_attn,1,all_receivers,all_eligible_queries,01_add_query_biophysics,validation,9863,206,0.8527514921245839,0.8455204669133742,0.8599499449442296,0.3371670501061911
esm3_top28_bilstm_attn,1,all_receivers,all_eligible_queries,01_add_query_biophysics,test,9908,198,0.86935633947299,0.8617335524046988,0.8717701652293199,0.34270159150247903
esm3_top28_bilstm_attn,1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,validation,9863,206,0.8530043360533897,0.846390530482781,0.8593999792551363,0.0002528439288057571
esm3_top28_bilstm_attn,1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,test,9908,198,0.8683655189064138,0.8615436825738173,0.8719046690571857,-0.0009908205665761782
esm3_top28_bilstm_attn,-1,all_receivers,sequence_distal_ge21,00_distance_q8,validation,4643,163,0.5163381901541662,0.5095262964229147,0.5379699948806297,
esm3_top28_bilstm_attn,-1,all_receivers,sequence_distal_ge21,00_distance_q8,test,4505,168,0.5097704443786508,0.5058741343265936,0.5217654778704957,
