sign,evaluation_split,structural_cohort,model_training_cohort,increment,observed_mean_delta_auroc,bootstrap_median_mean_delta_auroc,ci95_low,ci95_high,valid_replicates,total_replicates,valid_replicate_fraction,fraction_mean_delta_le_zero,n_conditions,n_proteins_in_universe
-1,test,reference_80,reference_80,delta_local_annotation,0.00968161009368107,0.009614653900116446,0.003985831527102342,0.015309115664708283,2000,2000,1.0,0.0,6,186
-1,test,reference_80,reference_80,delta_experimental_pdb_geometry,0.006685463683344606,0.006666229313364922,0.0029579447799968936,0.01034427898141137,2000,2000,1.0,0.0,6,186
-1,test,reference_80,reference_80,delta_contact_network,0.0030475554573700845,0.00298808080663641,0.00012621313053006318,0.005928573233132662,2000,2000,1.0,0.0215,6,186
-1,test,reference_80,reference_80,delta_ecod_domain,0.0008978817882825026,0.0009290221951672912,-0.0006688789389182946,0.0023977912397649304,2000,2000,1.0,0.119,6,186
-1,test,reference_80,reference_80,delta_total_external_structure,0.020312511022678264,0.020176520765408247,0.013881514781701427,0.026757459261545127,2000,2000,1.0,0.0,6,186
-1,test,fully_resolved_local,reference_80,delta_local_annotation,0.01026705998766266,0.01017332822610409,0.0043296018794481035,0.01593520299578603,2000,2000,1.0,0.0,6,186
-1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,0.006606095516108153,0.006581193004236467,0.0029173467828658988,0.010263710223094434,2000,2000,1.0,0.0,6,186
-1,test,fully_resolved_local,reference_80,delta_contact_network,0.0030886840150011565,0.0030280893436976466,0.00019348887527330066,0.005994346784412876,2000,2000,1.0,0.0175,6,186
-1,test,fully_resolved_local,reference_80,delta_ecod_domain,0.001024827693048606,0.0010492373367781416,-0.0005626400733731806,0.0025579305189576693,2000,2000,1.0,0.0925,6,186
-1,test,fully_resolved_local,reference_80,delta_total_external_structure,0.020986667211820575,0.020843709747652768,0.014530983325594573,0.02745770127542405,2000,2000,1.0,0.0,6,186
-1,test,fully_resolved_geometry,reference_80,delta_local_annotation,0.012152689740587383,0.01206657418465799,0.005840077828345071,0.01842775420175047,2000,2000,1.0,0.0,6,186
-1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,0.007355394600929044,0.007401576958753542,0.0032335641028483366,0.011406988768510788,2000,2000,1.0,0.0,6,186
-1,test,fully_resolved_geometry,reference_80,delta_contact_network,0.0029916136570571536,0.0029426930536938884,-0.00019569960935580247,0.006095427831151294,2000,2000,1.0,0.0345,6,186
-1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,0.0011511325253360887,0.0011713884088172348,-0.0006231866921288682,0.0028464307734564335,2000,2000,1.0,0.0945,6,186
-1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,0.023650830523909667,0.02350054532966972,0.016208904436743724,0.031097906950554966,2000,2000,1.0,0.0,6,186
1,test,reference_80,reference_80,delta_local_annotation,0.022964816866883547,0.022892945573686714,0.017100321676570808,0.029049595650725495,2000,2000,1.0,0.0,6,206
1,test,reference_80,reference_80,delta_experimental_pdb_geometry,0.0067409291376118174,0.006729944573491251,0.002990153963757638,0.010659244907189436,2000,2000,1.0,0.0,6,206
1,test,reference_80,reference_80,delta_contact_network,0.009266517965326812,0.009203681557690468,0.006364608468397075,0.01218722915271629,2000,2000,1.0,0.0,6,206
1,test,reference_80,reference_80,delta_ecod_domain,0.005370707182382288,0.005382284880371495,0.00392045957187622,0.0070467912935126865,2000,2000,1.0,0.0,6,206
1,test,reference_80,reference_80,delta_total_external_structure,0.04434297115220446,0.04426061029027048,0.036988699158131265,0.05191059107482428,2000,2000,1.0,0.0,6,206
1,test,fully_resolved_local,reference_80,delta_local_annotation,0.023106889643494277,0.023029973466602748,0.017229063082688723,0.02913499299605562,2000,2000,1.0,0.0,6,206
1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,0.007062820534551965,0.007049166626902183,0.0032942698216499467,0.011006950444278008,2000,2000,1.0,0.0,6,206
1,test,fully_resolved_local,reference_80,delta_contact_network,0.009622763008540444,0.009579612876001103,0.006664149233953807,0.012636517227045087,2000,2000,1.0,0.0,6,206
1,test,fully_resolved_local,reference_80,delta_ecod_domain,0.005439465612757007,0.005461009601703806,0.003982885556603654,0.007076679858403124,2000,2000,1.0,0.0,6,206
1,test,fully_resolved_local,reference_80,delta_total_external_structure,0.045231938799343695,0.04517681212307672,0.037981523922419415,0.05280709844752324,2000,2000,1.0,0.0,6,206
1,test,fully_resolved_geometry,reference_80,delta_local_annotation,0.021974919954102185,0.022004202125218253,0.01451233760669804,0.029342243495807892,2000,2000,1.0,0.0,6,206
1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,0.0019049939244069798,0.0019083087208101313,-0.0035496762413727507,0.007289686683749238,2000,2000,1.0,0.2525,6,206
1,test,fully_resolved_geometry,reference_80,delta_contact_network,0.010756354003290522,0.010671986059006777,0.006698707519611056,0.014946137759052696,2000,2000,1.0,0.0,6,206
1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,0.006966632907739338,0.006988458231001101,0.004652797639807262,0.009446152023002407,2000,2000,1.0,0.0,6,206
1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,0.04160290078953902,0.04149471802359568,0.03209172221417744,0.05133306850588311,2000,2000,1.0,0.0,6,206
