condition,sign,evaluation_split,structural_cohort,model_training_cohort,increment,smaller_stage,expanded_stage,observed_delta_auroc,bootstrap_median_delta_auroc,ci95_low,ci95_high,valid_replicates,total_replicates,valid_replicate_fraction,fraction_delta_le_zero,n_proteins,n_selected_segments,n_control_segments
esm3_top28_bilstm_attn,-1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.0060583908217405336,0.006179723538779824,-0.00042168739795775395,0.011970146011347715,2000,2000,1.0,0.0355,166,692,795
esm3_top28_bilstm_attn,-1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.005571402243189305,0.005474669129806153,0.0008771426574711305,0.010364475052695738,2000,2000,1.0,0.0085,166,692,795
esm3_top28_bilstm_attn,-1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0027557436594823903,0.0027375243185293607,-0.0003050326416149579,0.005892482930836944,2000,2000,1.0,0.037,166,692,795
esm3_top28_bilstm_attn,-1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.01953735617844765,0.01941638144025659,0.007890379861003511,0.03192607852050853,2000,2000,1.0,0.0005,166,692,795
esm3_top4_bilstm_attn,-1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.011541095405598889,0.011551405551303684,0.0015118768221473124,0.02174099612141378,2000,2000,1.0,0.0125,166,664,839
esm3_top4_bilstm_attn,-1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.010233204940372831,0.010241686881433676,0.004868856221376586,0.015526186542739,2000,2000,1.0,0.0,166,664,839
esm3_top4_bilstm_attn,-1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.004494078413086688,0.004360307469861158,-0.0003612708115697804,0.00952366097926538,2000,2000,1.0,0.036,166,664,839
esm3_top4_bilstm_attn,-1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0011341892635252648,0.0011367847679648047,-0.0007162447676180877,0.0030383229537216893,2000,2000,1.0,0.1225,166,664,839
esm3_top4_bilstm_attn,-1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.027402568022583673,0.02711596752497608,0.01734394846394941,0.03827260923382328,2000,2000,1.0,0.0,166,664,839
esm2_frozen_bilstm_attn,-1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.017100705778034464,0.016909691860925002,0.00900970489648185,0.025531578150079965,2000,2000,1.0,0.0,169,599,1052
