condition,sign,evaluation_split,structural_cohort,model_training_cohort,increment,smaller_stage,expanded_stage,observed_delta_auroc,bootstrap_median_delta_auroc,ci95_low,ci95_high,valid_replicates,total_replicates,valid_replicate_fraction,fraction_delta_le_zero,n_proteins,n_selected_segments,n_control_segments
esm2_top4_bilstm_attn,1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.03013942515338175,0.030038499649764017,0.020083561565695608,0.0399688269174723,2000,2000,1.0,0.0,204,1137,5420
esm2_top4_bilstm_attn,1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.008156406321054188,0.008117247775711711,0.002720277107835012,0.013472158780485811,2000,2000,1.0,0.001,204,1137,5420
esm2_top4_bilstm_attn,1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.00794443725304439,0.007915807025838217,0.004734282375126952,0.011158180034443348,2000,2000,1.0,0.0,204,1137,5420
esm2_top4_bilstm_attn,1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.006172583562704448,0.006141058472075023,0.0037004169877587504,0.008845734716814406,2000,2000,1.0,0.0,204,1137,5420
esm2_top4_bilstm_attn,1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.052412852290184775,0.05233673424445251,0.04090054498816343,0.06385319148282403,2000,2000,1.0,0.0,204,1137,5420
esm3_frozen_bilstm_attn,1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.023859761459869566,0.023717149047481734,0.014182796447734411,0.03369535944261338,2000,2000,1.0,0.0,199,999,5756
esm3_frozen_bilstm_attn,1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.006071798515458027,0.006052887393219242,0.00047964390407603255,0.0112907082785199,2000,2000,1.0,0.0165,199,999,5756
esm3_frozen_bilstm_attn,1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.008669150920014745,0.008705457055589672,0.0028789400261451602,0.01444774088485837,2000,2000,1.0,0.003,199,999,5756
esm3_frozen_bilstm_attn,1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.005386112955486855,0.005425536484510718,0.003334675402323642,0.007595040377800418,2000,2000,1.0,0.0,199,999,5756
esm3_frozen_bilstm_attn,1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.04398682385082919,0.04378081512767956,0.0322711499240749,0.056913424307105706,2000,2000,1.0,0.0,199,999,5756
esm3_top28_bilstm_attn,1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.020488121409710236,0.02036348889187728,0.013305832334195116,0.027736904224052575,2000,2000,1.0,0.0,195,1023,5695
esm3_top28_bilstm_attn,1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.004943347981369972,0.0050536681129955685,-0.000720544140973664,0.011004115076528327,2000,2000,1.0,0.045,195,1023,5695
esm3_top28_bilstm_attn,1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.011380282043849776,0.011258484090036158,0.006857090334965246,0.01615152947099173,2000,2000,1.0,0.0,195,1023,5695
esm3_top28_bilstm_attn,1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.005660527812336169,0.005640321203315923,0.0034950036078616547,0.008196608531473276,2000,2000,1.0,0.0,195,1023,5695
esm3_top28_bilstm_attn,1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.042472279247266154,0.04235437719025714,0.033689216164260224,0.05166935405543815,2000,2000,1.0,0.0,195,1023,5695
esm3_top4_bilstm_attn,1,test,reference_80,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.01633845100923803,0.016158414496340423,0.00894627860471692,0.024119834988420324,2000,2000,1.0,0.0,201,998,5828
esm3_top4_bilstm_attn,1,test,reference_80,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.011232078402736212,0.011240064947505735,0.005578663442756641,0.01719105452623927,2000,2000,1.0,0.0,201,998,5828
esm3_top4_bilstm_attn,1,test,reference_80,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.015176973165212604,0.015119877264046289,0.010188007627404839,0.02042947385542811,2000,2000,1.0,0.0,201,998,5828
esm3_top4_bilstm_attn,1,test,reference_80,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.007853170999109538,0.007856523360141199,0.005319916952354281,0.01071164397173189,2000,2000,1.0,0.0,201,998,5828
esm3_top4_bilstm_attn,1,test,reference_80,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.050600673576296384,0.0504970007690298,0.040323398085305134,0.060964188979293496,2000,2000,1.0,0.0,201,998,5828
esm2_frozen_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.02155184880027161,0.02135422784126889,0.01229564026331626,0.030287139539811443,2000,2000,1.0,0.0,194,920,5651
esm2_frozen_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.003649546728785813,0.003674661678751523,-0.002064531574272005,0.009527282501588514,2000,2000,1.0,0.1095,194,920,5651
esm2_frozen_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.005293363372405269,0.005329995430105261,0.001610926350925862,0.00878620793206072,2000,2000,1.0,0.0015,194,920,5651
esm2_frozen_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0008383600210946085,0.0008366740359642688,-0.0003853990280273722,0.002171584828995926,2000,2000,1.0,0.099,194,920,5651
esm2_frozen_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.0313331189225573,0.0313854212561121,0.020978875367876106,0.04153446940609334,2000,2000,1.0,0.0,194,920,5651
esm2_top28_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.026099447329846037,0.026099994238098778,0.016935753709037153,0.0361222040686685,2000,2000,1.0,0.0,200,1077,5417
esm2_top28_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.006980757749576183,0.006882980065742561,0.0027584445329629282,0.011738463737768507,2000,2000,1.0,0.0,200,1077,5417
esm2_top28_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.007391770702020906,0.007367915182895257,0.003584904453004045,0.011255810647890876,2000,2000,1.0,0.001,200,1077,5417
esm2_top28_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.006435286742377588,0.006479503889767535,0.004049294016094449,0.008977466196977934,2000,2000,1.0,0.0,200,1077,5417
esm2_top28_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.046907262523820714,0.04693758134304693,0.0364748252573567,0.05791829094685694,2000,2000,1.0,0.0,200,1077,5417
esm2_top4_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.02985400963845375,0.02980305868290084,0.019690853483515968,0.03974259450023606,2000,2000,1.0,0.0,204,1123,5398
esm2_top4_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.00811999608259828,0.008136292134969969,0.002723498100050417,0.013536275327786656,2000,2000,1.0,0.0015,204,1123,5398
esm2_top4_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.007936752268981828,0.007897647497165872,0.004769119493916463,0.011236887263579225,2000,2000,1.0,0.0,204,1123,5398
esm2_top4_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.00613207533085347,0.0060974992869351485,0.0036709900427234097,0.008763682499546229,2000,2000,1.0,0.0,204,1123,5398
esm2_top4_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.05204283332088733,0.05198862055950715,0.04069895467071385,0.06344561227148661,2000,2000,1.0,0.0,204,1123,5398
esm3_frozen_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.02419659030577903,0.02405514602702502,0.014229478944055874,0.034216430064255066,2000,2000,1.0,0.0,198,974,5719
esm3_frozen_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.006842662444963454,0.006807237879196182,0.0012032473695670037,0.012148426442993607,2000,2000,1.0,0.0085,198,974,5719
esm3_frozen_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.009615552301702746,0.00962492500293144,0.003814505670777188,0.015528246941791588,2000,2000,1.0,0.001,198,974,5719
esm3_frozen_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.005496558741479918,0.005537849369564973,0.0034354882317308546,0.007698698461412975,2000,2000,1.0,0.0,198,974,5719
esm3_frozen_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.04615136379392515,0.045797966784037636,0.03417460134528658,0.05898752338237658,2000,2000,1.0,0.0,198,974,5719
esm3_top28_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.020440469318644294,0.020300242260069434,0.013103811900484288,0.027612807991768018,2000,2000,1.0,0.0,193,1005,5664
esm3_top28_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.0053522553320471955,0.00542936779008385,-0.0003706935180214199,0.01144899369860529,2000,2000,1.0,0.0335,193,1005,5664
esm3_top28_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.011765789114731806,0.011636122287894846,0.0073058867299531345,0.016613117724800036,2000,2000,1.0,0.0,193,1005,5664
esm3_top28_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0056648784794675056,0.0056364875317236884,0.0034507817546689966,0.008192272466037109,2000,2000,1.0,0.0,193,1005,5664
esm3_top28_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.0432233922448908,0.04315145300285611,0.03415904441166276,0.05230047990720775,2000,2000,1.0,0.0,193,1005,5664
esm3_top4_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.01649897246797094,0.016409698948186224,0.008982796616306946,0.024537900230599183,2000,2000,1.0,0.0,201,980,5783
esm3_top4_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.011431704869340864,0.011447950019201791,0.005578044902356205,0.01741297227340492,2000,2000,1.0,0.0,201,980,5783
esm3_top4_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.015733350291400106,0.015667846733482427,0.010651952057530778,0.021051146966809604,2000,2000,1.0,0.0,201,980,5783
esm3_top4_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.008069634361268951,0.008086540696370825,0.00550731600496863,0.010844286106916151,2000,2000,1.0,0.0,201,980,5783
esm3_top4_bilstm_attn,1,test,fully_resolved_local,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.05173366198998086,0.05170362864926498,0.04110137000485124,0.06207222377954198,2000,2000,1.0,0.0,201,980,5783
esm2_frozen_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.01397444298662709,0.013847590734901327,0.00308930511352829,0.023970810143684507,2000,2000,1.0,0.006,192,733,2982
esm2_frozen_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,-0.0009892675536049556,-0.0010558525850015155,-0.009250874213790682,0.007050707722209411,2000,2000,1.0,0.5955,192,733,2982
esm2_frozen_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.008057973076643465,0.008036050080725166,0.0031345706341234596,0.013196177866549147,2000,2000,1.0,0.001,192,733,2982
esm2_frozen_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0013175631987064618,0.0013480206650980375,-0.0005096686632714315,0.003197546671263967,2000,2000,1.0,0.075,192,733,2982
esm2_frozen_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.02236071170837206,0.022263609353889935,0.009876418490391175,0.034140746969427684,2000,2000,1.0,0.001,192,733,2982
esm2_top28_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.0249176118969181,0.024951659439164275,0.01276055922011202,0.0378738867837197,2000,2000,1.0,0.0,193,855,2801
esm2_top28_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.0006906322479677263,0.0005678791075967027,-0.00559097097546826,0.007080337390597665,2000,2000,1.0,0.42,193,855,2801
esm2_top28_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.00904760260120574,0.008985166786522725,0.004087105937899441,0.014130211955559129,2000,2000,1.0,0.0,193,855,2801
esm2_top28_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.006957772187606848,0.006955951280507855,0.0034446463777413313,0.01048262919348971,2000,2000,1.0,0.0,193,855,2801
esm2_top28_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.041613618933698415,0.04156961494115646,0.02742305275535225,0.05601402697032611,2000,2000,1.0,0.0,193,855,2801
esm2_top4_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.03512209630387231,0.03508452619646146,0.02387441048966585,0.04636858302541528,2000,2000,1.0,0.0,196,890,2777
esm2_top4_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.0038451579857856633,0.0037952785227335917,-0.003662338079359939,0.011251281282639736,2000,2000,1.0,0.161,196,890,2777
esm2_top4_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.010270012901606562,0.01016759719611654,0.0057136993000598355,0.015303558540211282,2000,2000,1.0,0.0,196,890,2777
esm2_top4_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.00911440699661703,0.009110005271756316,0.00511500222316284,0.013398828002689689,2000,2000,1.0,0.0,196,890,2777
esm2_top4_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.058351674187881564,0.058176264964918345,0.043601272561025334,0.07370474911879528,2000,2000,1.0,0.0,196,890,2777
esm3_frozen_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.02246417679608248,0.022479274887999223,0.011238205225913797,0.033644534140458475,2000,2000,1.0,0.0005,192,787,2984
esm3_frozen_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.001314493983582521,0.001366845144938178,-0.005731721289244249,0.008126528964261647,2000,2000,1.0,0.3595,192,787,2984
esm3_frozen_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.012158524416676308,0.01216662755226261,0.004996188379684657,0.019315921120558056,2000,2000,1.0,0.001,192,787,2984
esm3_frozen_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.007437276288403516,0.00747727950392113,0.004423752893252994,0.010672499764391895,2000,2000,1.0,0.0,192,787,2984
esm3_frozen_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.043374471484744825,0.04334622687759365,0.028747355297138313,0.05847811506133196,2000,2000,1.0,0.0,192,787,2984
esm3_top28_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.018604574629905613,0.018683552561779115,0.010287396768758342,0.027320041417885323,2000,2000,1.0,0.0,186,792,2980
esm3_top28_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.001791834904564471,0.0017888463433782809,-0.006396026031678906,0.010013605045199048,2000,2000,1.0,0.3315,186,792,2980
esm3_top28_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.008993197947204545,0.008858750670972693,0.0024232008283847834,0.015778103311955116,2000,2000,1.0,0.004,186,792,2980
esm3_top28_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.0066145096688796645,0.006634210239369109,0.0036292500100343545,0.009814895806508083,2000,2000,1.0,0.0,186,792,2980
esm3_top28_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.03600411715055429,0.036184578115801,0.023959584180883252,0.04819036156834165,2000,2000,1.0,0.0,186,792,2980
esm3_top4_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_local_annotation,01_base_biophysics,02_add_local_sequence_or_annotation_geometry,0.016766617111207527,0.016809058839712232,0.0075402537933459135,0.027053813984410868,2000,2000,1.0,0.0005,195,789,3067
esm3_top4_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_experimental_pdb_geometry,02_add_local_sequence_or_annotation_geometry,03_add_experimental_pdb_geometry,0.004777111978146453,0.00481966712902987,-0.0033669379357767425,0.012982719065113056,2000,2000,1.0,0.1175,195,789,3067
esm3_top4_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_contact_network,03_add_experimental_pdb_geometry,04_add_contact_network,0.016010813076406505,0.015861068801522826,0.00917812062779671,0.02297152846226852,2000,2000,1.0,0.0,195,789,3067
esm3_top4_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_ecod_domain,04_add_contact_network,05_add_ecod_domain,0.010358269106222506,0.010422566928144028,0.006590257226411975,0.014604945547178566,2000,2000,1.0,0.0,195,789,3067
esm3_top4_bilstm_attn,1,test,fully_resolved_geometry,reference_80,delta_total_external_structure,01_base_biophysics,05_add_ecod_domain,0.04791281127198299,0.047799658512853394,0.035491101371110834,0.06217569229529071,2000,2000,1.0,0.0,195,789,3067
