condition,split,sign,mechanism_class,n_proteins,n_bands,fraction_high_receivers_long_range_macro_mean,fraction_positive_directional_mass_long_range_macro_mean,fraction_attention_mass_long_range_macro_mean
esm3_frozen_bilstm_attn,test,-1,combined,156,576,0.5958751784295873,0.6688223726758127,0.670474976792408
esm3_frozen_bilstm_attn,test,-1,evidence_dominated,82,176,0.6613325989888125,0.7144546907887523,0.7161799732456744
esm3_frozen_bilstm_attn,test,1,combined,206,1047,0.6138497668266539,0.7284278258302154,0.7296224738386117
esm3_frozen_bilstm_attn,test,1,consultation_dominated,8,9,0.5224960613616076,0.6324846704618585,0.6335507542245279
esm3_frozen_bilstm_attn,test,1,evidence_dominated,32,48,0.7407480420123816,0.7720348847086127,0.7723108088347626
esm3_frozen_bilstm_attn,test,1,unclassified,8,11,0.4004696692196692,0.546642700546897,0.5482313130134395
esm3_frozen_bilstm_attn,train,-1,combined,678,2790,0.5938575270982176,0.6716108812993693,0.6732093730300358
esm3_frozen_bilstm_attn,train,-1,consultation_dominated,6,7,0.23529040404040405,0.27773818745702256,0.28045976441033005
esm3_frozen_bilstm_attn,train,-1,evidence_dominated,335,622,0.6637014189794163,0.722448387188562,0.7241777917639484
esm3_frozen_bilstm_attn,train,1,combined,934,4906,0.5955815059435361,0.7069842879283104,0.708185149391464
esm3_frozen_bilstm_attn,train,1,consultation_dominated,89,101,0.5689967648529222,0.6732086320837097,0.6745408681230309
esm3_frozen_bilstm_attn,train,1,evidence_dominated,119,163,0.7492728895139493,0.7943827202342238,0.7944070908828041
esm3_frozen_bilstm_attn,train,1,not_magnitude_enriched,1,1,0.6666666666666666,0.6813218666467932,0.685487122299227
esm3_frozen_bilstm_attn,train,1,unclassified,53,61,0.3830164805794193,0.531249212718512,0.532146619563555
esm3_frozen_bilstm_attn,validation,-1,combined,153,588,0.5700342692834506,0.6584586443058966,0.6606001118838726
esm3_frozen_bilstm_attn,validation,-1,evidence_dominated,79,143,0.6760708609291417,0.7394043619438175,0.7413657422797464
esm3_frozen_bilstm_attn,validation,1,combined,204,1040,0.62766711536183,0.7377321512787361,0.7388429962052295
esm3_frozen_bilstm_attn,validation,1,consultation_dominated,9,9,0.5767553702336311,0.7520457709096011,0.7549579532812809
esm3_frozen_bilstm_attn,validation,1,evidence_dominated,22,29,0.7310456449070856,0.7904028274759182,0.790594654268184
esm3_frozen_bilstm_attn,validation,1,unclassified,6,8,0.4955687830687831,0.6100758550987365,0.6110654044067915
