condition,sign,model_cohort,receiver_scope,stage,evaluation_split,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_previous_stage
esm2_top4_bilstm_attn,-1,all_receivers,all_eligible_queries,00_distance_q8,validation,5422,166,0.5101824718993492,0.5043039179819248,0.5095068471651883,
esm2_top4_bilstm_attn,-1,all_receivers,all_eligible_queries,00_distance_q8,test,5315,173,0.5032569482459363,0.5042302640581706,0.5234849905265457,
esm2_top4_bilstm_attn,-1,all_receivers,all_eligible_queries,01_add_query_biophysics,validation,5422,166,0.9776786783387145,0.9764419905932209,0.9530343877041306,0.4674962064393653
esm2_top4_bilstm_attn,-1,all_receivers,all_eligible_queries,01_add_query_biophysics,test,5315,173,0.9740028936806016,0.9681177576236392,0.9482213731947442,0.4707459454346653
esm2_top4_bilstm_attn,-1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,validation,5422,166,0.9789966277042046,0.979360134795198,0.9542460794778472,0.001317949365490123
esm2_top4_bilstm_attn,-1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,test,5315,173,0.9751188212995054,0.9714907294319491,0.9430667789557248,0.0011159276189038891
esm2_top4_bilstm_attn,1,all_receivers,all_eligible_queries,00_distance_q8,validation,9726,204,0.5217640037373972,0.5182610653890529,0.5409209028673985,
esm2_top4_bilstm_attn,1,all_receivers,all_eligible_queries,00_distance_q8,test,10035,200,0.526405896640062,0.5204851066367283,0.5392128153551115,
esm2_top4_bilstm_attn,1,all_receivers,all_eligible_queries,01_add_query_biophysics,validation,9726,204,0.9295094869265524,0.9365270194308366,0.9087349537507808,0.40774548318915527
esm2_top4_bilstm_attn,1,all_receivers,all_eligible_queries,01_add_query_biophysics,test,10035,200,0.9234664106695749,0.9287257993063751,0.9030535453456097,0.3970605140295129
esm2_top4_bilstm_attn,1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,validation,9726,204,0.9307939634676875,0.9394909856185206,0.9102671050103148,0.00128447654113506
esm2_top4_bilstm_attn,1,all_receivers,all_eligible_queries,07_add_source_mechanism_interactions,test,10035,200,0.9242124200694285,0.9300016152956784,0.9037243191402844,0.0007460093998535866
