condition,split,sign,mechanism_class,receiver_scope,feature,n_proteins,n_bands,high_minus_low_macro_protein_mean,ci95_low,ci95_high,inference_eligible,protein_sign_p_two_sided,protein_sign_q_bh
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,absolute_backbone_orientation_cosine,145,494,0.029562199589112385,0.010666958661799255,0.04845744051642552,True,0.007656052792678145,0.027233481287136322
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,absolute_sequence_separation,145,496,-0.30745573338648713,-2.333702651819533,1.718791185046559,True,1.0,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,band_water_contact_count,145,495,0.0006385693604918731,-0.0006236109152520517,0.0019007496362357977,True,1.0,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,direct_ca_contact,145,495,0.1202820609303534,0.08596785280176723,0.15459626905893958,True,2.6541438130652234e-17,2.919558194371746e-16
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,direct_putative_polar_contact,145,495,0.022581028739242736,0.002697258908178117,0.042464798570307355,True,0.0014660719473423367,0.006006740124333785
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,direct_putative_polar_contact_count,145,495,0.22048032080098381,0.14283593632389402,0.2981247052780736,True,7.8366246313468e-08,5.03534230280823e-07
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,disorder,145,496,-0.01644362492335835,-0.02207145134972028,-0.01081579849699642,True,8.14970344632138e-37,1.832777752817164e-35
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,mean_query_contact_water_degree,133,465,-0.04904027655673859,-0.12186569221240774,0.023785139098930555,True,1.0,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,minimum_ca_distance_angstrom,145,495,-2.497946630206826,-3.0185518240655056,-1.9773414363481465,True,3.893241002593815e-14,3.6312994420506365e-13
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,minimum_heavy_atom_distance_angstrom,145,495,-2.291981373458584,-2.799716709318461,-1.7842460375987068,True,9.888123188385314e-11,7.848455424820342e-10
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,minimum_polar_atom_distance_angstrom,145,495,-1.9723523881473022,-2.4800680105209527,-1.4646367657736516,True,8.595663351161875e-09,5.8974991941530965e-08
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,neq,145,496,-0.38366475576920156,-0.43210753652823664,-0.3352219750101665,True,1.846933796755538e-39,4.918676321885802e-38
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,nonlocal_contact_path_exists,145,495,0.0022753724558600024,-0.007084318655877891,0.011635063567597895,True,0.012939453125,0.043649088541666665
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,normalized_query_position,145,496,-0.009968607684727659,-0.029175808746546343,0.009238593377091027,True,0.31898947481598944,0.5827027951512298
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,one_water_bridge,145,495,0.0033502153632818665,-0.0030578116051312417,0.009758242331694974,True,0.880395821280672,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,ordinary_contact_path_exists,145,495,0.0,0.0,0.0,True,1.0,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,query_distance_to_band_domain_boundary_sequence,145,495,2.946185680051598,0.8908344630591136,5.001536897044082,True,0.007656052792678145,0.027233481287136322
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,query_distance_to_community_boundary_edges,145,495,-0.3356410480311968,-0.41911065254287627,-0.25217144351951737,True,1.6862794099851318e-10,1.3177720176872226e-09
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,query_distance_to_ecod_boundary_sequence,145,495,2.7832486145700144,0.6205889667889837,4.945908262351045,True,0.09639401732287689,0.2347791709524703
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,query_in_any_band,145,496,0.6549771176059008,0.5959160481954074,0.7140381870163942,True,1.5435801604555014e-27,2.581988632034657e-26
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,query_to_band_contact_count,145,495,0.40427332097240326,0.31084692862781305,0.4976997133169935,True,6.691287683282994e-20,8.794263812314794e-19
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,query_to_band_contact_fraction,145,495,0.07012306212020962,0.052553138682974766,0.08769298555744448,True,6.691287683282994e-20,8.794263812314794e-19
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,query_water_contact_count,145,495,-0.30842158927195945,-0.38665382523904146,-0.23018935330487744,True,5.83538118989512e-12,4.9417621457521855e-11
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,reachable_query_water_entry_count,145,495,0.004588763591135296,-0.007862753855599888,0.017040281037870482,True,0.6146550157654618,0.9021477533787488
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,relative_backbone_orientation_cosine,145,494,0.029319470449425594,-0.02026855910020977,0.07890749999906096,True,1.0,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,rsa,145,496,-0.14608951484904018,-0.16340756186643254,-0.1287714678316478,True,2.907347193787138e-30,5.448584000208488e-29
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,same_community_as_band_apex,145,495,0.043646516107574126,0.01144781068419607,0.07584522153095219,True,0.4779219422067188,0.7695417748817811
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,same_community_as_band_majority,143,460,0.014310771089305502,-0.01860629971787465,0.04722784189648565,True,0.2791985549760793,0.5251838989512867
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,same_ecod_domain_as_band_apex,145,495,0.007619469585527872,-0.007038296047318094,0.02227723521837384,True,0.8854334972865135,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,shared_water_count,145,495,0.0051224144333864305,-0.002739998407885069,0.01298482727465793,True,0.880395821280672,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,shared_water_fraction_of_band_contacts,145,495,0.0015663086983704387,-0.0005376364179616718,0.0036702538147025494,True,0.880395821280672,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,shared_water_fraction_of_query_contacts,145,495,0.002105287780592463,-0.0018762938867979383,0.006086869447982864,True,1.0,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,shares_any_ecod_domain_with_band,145,495,0.007619469585527872,-0.007038296047318094,0.02227723521837384,True,0.8854334972865135,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,shortest_nonlocal_contact_path_edges,145,495,-0.4988258907193716,-0.6288020040752149,-0.3688497773635283,True,7.381338353514595e-10,5.389575598445579e-09
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,shortest_ordinary_contact_path_edges,145,495,-0.4863969955544027,-0.6007806238859309,-0.3720133672228745,True,1.495758749576493e-09,1.0773721384849899e-08
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,torsion_change_from_previous,145,496,-44.127313528378565,-49.375902796736604,-38.878724260020526,True,8.14970344632138e-37,1.832777752817164e-35
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_at_most_1,145,495,0.0033502153632818665,-0.0030578116051312417,0.009758242331694974,True,0.880395821280672,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_at_most_2,145,495,0.0018524259929919129,-0.007244465171927558,0.010949317157911384,True,0.5044037600228255,0.7791625099604069
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_at_most_3,145,495,0.002252757054372226,-0.007059339388058155,0.011564853496802608,True,0.8974218269914307,1.0
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_exists,145,495,0.001793220396575119,-0.007542258775777783,0.011128699568928022,True,0.7035366713552733,0.9806874812831082
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_without_direct_ca_contact,145,495,-0.002711430167150794,-0.0063433650365666535,0.0009205047022650655,True,0.05958388801809633,0.1594230849981688
esm2_top4_bilstm_attn,test,-1,combined,all_eligible_queries,water_path_without_direct_polar_contact,145,495,-0.0002190343494445462,-0.004868879335081415,0.004430810636192323,True,0.47988766169832786,0.7714794497834914
esm2_top4_bilstm_attn,test,-1,combined,sequence_distal_ge21,absolute_backbone_orientation_cosine,140,484,0.01771711729103678,-0.0010381407185525264,0.03647237530062608,True,0.07555082875265669,0.19283086682897496
esm2_top4_bilstm_attn,test,-1,combined,sequence_distal_ge21,absolute_sequence_separation,140,486,-0.4674202019750326,-2.984320287844733,2.049479883894668,True,0.6727565036145107,0.9602673930294566
esm2_top4_bilstm_attn,test,-1,combined,sequence_distal_ge21,band_water_contact_count,140,485,0.0,0.0,0.0,True,1.0,1.0
esm2_top4_bilstm_attn,test,-1,combined,sequence_distal_ge21,direct_ca_contact,140,485,0.08865627561438227,0.05741254906771847,0.11990000216104607,True,6.041171809636999e-10,4.528641386187143e-09
esm2_top4_bilstm_attn,test,-1,combined,sequence_distal_ge21,direct_putative_polar_contact,140,485,-0.0018551142744581198,-0.007865545873030096,0.004155317324113857,True,1.0,1.0
