match_scheme,condition,split,sign,label,q3,n_proteins_with_cases,n_cases,n_matched_cases,match_rate,n_controls_selected,mean_controls_per_matched_case
q3_only,esm3_top28_bilstm_attn,validation,1,flexibility_supporting,H,42,50,49,0.98,1738,35.46938775510204
q3_neq,esm3_top28_bilstm_attn,validation,1,flexibility_supporting,H,42,50,35,0.7,138,3.942857142857143
q3_neq_rsa,esm3_top28_bilstm_attn,validation,1,flexibility_supporting,H,42,50,27,0.54,106,3.925925925925926
q3_neq_rsa_position,esm3_top28_bilstm_attn,validation,1,flexibility_supporting,H,42,50,22,0.44,64,2.909090909090909
q3_only,esm3_top28_bilstm_attn,test,1,flexibility_supporting,C,203,1191,1191,1.0,52045,43.698572628043664
q3_neq,esm3_top28_bilstm_attn,test,1,flexibility_supporting,C,203,1191,1022,0.8581024349286314,3899,3.815068493150685
q3_neq_rsa,esm3_top28_bilstm_attn,test,1,flexibility_supporting,C,203,1191,812,0.6817800167926112,2510,3.0911330049261085
q3_neq_rsa_position,esm3_top28_bilstm_attn,test,1,flexibility_supporting,C,203,1191,520,0.436607892527288,1234,2.373076923076923
q3_only,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,H,193,891,865,0.9708193041526375,27107,31.33757225433526
q3_neq,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,H,193,891,860,0.9652076318742986,4167,4.845348837209302
q3_neq_rsa,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,H,193,891,823,0.9236812570145904,3514,4.269744835965978
q3_neq_rsa_position,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,H,193,891,616,0.691358024691358,2123,3.4464285714285716
q3_only,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,E,119,286,278,0.972027972027972,5696,20.489208633093526
q3_neq,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,E,119,286,276,0.965034965034965,1333,4.829710144927536
q3_neq_rsa,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,E,119,286,268,0.9370629370629371,1190,4.440298507462686
q3_neq_rsa_position,esm3_top28_bilstm_attn,test,-1,rigidity_supporting,E,119,286,199,0.6958041958041958,700,3.5175879396984926
