condition,split,sign,label,metric,metric_kind,directional_hypothesis,n_proteins,observed_macro_protein_mean,null_mean,delta,ratio_observed_to_null,null_std,null_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,neq,continuous,flexibility-supporting higher,207,1.0219992215550755,1.366552152210789,-0.3445529306557136,0.747866973025288,0.0264815043186207,-13.011078468583758,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,flexible_neq_gt1,binary,flexibility-supporting higher,207,0.1475380288146699,0.5896083423108892,-0.4420703134962193,0.25023056532140436,0.017632774044482803,-25.070945296582,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,neq_top10_within_protein,binary,flexibility-supporting higher,207,0.0018978605935127675,0.1037794616347152,-0.10188160104120243,0.018287439187080107,0.010819989018978514,-9.416054014703686,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,neq_peak,binary,flexibility-supporting higher,207,0.0018115942028985507,0.07223738512284972,-0.07042579091995117,0.025078346895000183,0.008652882562049238,-8.138997659442685,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,distance_to_neq_peak,distance,flexibility-supporting lower,207,7.846284006322369,5.289151661834345,2.557132344488024,1.4834673890975512,0.19036205289011754,13.432994158578834,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,distance_to_neq_top10,distance,flexibility-supporting lower,207,9.643495227894205,7.964087828747142,1.6794073991470624,1.2108725362225514,0.24051677832655102,6.982495819343303,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,q3_is_H,binary,two-sided,207,0.7249788062021651,0.37866614680628957,0.3463126593958756,1.9145593349622438,0.01561885761224306,22.17272658433185,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,q3_is_E,binary,two-sided,207,0.2505709306007686,0.18478652526509518,0.06578440533567345,1.356002177330295,0.011928680966211613,5.51480968616815,0.000999000999000999,1.0,0.000999000999000999,0.0022419139302256186,1.0,0.0010981385027186554
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,q3_is_C,binary,two-sided,207,0.024450263197066262,0.4365473279286152,-0.41209706473154895,0.05600827592527242,0.01715191364342385,-24.026302446406586,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,q8_is_T,binary,upper,207,0.0029522275899087494,0.08756564269143123,-0.08461341510152248,0.03371445122959899,0.009934544635051152,-8.517090436434161,1.0,0.000999000999000999,0.000999000999000999,1.0,0.002147106624718565,0.0010981385027186554
