condition,split,catalog_scope,sign,direction,n_protein_rows,mean_median_nearest_apex_distance,median_median_nearest_apex_distance,n_finite_median_nearest_apex_distance,mean_fraction_within_0_residues,median_fraction_within_0_residues,n_finite_fraction_within_0_residues,mean_fraction_within_2_residues,median_fraction_within_2_residues,n_finite_fraction_within_2_residues,mean_fraction_within_5_residues,median_fraction_within_5_residues,n_finite_fraction_within_5_residues,mean_fraction_within_10_residues,median_fraction_within_10_residues,n_finite_fraction_within_10_residues,mean_source_present_target_missing,median_source_present_target_missing,n_finite_source_present_target_missing,test_set_primary
esm2_top4_bilstm_attn,test,seed_stable,1,uniform_to_observed,208,0.043859649122807015,0.0,57,0.9409356725146198,1.0,57,0.9941520467836257,1.0,57,0.9941520467836257,1.0,57,0.9941520467836257,1.0,57,0.0,0.0,208,True
esm3_frozen_bilstm_attn,test,mean_candidate,-1,observed_to_uniform,208,8.760330578512397,0.0,121,0.46064198400263967,0.5,183,0.5170735154341712,0.6,183,0.5213995627930054,0.6,183,0.5254979234487431,0.6,183,0.2980769230769231,0.0,208,True
esm3_frozen_bilstm_attn,test,mean_candidate,-1,uniform_to_observed,208,2.4421487603305785,0.0,121,0.8142126984126985,1.0,125,0.9161142857142858,1.0,125,0.9257142857142858,1.0,125,0.9257142857142858,1.0,125,0.019230769230769232,0.0,208,True
esm3_frozen_bilstm_attn,test,mean_candidate,1,observed_to_uniform,208,46.775510204081634,31.0,49,0.07142830331236129,0.0,207,0.0852782617275371,0.0,207,0.0852782617275371,0.0,207,0.08785475126054837,0.0,207,0.7596153846153846,1.0,208,True
esm3_frozen_bilstm_attn,test,mean_candidate,1,uniform_to_observed,208,0.14285714285714285,0.0,49,0.8239795918367347,1.0,49,0.9906462585034013,1.0,49,0.9906462585034013,1.0,49,0.9931972789115646,1.0,49,0.0,0.0,208,True
esm3_frozen_bilstm_attn,test,seed_stable,-1,observed_to_uniform,208,9.675675675675675,0.0,111,0.41085742960742966,0.3205128205128205,180,0.4663094313094313,0.5,180,0.47070757945757946,0.5,180,0.47487424612424606,0.5,180,0.3317307692307692,0.0,208,True
esm3_frozen_bilstm_attn,test,seed_stable,-1,uniform_to_observed,208,2.5315315315315314,0.0,111,0.8031780538302277,1.0,115,0.9144616977225672,1.0,115,0.9253312629399586,1.0,115,0.9253312629399586,1.0,115,0.019230769230769232,0.0,208,True
esm3_frozen_bilstm_attn,test,seed_stable,1,observed_to_uniform,208,52.513888888888886,34.5,36,0.04898552095154036,0.0,206,0.0549549425763018,0.0,206,0.0549549425763018,0.0,206,0.056651660098262044,0.0,206,0.8173076923076923,1.0,208,True
esm3_frozen_bilstm_attn,test,seed_stable,1,uniform_to_observed,208,0.1388888888888889,0.0,36,0.8472222222222221,1.0,36,0.9953703703703705,1.0,36,0.9953703703703705,1.0,36,0.9953703703703705,1.0,36,0.0,0.0,208,True
esm3_top28_bilstm_attn,test,mean_candidate,-1,observed_to_uniform,208,18.892857142857142,0.0,98,0.35964897594731843,0.16666666666666666,181,0.38923369448231326,0.16666666666666666,181,0.3906149099519265,0.16666666666666666,181,0.3935615029537682,0.16666666666666666,181,0.39903846153846156,0.0,208,True
