condition,split,sign,n_protein_rows,mean_observed_mean_candidate_bands,median_observed_mean_candidate_bands,n_finite_observed_mean_candidate_bands,mean_uniform_mean_candidate_bands,median_uniform_mean_candidate_bands,n_finite_uniform_mean_candidate_bands,mean_observed_fraction_supported_2of3,median_observed_fraction_supported_2of3,n_finite_observed_fraction_supported_2of3,mean_uniform_fraction_supported_2of3,median_uniform_fraction_supported_2of3,n_finite_uniform_fraction_supported_2of3,mean_observed_fraction_supported_3of3,median_observed_fraction_supported_3of3,n_finite_observed_fraction_supported_3of3,mean_uniform_fraction_supported_3of3,median_uniform_fraction_supported_3of3,n_finite_uniform_fraction_supported_3of3,mean_observed_minus_uniform_mean_candidate_bands,median_observed_minus_uniform_mean_candidate_bands,n_finite_observed_minus_uniform_mean_candidate_bands,mean_observed_minus_uniform_fraction_supported_2of3,median_observed_minus_uniform_fraction_supported_2of3,n_finite_observed_minus_uniform_fraction_supported_2of3,mean_observed_minus_uniform_fraction_supported_3of3,median_observed_minus_uniform_fraction_supported_3of3,n_finite_observed_minus_uniform_fraction_supported_3of3,test_set_primary
esm2_top28_bilstm_attn,train,-1,967,3.1178903826266806,2.0,967,0.5129265770423992,0.0,967,0.9553962900942976,1.0,803,0.7929959814421965,1.0,251,0.7647502853449304,1.0,803,0.4490810207941682,0.4,251,2.604963805584281,2.0,967,0.1526759457139204,0.0,237,0.3544401215287291,0.3333333333333333,237,False
esm2_top28_bilstm_attn,train,1,967,5.6163391933815925,4.0,967,0.21820062047569805,0.0,967,0.9392518333259587,1.0,939,0.6582508250825082,0.8333333333333334,101,0.6932576779391062,0.7142857142857143,939,0.2797579757975797,0.0,101,5.398138572905895,4.0,967,0.2903809523809524,0.0,100,0.449677836052836,0.5,100,False
esm2_top28_bilstm_attn,validation,-1,208,3.3028846153846154,2.0,208,0.625,0.0,208,0.9728776529338327,1.0,178,0.8313919413919414,1.0,65,0.83757012338473,1.0,178,0.5575824175824177,0.6,65,2.6778846153846154,2.0,208,0.1283794162826421,0.0,62,0.2852074896429735,0.0,62,False
esm2_top28_bilstm_attn,validation,1,208,6.014423076923077,5.0,208,0.3269230769230769,0.0,208,0.9653993558618452,1.0,207,0.7072916666666667,1.0,32,0.8137529555474996,0.8333333333333334,207,0.3192708333333333,0.25,32,5.6875,5.0,208,0.2779780982905983,0.0,32,0.5269093753468754,0.5,32,False
esm2_top4_bilstm_attn,train,-1,967,3.453981385729059,2.0,967,1.1137538779731126,0.0,967,0.973193483433336,1.0,813,0.9315013587690579,1.0,452,0.8728160974118213,1.0,813,0.7193773839238442,1.0,452,2.3402275077559462,1.0,967,0.04868604588884309,0.0,429,0.16796252960897143,0.0,429,False
esm2_top4_bilstm_attn,train,1,967,5.819027921406412,5.0,967,0.4756980351602896,0.0,967,0.9750053551525768,1.0,951,0.8916925465838509,1.0,230,0.8512592823209878,0.9166666666666666,951,0.5857875457875458,0.6666666666666666,230,5.343329886246122,4.0,967,0.08907703326562975,0.0,228,0.2851289048878126,0.12619047619047624,228,False
esm2_top4_bilstm_attn,validation,-1,208,3.4375,3.0,208,1.0384615384615385,0.0,208,0.9745008565184006,1.0,171,0.9438202247191011,1.0,89,0.8948804444418479,1.0,171,0.7838014981273408,1.0,89,2.3990384615384617,2.0,208,0.03553852478271083,0.0,86,0.10205740641787153,0.0,86,False
esm2_top4_bilstm_attn,validation,1,208,5.889423076923077,5.0,208,0.4855769230769231,0.0,208,0.9742441586191586,1.0,208,0.927469135802469,1.0,54,0.8562200911296306,0.9166666666666666,208,0.5861111111111111,0.6666666666666666,54,5.403846153846154,5.0,208,0.055632716049382726,0.0,54,0.2867053822828677,0.25,54,False
esm3_frozen_bilstm_attn,train,-1,967,3.71664943123061,3.0,967,1.4788004136504653,1.0,967,0.9368823727980982,1.0,802,0.8627733484876342,1.0,518,0.7138684757046939,0.7777777777777778,802,0.5062046276331991,0.5,518,2.2378490175801447,1.0,967,0.06805557470045488,0.0,486,0.26158971579269324,0.21825396825396826,486,False
esm3_frozen_bilstm_attn,train,1,967,6.09100310237849,5.0,967,0.44777662874870733,0.0,967,0.8977325661386334,1.0,957,0.7467397747480735,1.0,241,0.590099401485157,0.6,957,0.2980339853783837,0.0,241,5.643226473629783,4.0,967,0.16221281702592977,0.0,240,0.3029506542159729,0.4083333333333333,240,False
