condition,sign,evaluation_split,feature,feature_type,n_pairs,n_proteins,baseline_auroc,single_feature_auroc,delta_auroc_single_from_baseline,full_query_auroc,without_feature_auroc,delta_auroc_full_minus_without,baseline_macro_protein_auroc,single_feature_macro_protein_auroc,delta_macro_auroc_single_from_baseline,full_query_macro_protein_auroc,without_feature_macro_protein_auroc,delta_macro_auroc_full_minus_without,baseline_average_precision,single_feature_average_precision,full_query_average_precision,without_feature_average_precision
esm2_frozen_bilstm_attn,-1,validation,neq,numeric,8448,205,0.5038114316832132,0.7797596067941825,0.27594817511096936,0.8691218265906475,0.8065771423280498,0.06254468426259774,0.49857566686548815,0.8012174119164354,0.3026417450509472,0.8851869461520762,0.8108449425189798,0.0743420036330964,0.5060220216534919,0.7225614740247417,0.8402698779702369,0.7696427970481613
esm2_frozen_bilstm_attn,-1,validation,rsa,numeric,8448,205,0.5038114316832132,0.6830686634997308,0.17925723181651765,0.8691218265906475,0.8561726103321561,0.012949216258491436,0.49857566686548815,0.6910276863679399,0.19245201950245172,0.8851869461520762,0.8722603692944645,0.012926576857611671,0.5060220216534919,0.67600739023153,0.8402698779702369,0.8114963122048942
esm2_frozen_bilstm_attn,-1,validation,disorder,numeric,8448,205,0.5038114316832132,0.5711100506830793,0.06729861899986611,0.8691218265906475,0.8700195472981168,-0.0008977207074692961,0.49857566686548815,0.5891421981692889,0.09056653130380077,0.8851869461520762,0.8888680249128983,-0.003681078760822132,0.5060220216534919,0.5350716263755307,0.8402698779702369,0.8307671977088564
esm2_frozen_bilstm_attn,-1,validation,torsion_change_from_previous,numeric,8448,205,0.5038114316832132,0.8154843454592046,0.3116729137759914,0.8691218265906475,0.8299962918647683,0.03912553472587921,0.49857566686548815,0.8274516836533455,0.3288760167878574,0.8851869461520762,0.851511095149196,0.033675851002880175,0.5060220216534919,0.7289428473344461,0.8402698779702369,0.8008608928008716
esm2_frozen_bilstm_attn,-1,validation,query_amino_acid_class,categorical,8448,205,0.5038114316832132,0.6076309510918485,0.10381951940863532,0.8691218265906475,0.865068828056639,0.004052998534008534,0.49857566686548815,0.6005948731338147,0.1020192062683265,0.8851869461520762,0.8791180043326435,0.006068941819432627,0.5060220216534919,0.5759707897654383,0.8402698779702369,0.8396843365829044
esm2_frozen_bilstm_attn,-1,validation,normalized_query_position,numeric,8448,205,0.5038114316832132,0.5153886491155739,0.011577217432360731,0.8691218265906475,0.8691714851126442,-4.9658521996676086e-05,0.49857566686548815,0.5062931880491757,0.007717521183687515,0.8851869461520762,0.8851300917816796,5.6854370396597353e-05,0.5060220216534919,0.5087905793276793,0.8402698779702369,0.8403285200537166
esm2_frozen_bilstm_attn,-1,validation,query_in_any_band,numeric,8448,205,0.5038114316832132,0.5604780826564417,0.05666665097322854,0.8691218265906475,0.8622519680131862,0.006869858577461363,0.49857566686548815,0.5486594714891575,0.05008380462366935,0.8851869461520762,0.8803552349680089,0.004831711184067222,0.5060220216534919,0.5123078438108568,0.8402698779702369,0.8303928404573908
esm2_frozen_bilstm_attn,-1,test,neq,numeric,7991,201,0.5070843855736923,0.802826631757156,0.2957422461834637,0.8767512230042952,0.810895540956471,0.06585568204782422,0.5028145359560415,0.8198259556299298,0.31701141967388824,0.8770762031896554,0.8022003903691772,0.07487581282047817,0.51033356436888,0.73313014858377,0.8388891987395386,0.7808715122797429
esm2_frozen_bilstm_attn,-1,test,rsa,numeric,7991,201,0.5070843855736923,0.6787328990191285,0.1716485134454362,0.8767512230042952,0.8628600841992744,0.013891138805020797,0.5028145359560415,0.6807026149213864,0.17788807896534486,0.8770762031896554,0.8686970749191879,0.008379128270467495,0.51033356436888,0.6821074772158735,0.8388891987395386,0.8063641789008835
esm2_frozen_bilstm_attn,-1,test,disorder,numeric,7991,201,0.5070843855736923,0.5721155020704032,0.0650311164967109,0.8767512230042952,0.8791555115720443,-0.002404288567749102,0.5028145359560415,0.5786798872272493,0.07586535127120775,0.8770762031896554,0.8808125965106259,-0.0037363933209705325,0.51033356436888,0.5346351311414637,0.8388891987395386,0.8330269441068024
