condition,split,sign,mechanism_class,feature,n_proteins,n_bands,high_minus_low_macro_protein_mean,ci95_low,ci95_high,inference_eligible,protein_sign_p_two_sided,protein_sign_q_bh
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,absolute_sequence_separation,178,873,0.6696526248778149,-0.8771218356964144,2.216427085452044,True,0.15421674731575766,0.21221278904134172
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,disorder,178,873,0.02758739355376179,0.01667089987346946,0.038503887234054124,True,0.11523195131755465,0.1717809644641324
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,neq,178,873,-0.4343130913980658,-0.47802260937592284,-0.39060357342020874,True,1.044048714879764e-53,1.1206122873042799e-52
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,normalized_query_position,178,873,-0.01168286081659003,-0.029425366699215215,0.006059645066035154,True,0.01989186079812225,0.03336030821351752
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,query_in_any_band,178,873,0.09190360384912871,0.053925251476023006,0.12988195622223442,True,4.65489376895322e-05,0.00010408859677798171
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,rsa,178,873,-0.09903748210076019,-0.11299874266504682,-0.08507622153647355,True,7.401122043388876e-23,3.0553349973989975e-22
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,torsion_change_from_previous,178,873,-34.98150481691454,-39.73381790497496,-30.229191728854115,True,3.7725811794621017e-38,2.760843499515447e-37
esm2_frozen_bilstm_attn,test,-1,unclassified,absolute_sequence_separation,29,62,0.279345197993125,-3.047721290122474,3.6064116861087245,True,0.711071103811264,0.7683385752591511
esm2_frozen_bilstm_attn,test,-1,unclassified,disorder,29,62,0.06316368106295624,0.01772822457718646,0.10859913754872602,True,0.45825831964612007,0.5307884134030599
esm2_frozen_bilstm_attn,test,-1,unclassified,neq,29,62,-0.6941721154943035,-0.923778538025799,-0.464565692962808,True,3.725290298461914e-09,1.0522311193901195e-08
esm2_frozen_bilstm_attn,test,-1,unclassified,normalized_query_position,29,62,-0.027315235945619347,-0.06551119588603727,0.010880723994798565,True,0.711071103811264,0.7683385752591511
esm2_frozen_bilstm_attn,test,-1,unclassified,query_in_any_band,29,62,-0.2191295624049973,-0.31580788626798784,-0.12245123854200678,True,0.012540951371192932,0.02243436856402291
esm2_frozen_bilstm_attn,test,-1,unclassified,rsa,29,62,-0.05895525784191629,-0.11243674257135826,-0.005473773112474323,True,0.0241195447742939,0.03883246708661318
esm2_frozen_bilstm_attn,test,-1,unclassified,torsion_change_from_previous,29,62,-31.67175677178817,-45.20584974087329,-18.13766380270305,True,0.002315700054168701,0.004491900105074227
esm2_frozen_bilstm_attn,test,1,combined,absolute_sequence_separation,184,782,-1.9688687547856936,-4.0979376688584725,0.16020015928708498,True,0.02203513596599085,0.0362005805155564
esm2_frozen_bilstm_attn,test,1,combined,disorder,184,782,-0.024797474317716048,-0.039593100298288275,-0.01000184833714382,True,0.4174792916816147,0.4950822591781616
esm2_frozen_bilstm_attn,test,1,combined,neq,184,782,0.764610171855076,0.6856398467148114,0.8435804969953405,True,1.3956733652494036e-46,1.3217847753244352e-45
esm2_frozen_bilstm_attn,test,1,combined,normalized_query_position,184,782,-0.0008411139954594937,-0.019464749425915227,0.01778252143499624,True,1.0,1.0
esm2_frozen_bilstm_attn,test,1,combined,query_in_any_band,184,782,0.325228237915367,0.28837308153086594,0.362083394299868,True,2.331225321244475e-36,1.5638636530015022e-35
esm2_frozen_bilstm_attn,test,1,combined,rsa,184,782,0.11017634626783289,0.09503300875118441,0.12531968378448136,True,4.705828310106366e-25,2.1045509942420137e-24
esm2_frozen_bilstm_attn,test,1,combined,torsion_change_from_previous,184,782,17.700912622344653,13.474721309953322,21.92710393473598,True,1.5045525941542278e-15,5.046520159558973e-15
esm2_frozen_bilstm_attn,test,-1,combined,absolute_sequence_separation,98,252,-1.8118800853055521,-5.295947228334867,1.6721870577237634,True,0.18884671980890289,0.2533693490769447
esm2_frozen_bilstm_attn,test,-1,combined,disorder,98,252,-0.012013580893361627,-0.01930386275579427,-0.0047232990309289844,True,2.378717289651507e-23,1.0350634692807909e-22
esm2_frozen_bilstm_attn,test,-1,combined,neq,98,252,-0.39529169706974016,-0.4558195079451063,-0.334763886194374,True,2.524354896707238e-29,1.270066057405829e-28
esm2_frozen_bilstm_attn,test,-1,combined,normalized_query_position,98,252,0.006796371380037519,-0.01865626670440044,0.032249009464475474,True,1.0,1.0
esm2_frozen_bilstm_attn,test,-1,combined,query_in_any_band,98,252,0.2384144976344812,0.1767923133005646,0.3000366819683978,True,9.176485495714726e-11,2.787573895868058e-10
esm2_frozen_bilstm_attn,test,-1,combined,rsa,98,252,-0.16191023713896804,-0.18310802879042543,-0.14071244548751066,True,4.5236497809156325e-22,1.820769036818542e-21
esm2_frozen_bilstm_attn,test,-1,combined,torsion_change_from_previous,98,252,-44.62297618800154,-51.82068350352172,-37.425268872481354,True,6.310887241768095e-30,3.503630503188494e-29
esm2_frozen_bilstm_attn,test,1,evidence_dominated,absolute_sequence_separation,148,480,-0.9731403313545935,-2.8072249369315605,0.8609442742223735,True,0.3659440738175885,0.4602890303486855
esm2_frozen_bilstm_attn,test,1,evidence_dominated,disorder,148,480,-0.02673691860053699,-0.04081188090855061,-0.01266195629252337,True,0.08396661724393019,0.12874881310735964
esm2_frozen_bilstm_attn,test,1,evidence_dominated,neq,148,480,0.5794279330998046,0.4951601640325265,0.6636957021670826,True,1.4404067548348976e-28,6.82074963318878e-28
esm2_frozen_bilstm_attn,test,1,evidence_dominated,normalized_query_position,148,480,-0.011368581438698492,-0.03057302217163778,0.007835859294240794,True,0.5651719099883431,0.6407935035783326
esm2_frozen_bilstm_attn,test,1,evidence_dominated,query_in_any_band,148,480,0.2523622425310173,0.20653425224728816,0.29819023281474644,True,7.713463986436663e-20,2.9568278614673873e-19
esm2_frozen_bilstm_attn,test,1,evidence_dominated,rsa,148,480,0.09800044461538204,0.08116793436392492,0.11483295486683917,True,5.450537402042396e-23,2.3093066361284886e-22
esm2_frozen_bilstm_attn,test,1,evidence_dominated,torsion_change_from_previous,148,480,13.281523452400474,8.362617706275326,18.200429198525622,True,5.924261607140778e-13,1.8342425360570488e-12
esm2_frozen_bilstm_attn,test,1,unclassified,absolute_sequence_separation,36,62,-3.8307702985989422,-7.647609969825732,-0.013930627372153115,True,0.4050322461407632,0.4866432211094245
esm2_frozen_bilstm_attn,test,1,unclassified,disorder,36,62,-0.03530943962449426,-0.07278456382283321,0.002165684573844702,True,0.617719317029696,0.6858814485640072
esm2_frozen_bilstm_attn,test,1,unclassified,neq,36,62,0.7544606653686893,0.5071685773259738,1.0017527534114048,True,2.2721360437572002e-07,5.806569889601734e-07
