condition,sign,stage,evaluation_split,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_previous_stage
esm3_frozen_bilstm_attn,1,01_add_query_biophysics,test,8505,203,0.791749375014654,0.7643663720452955,0.80569302702784,0.2893700676368851
esm3_frozen_bilstm_attn,1,02_add_source_mechanism,validation,8324,201,0.7967384703133082,0.7724825704720973,0.8128473885770037,0.0005681135926993708
esm3_frozen_bilstm_attn,1,02_add_source_mechanism,test,8505,203,0.7917032006416413,0.7634546768906391,0.8061526942371271,-4.617437301268623e-05
esm3_top28_bilstm_attn,-1,00_distance_q8,validation,8438,203,0.5076629078965073,0.4998878197189303,0.5173919847335184,
esm3_top28_bilstm_attn,-1,00_distance_q8,test,7988,201,0.5168824541821779,0.5146398500838621,0.5193852497761869,
esm3_top28_bilstm_attn,-1,01_add_query_biophysics,validation,8438,203,0.8831483443124479,0.8575135629589966,0.8933222409033975,0.3754854364159407
esm3_top28_bilstm_attn,-1,01_add_query_biophysics,test,7988,201,0.8762166707883979,0.8458566110764778,0.8766558647711531,0.35933421660622
esm3_top28_bilstm_attn,-1,02_add_source_mechanism,validation,8438,203,0.8828733397547881,0.8558565727470122,0.8939511679845773,-0.00027500455765983034
esm3_top28_bilstm_attn,-1,02_add_source_mechanism,test,7988,201,0.876516193701932,0.8458183968674735,0.8769873735013147,0.00029952291353407823
esm3_top28_bilstm_attn,1,00_distance_q8,validation,8310,207,0.5110490357001417,0.5120352323918035,0.5403661264474537,
esm3_top28_bilstm_attn,1,00_distance_q8,test,8434,201,0.5180113825000472,0.5159257110829822,0.5179521589300414,
esm3_top28_bilstm_attn,1,01_add_query_biophysics,validation,8310,207,0.7902291788079416,0.7709683184725764,0.8117239548042825,0.2791801431077999
esm3_top28_bilstm_attn,1,01_add_query_biophysics,test,8434,201,0.7884883097918651,0.7670973547477685,0.805160973272831,0.27047692729181794
esm3_top28_bilstm_attn,1,02_add_source_mechanism,validation,8310,207,0.79109561764873,0.7708202330600922,0.8118407245196207,0.0008664388407884083
esm3_top28_bilstm_attn,1,02_add_source_mechanism,test,8434,201,0.7886646571169192,0.7668514679470264,0.8056007701734834,0.00017634732505411588
esm3_top4_bilstm_attn,-1,00_distance_q8,validation,8117,205,0.510620946678011,0.503567204316016,0.5169196475049694,
esm3_top4_bilstm_attn,-1,00_distance_q8,test,7747,199,0.5063263298489198,0.49816335709285725,0.5126864113249986,
esm3_top4_bilstm_attn,-1,01_add_query_biophysics,validation,8117,205,0.8859094625181664,0.8510314291581792,0.8899209264831572,0.37528851584015543
esm3_top4_bilstm_attn,-1,01_add_query_biophysics,test,7747,199,0.876166092151672,0.8430232357726449,0.8747644321443956,0.3698397623027522
esm3_top4_bilstm_attn,-1,02_add_source_mechanism,validation,8117,205,0.8854020364795487,0.8496774937855358,0.890599768653661,-0.0005074260386176421
esm3_top4_bilstm_attn,-1,02_add_source_mechanism,test,7747,199,0.8764045625288258,0.8431290702921599,0.8745416790511741,0.00023847037715385433
esm3_top4_bilstm_attn,1,00_distance_q8,validation,8279,201,0.5129116885718014,0.5109299268332099,0.5396994879413944,
esm3_top4_bilstm_attn,1,00_distance_q8,test,8271,203,0.5124082887477592,0.5136060358667374,0.5391924234866275,
esm3_top4_bilstm_attn,1,01_add_query_biophysics,validation,8279,201,0.8044434201843155,0.7815987998034113,0.8136055168837253,0.2915317316125141
esm3_top4_bilstm_attn,1,01_add_query_biophysics,test,8271,203,0.81067817824461,0.7886437255918385,0.8290801383635057,0.29826988949685074
esm3_top4_bilstm_attn,1,02_add_source_mechanism,validation,8279,201,0.8048839116953415,0.7814235433471532,0.8129157533676566,0.0004404915110259866
esm3_top4_bilstm_attn,1,02_add_source_mechanism,test,8271,203,0.811244534220449,0.7884007510633005,0.8298442617987495,0.0005663559758389836
