condition,sign,model_cohort,receiver_scope,evaluation_split,specification,n_pairs,n_proteins,auroc,average_precision,macro_protein_auroc,delta_auroc_from_query_biophysics,delta_auroc_from_ordinary_structure,delta_auroc_full_minus_specification
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_biophysics,5119,172,0.982402528141267,0.9854151165268791,0.9590413677434239,0.0,9.130281172953225e-05,-0.0008594373364984031
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_plus_ordinary_structure,5119,172,0.9823112253295375,0.9829077169130394,0.9670078027949588,-9.130281172953225e-05,0.0,-0.0007681345247688709
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,query_plus_structure_and_water,5119,172,0.9815430908047686,0.9823060699347299,0.9622939173127285,-0.0008594373364984031,-0.0007681345247688709,0.0
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without_rsa,5119,172,0.9792621999946869,0.9801778367905297,0.9546021033916808,-0.0031403281465801625,-0.00304902533485063,0.0022808908100817593
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__geometry,5119,172,0.9814340770797267,0.9821792920611694,0.9609360901198205,-0.0009684510615403097,-0.0008771482498107774,0.00010901372504190654
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__contact_network,5119,172,0.9817623396971494,0.9822495521496959,0.9636563333272109,-0.0006401884441176175,-0.0005488856323880853,-0.0002192488923807856
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__community_domain,5119,172,0.9813832345440983,0.9823293359759586,0.9602139796576606,-0.001019293597168791,-0.0009279907854392588,0.00015985626067038794
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__putative_polar_contacts,5119,172,0.9816643189527842,0.9847791742919723,0.9632928787909449,-0.0007382091884828856,-0.0006469063767533534,-0.00012122814801551751
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,validation,full_without__water_network,5119,172,0.9823112253295375,0.9829077169130394,0.9670078027949588,-9.130281172953225e-05,0.0,-0.0007681345247688709
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_biophysics,4869,167,0.9765402544532009,0.9789004469461257,0.9672971708623942,0.0,-0.0012254612478883598,0.000629181466801132
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_plus_ordinary_structure,4869,167,0.9777657157010893,0.979498664156385,0.9702130888328722,0.0012254612478883598,0.0,-0.0005962797810872278
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,query_plus_structure_and_water,4869,167,0.977169435920002,0.9789877267575539,0.9692512675839097,0.000629181466801132,-0.0005962797810872278,0.0
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without_rsa,4869,167,0.9764560598830927,0.9787539068160722,0.9651611350681757,-8.419457010822029e-05,-0.00130965581799658,0.0007133760369093523
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__geometry,4869,167,0.976796718875174,0.9786450814161787,0.9681362489418984,0.0002564644219731349,-0.0009689968259152248,0.00037271704482799706
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__contact_network,4869,167,0.9769252885393475,0.9784084912898461,0.9695912899020703,0.00038503408614654067,-0.0008404271617418191,0.0002441473806545913
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__community_domain,4869,167,0.976865728051876,0.9785236568793292,0.9688616067087801,0.0003254735986750745,-0.0008999876492132852,0.00030370786812605743
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__putative_polar_contacts,4869,167,0.977394517195602,0.9797430180864178,0.9689711683470876,0.0008542627424010796,-0.00037119850548728017,-0.00022508127559994762
esm2_top28_bilstm_attn,-1,water_eligible_fixed,all_eligible_queries,test,full_without__water_network,4869,167,0.9777657157010893,0.979498664156385,0.9702130888328722,0.0012254612478883598,0.0,-0.0005962797810872278
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,query_biophysics,9182,201,0.9531645155229643,0.9622107370924445,0.9415012512226586,0.0,-0.0008239724896520473,0.0006796930895812681
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,query_plus_ordinary_structure,9182,201,0.9539884880126164,0.9627429000419934,0.944188525834466,0.0008239724896520473,0.0,-0.00014427940007077922
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,query_plus_structure_and_water,9182,201,0.9538442086125456,0.9626459600782378,0.943997584398915,0.0006796930895812681,-0.00014427940007077922,0.0
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without_rsa,9182,201,0.9482303593083699,0.9592850452418262,0.935932249378545,-0.004934156214594476,-0.0057581287042465235,0.005613849304175744
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__geometry,9182,201,0.9539399520618528,0.9627300714096632,0.9444023023556232,0.0007754365388884521,-4.853595076359518e-05,-9.574344930718404e-05
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__contact_network,9182,201,0.953901901394685,0.9625099258950254,0.9435394464365346,0.0007373858717206749,-8.658661793137234e-05,-5.769278213940687e-05
esm2_top28_bilstm_attn,1,water_eligible_fixed,all_eligible_queries,validation,full_without__community_domain,9182,201,0.9527492793146706,0.9621072688269551,0.9430841811302231,-0.0004152362082937566,-0.001239208697945804,0.0010949292978750247
