condition,split,sign,mechanism_class,n_proteins,n_bands,fraction_high_receivers_long_range_macro_mean,fraction_positive_directional_mass_long_range_macro_mean,fraction_attention_mass_long_range_macro_mean
esm2_top28_bilstm_attn,test,-1,combined,152,541,0.6110611098719578,0.6846360557626666,0.6853674419784856
esm2_top28_bilstm_attn,test,-1,evidence_dominated,58,123,0.6948814095229333,0.7271208447031653,0.7278869155409218
esm2_top28_bilstm_attn,test,-1,unclassified,1,1,0.625,0.6114299389990242,0.6148763892553649
esm2_top28_bilstm_attn,test,1,combined,204,1116,0.6437180908981681,0.7276337004511406,0.7279710375287286
esm2_top28_bilstm_attn,test,1,consultation_dominated,2,4,0.6388888888888888,0.7755649100239359,0.7759360169374004
esm2_top28_bilstm_attn,test,1,evidence_dominated,26,60,0.7416570083232218,0.793079501570618,0.7931073349646304
esm2_top28_bilstm_attn,test,1,unclassified,12,14,0.5945749246092495,0.5981536000396653,0.5982535380709177
esm2_top28_bilstm_attn,train,-1,combined,688,2543,0.5744204271145815,0.6645913244491076,0.6656085517451992
esm2_top28_bilstm_attn,train,-1,consultation_dominated,1,1,0.1818181818181818,0.2466240536281685,0.2477315481537538
esm2_top28_bilstm_attn,train,-1,evidence_dominated,221,387,0.6469040213119649,0.715518739952177,0.7171080032637935
esm2_top28_bilstm_attn,train,1,combined,914,4909,0.6124108242111584,0.711849032442804,0.7123557767167069
esm2_top28_bilstm_attn,train,1,consultation_dominated,33,41,0.49418696514885263,0.6199992563785285,0.619912889607399
esm2_top28_bilstm_attn,train,1,evidence_dominated,64,108,0.6965236840994397,0.7689527213701882,0.7696931285078735
esm2_top28_bilstm_attn,train,1,not_magnitude_enriched,1,1,0.6428571428571429,0.7349170542788821,0.7335014542216295
esm2_top28_bilstm_attn,train,1,unclassified,52,60,0.359194805549001,0.4941656878748107,0.49481175703590086
esm2_top28_bilstm_attn,validation,-1,combined,154,569,0.5918562110489826,0.6768654578248098,0.6776766055669948
esm2_top28_bilstm_attn,validation,-1,evidence_dominated,57,102,0.6800098685316314,0.7347933164571376,0.7359961300541579
esm2_top28_bilstm_attn,validation,1,combined,205,1147,0.6542238009472888,0.7336839662908236,0.7340143930533598
esm2_top28_bilstm_attn,validation,1,consultation_dominated,3,4,0.5685897435897437,0.6032699822355675,0.60313364675248
esm2_top28_bilstm_attn,validation,1,evidence_dominated,22,32,0.5647785116284141,0.6859992828146292,0.6866746636466301
esm2_top28_bilstm_attn,validation,1,unclassified,10,15,0.5756283895357122,0.6773158563417542,0.6777040352616013
