condition,sign,evaluation_split,feature,feature_type,n_pairs,n_proteins,baseline_auroc,single_feature_auroc,delta_auroc_single_from_baseline,full_query_auroc,without_feature_auroc,delta_auroc_full_minus_without,baseline_macro_protein_auroc,single_feature_macro_protein_auroc,delta_macro_auroc_single_from_baseline,full_query_macro_protein_auroc,without_feature_macro_protein_auroc,delta_macro_auroc_full_minus_without,baseline_average_precision,single_feature_average_precision,full_query_average_precision,without_feature_average_precision
esm2_top28_bilstm_attn,-1,validation,neq,numeric,5134,172,0.5017959595652965,0.8152241060044928,0.31342814643919625,0.981443749620545,0.9756078865885496,0.0058358630319954585,0.5111427509191082,0.8213253094648083,0.3101825585457001,0.9573791450801343,0.9462250424324369,0.01115410264769745,0.510062673943263,0.7532468525139138,0.9847177327645149,0.975551037308968
esm2_top28_bilstm_attn,-1,validation,rsa,numeric,5134,172,0.5017959595652965,0.7106254932912391,0.2088295337259426,0.981443749620545,0.9808317649201626,0.0006119847003824841,0.5111427509191082,0.7198282736494334,0.20868552273032515,0.9573791450801343,0.9546664787916982,0.0027126662884361386,0.510062673943263,0.7266516926784434,0.9847177327645149,0.9820206999908945
esm2_top28_bilstm_attn,-1,validation,disorder,numeric,5134,172,0.5017959595652965,0.768007558739603,0.2662115991743065,0.981443749620545,0.9809087183534697,0.0005350312670753254,0.5111427509191082,0.830107926926599,0.31896517600749075,0.9573791450801343,0.9568930344133786,0.00048611066675574577,0.510062673943263,0.7292209961102135,0.9847177327645149,0.9844331527056485
esm2_top28_bilstm_attn,-1,validation,torsion_change_from_previous,numeric,5134,172,0.5017959595652965,0.9246030902798857,0.4228071307145892,0.981443749620545,0.9716876631655637,0.009756086454981383,0.5111427509191082,0.9014408238885396,0.3902980729694314,0.9573791450801343,0.9466653935942294,0.010713751485904921,0.510062673943263,0.8813743514984969,0.9847177327645149,0.9768730505579759
esm2_top28_bilstm_attn,-1,validation,query_amino_acid_class,categorical,5134,172,0.5017959595652965,0.6145691670208245,0.11277320745552799,0.981443749620545,0.9806010564021613,0.0008426932183837055,0.5111427509191082,0.633978291762169,0.12283554084306081,0.9573791450801343,0.959121856564994,-0.0017427114848597158,0.510062673943263,0.5890527238350062,0.9847177327645149,0.9840244907655339
esm2_top28_bilstm_attn,-1,validation,normalized_query_position,numeric,5134,172,0.5017959595652965,0.5043815645680286,0.002585605002732083,0.981443749620545,0.9814609009774755,-1.71513569304782e-05,0.5111427509191082,0.4834653003951711,-0.027677450523937108,0.9573791450801343,0.9575101696588119,-0.00013102457867752992,0.510062673943263,0.5103479612093658,0.9847177327645149,0.9847438288706896
esm2_top28_bilstm_attn,-1,validation,query_in_any_band,numeric,5134,172,0.5017959595652965,0.9111995325116873,0.40940357294639074,0.981443749620545,0.948695586181774,0.03274816343877107,0.5111427509191082,0.8428686332816195,0.3317258823625113,0.9573791450801343,0.9483107620166623,0.009068383063472019,0.510062673943263,0.9005337533086895,0.9847177327645149,0.9386958834210305
esm2_top28_bilstm_attn,-1,test,neq,numeric,4889,167,0.5068084587954698,0.8217840223793526,0.3149755635838828,0.976381924348524,0.9671996088031344,0.009182315545389619,0.5245103441682396,0.8482889707783601,0.32377862661012047,0.963270306064604,0.9533010973961242,0.009969208668479723,0.4993606203176557,0.7597826971128038,0.9787387630976615,0.9671035656731486
esm2_top28_bilstm_attn,-1,test,rsa,numeric,4889,167,0.5068084587954698,0.6946201059391102,0.1878116471436404,0.976381924348524,0.9768066581117455,-0.0004247337632214965,0.5245103441682396,0.7373955032112117,0.21288515904297212,0.963270306064604,0.9650291382908932,-0.001758832226289253,0.4993606203176557,0.7046818013977398,0.9787387630976615,0.9793097880612783
esm2_top28_bilstm_attn,-1,test,disorder,numeric,4889,167,0.5068084587954698,0.7597200104158508,0.25291155162038104,0.976381924348524,0.9756618182085941,0.0007201061399298991,0.5245103441682396,0.8073006803783779,0.28279033621013827,0.963270306064604,0.9648040997510395,-0.0015337936864355806,0.4993606203176557,0.7131599879580957,0.9787387630976615,0.9780778848597416
