condition,split,sign,label,metric,metric_description,n_proteins,n_bands,case_macro_protein_mean,control_macro_protein_mean,case_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,attention_breadth,attention column mean B_j,180,652,0.008163334542166943,0.004352277871015151,0.0038110566711517407,0.003356129764008116,0.004265983578295366,True,4.223441708820791e-31,5.430139339912445e-31
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,180,652,1.9235524277155154,0.5196316868998315,1.4039207408156835,1.3685579583930447,1.4392835232383223,True,2.734791969022842e-31,3.786635034031627e-31
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,directional_influence,sign * I_j,180,652,0.01620479714134654,0.0023550493158929413,0.013849747825453552,0.012460017083649001,0.015239478567258102,True,2.734791969022842e-31,3.786635034031627e-31
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,log_abs_evidence,log absolute intrinsic evidence,180,652,0.634020780311364,-0.6609370222381039,1.294957802549468,1.2654627579109015,1.3244528471880344,True,2.734791969022842e-31,3.786635034031627e-31
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,log_abs_influence,log absolute signed influence,180,652,-4.376921581844391,-6.27661617533608,1.8996945934916893,1.8615793250550017,1.937809861928377,True,2.734791969022842e-31,3.786635034031627e-31
esm2_frozen_bilstm_attn,test,-1,rigidity_supporting,log_attention_breadth,log attention column mean,180,652,-5.010942360143349,-5.615679152812081,0.6047367926687321,0.5695287694994816,0.6399448158379827,True,3.3991454882627437e-31,4.560344257545047e-31
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,attention_breadth,attention column mean B_j,203,1047,0.013701000031511217,0.00570290065639223,0.007998099375118937,0.007069964475574794,0.00892623427466308,True,4.697450613972336e-35,7.352531395782786e-35
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,directional_evidence,sign * intrinsic signed evidence s_j,203,1047,1.515078477763435,0.3786319212778094,1.1364465564856256,1.1086548116941999,1.1642383012770514,True,4.628270528135359e-35,7.297127256038231e-35
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,directional_influence,sign * I_j,203,1047,0.02250412415124519,0.002886539804824712,0.019617584346420434,0.017305452136684156,0.021929716556156713,True,4.628270528135359e-35,7.297127256038231e-35
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,log_abs_evidence,log absolute intrinsic evidence,203,1047,0.3861588417345135,-0.8689429303007219,1.2551017720352355,1.225873064174017,1.284330479896454,True,4.628270528135359e-35,7.297127256038231e-35
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,log_abs_influence,log absolute signed influence,203,1047,-4.151651329918213,-6.2454538082655535,2.093802478347342,2.0482877305419964,2.1393172261526874,True,4.628270528135359e-35,7.297127256038231e-35
esm2_frozen_bilstm_attn,test,1,flexibility_supporting,log_attention_breadth,log attention column mean,203,1047,-4.53781017462657,-5.376510878345399,0.83870070371883,0.8092958106645887,0.8681055967730713,True,4.628270528135359e-35,7.297127256038231e-35
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,attention_breadth,attention column mean B_j,780,3080,0.008757717618637995,0.004632629116211809,0.004125088502426137,0.00389564128671249,0.004354535718139783,True,5.923424508485476e-129,1.7770273525456427e-128
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,directional_evidence,sign * intrinsic signed evidence s_j,780,3080,1.9468010100566417,0.4961294622805867,1.4506715477760552,1.434992993433136,1.4663501021189744,True,2.540784796662892e-129,8.070728177635068e-129
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,directional_influence,sign * I_j,780,3080,0.01739940140451113,0.002271094953396827,0.015128306451114255,0.014389691498220088,0.015866921404008423,True,2.540784796662892e-129,8.070728177635068e-129
esm2_frozen_bilstm_attn,train,-1,rigidity_supporting,log_abs_evidence,log absolute intrinsic evidence,780,3080,0.6470734150157313,-0.6794008930937852,1.3264743081095165,1.311787887067362,1.341160729151671,True,2.540784796662892e-129,8.070728177635068e-129
