condition,split,sign,label,mechanism_class,n_bands,n_proteins,band_fraction,macro_protein_fraction
esm2_top4_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,175,79,0.25107604017216645,0.5504249969439843
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,combined,1109,206,0.9295892707460185,0.9260193285678723
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,6,4,0.005029337803855826,0.3958333333333333
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,65,43,0.054484492875104776,0.27496166624073604
esm2_top4_bilstm_attn,validation,1,flexibility_supporting,unclassified,13,11,0.010896898575020955,0.34848484848484845
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,combined,576,156,0.7659574468085106,0.8517003295849449
esm3_frozen_bilstm_attn,test,-1,rigidity_supporting,evidence_dominated,176,82,0.23404255319148937,0.5748140071310803
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,combined,1047,206,0.9390134529147982,0.9309485633029322
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,consultation_dominated,9,8,0.008071748878923767,0.3053571428571429
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,evidence_dominated,48,32,0.04304932735426009,0.286929338023088
esm3_frozen_bilstm_attn,test,1,flexibility_supporting,unclassified,11,8,0.009865470852017937,0.325
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,combined,2790,678,0.8160280783854928,0.8724331224331223
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,consultation_dominated,7,6,0.0020473822755191578,0.9166666666666666
esm3_frozen_bilstm_attn,train,-1,rigidity_supporting,evidence_dominated,622,335,0.181924539338988,0.558180128329382
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,combined,4906,934,0.9376911314984709,0.9327233512892998
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,consultation_dominated,101,89,0.01930428134556575,0.3397678632229194
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,evidence_dominated,163,119,0.031154434250764525,0.2615598445170212
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,not_magnitude_enriched,1,1,0.00019113149847094801,0.5
esm3_frozen_bilstm_attn,train,1,flexibility_supporting,unclassified,61,53,0.011659021406727829,0.37681940700808625
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,combined,588,153,0.8043775649794802,0.8791622865152277
esm3_frozen_bilstm_attn,validation,-1,rigidity_supporting,evidence_dominated,143,79,0.19562243502051985,0.49985025523000204
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,combined,1040,204,0.9576427255985267,0.9581034618015587
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,consultation_dominated,9,9,0.008287292817679558,0.22800224466891134
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,evidence_dominated,29,22,0.026703499079189688,0.27400940562705267
esm3_frozen_bilstm_attn,validation,1,flexibility_supporting,unclassified,8,6,0.007366482504604052,0.41111111111111115
esm3_top28_bilstm_attn,test,-1,rigidity_supporting,combined,580,153,0.7733333333333333,0.8531786115119449
esm3_top28_bilstm_attn,test,-1,rigidity_supporting,consultation_dominated,1,1,0.0013333333333333333,0.5
esm3_top28_bilstm_attn,test,-1,rigidity_supporting,evidence_dominated,169,82,0.22533333333333333,0.5971179565691761
