condition,split,sign,q8,n_selected_segments,n_proteins,structure_available_fraction,structure_eligible_fraction,fully_resolved_fraction,strain_available_fraction
esm3_frozen_bilstm_attn,test,1,C,628,199,1.0,0.8821656050955414,0.8407643312101911,1.0
esm3_frozen_bilstm_attn,test,1,E,23,21,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,1,G,22,22,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,1,H,16,13,1.0,1.0,1.0,1.0
esm3_frozen_bilstm_attn,test,1,S,133,84,1.0,0.9774436090225563,0.9774436090225563,1.0
esm3_frozen_bilstm_attn,test,1,T,276,139,1.0,0.9855072463768116,0.9855072463768116,1.0
esm3_frozen_bilstm_attn,train,1,B,3,3,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,train,1,C,2855,890,0.9922942206654991,0.8669001751313485,0.8283712784588442,0.0
esm3_frozen_bilstm_attn,train,1,E,114,108,1.0,0.9824561403508771,0.9824561403508771,0.0
esm3_frozen_bilstm_attn,train,1,G,107,98,1.0,0.9813084112149533,0.9813084112149533,0.0
esm3_frozen_bilstm_attn,train,1,H,60,57,1.0,0.9833333333333333,0.9833333333333333,0.0
esm3_frozen_bilstm_attn,train,1,S,673,417,0.9985141158989599,0.9881129271916791,0.9881129271916791,0.0
esm3_frozen_bilstm_attn,train,1,T,1352,634,0.9970414201183432,0.977810650887574,0.977810650887574,0.0
esm3_frozen_bilstm_attn,validation,1,C,550,189,1.0,0.8709090909090909,0.8381818181818181,0.0
esm3_frozen_bilstm_attn,validation,1,E,33,28,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,1,G,13,12,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,1,H,10,10,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,1,S,170,105,1.0,1.0,1.0,0.0
esm3_frozen_bilstm_attn,validation,1,T,293,147,1.0,0.9897610921501706,0.9897610921501706,0.0
esm3_top28_bilstm_attn,test,1,C,572,189,1.0,0.9090909090909091,0.8758741258741258,1.0
esm3_top28_bilstm_attn,test,1,E,19,18,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,1,G,28,28,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,1,H,16,14,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,1,S,143,83,1.0,1.0,1.0,1.0
esm3_top28_bilstm_attn,test,1,T,322,142,1.0,0.9782608695652174,0.9782608695652174,1.0
esm3_top28_bilstm_attn,train,1,C,2644,857,0.9920574886535553,0.8680030257186082,0.836232980332829,0.0
esm3_top28_bilstm_attn,train,1,E,86,79,1.0,0.9767441860465116,0.9767441860465116,0.0
esm3_top28_bilstm_attn,train,1,G,124,109,1.0,0.9758064516129032,0.9758064516129032,0.0
esm3_top28_bilstm_attn,train,1,H,81,76,1.0,0.9876543209876543,0.9876543209876543,0.0
esm3_top28_bilstm_attn,train,1,S,731,431,1.0,0.9917920656634747,0.9917920656634747,0.0
esm3_top28_bilstm_attn,train,1,T,1410,623,0.9950354609929078,0.975886524822695,0.975886524822695,0.0
esm3_top28_bilstm_attn,validation,1,C,568,191,1.0,0.8855633802816901,0.8573943661971831,0.0
esm3_top28_bilstm_attn,validation,1,E,33,28,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,1,G,31,30,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,1,H,11,11,1.0,1.0,1.0,0.0
esm3_top28_bilstm_attn,validation,1,S,188,109,1.0,0.9893617021276596,0.9893617021276596,0.0
esm3_top28_bilstm_attn,validation,1,T,311,153,1.0,0.9903536977491961,0.9903536977491961,0.0
esm3_top4_bilstm_attn,test,1,C,548,191,1.0,0.9142335766423357,0.8795620437956204,1.0
esm3_top4_bilstm_attn,test,1,E,22,20,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,1,G,27,27,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,1,H,17,15,1.0,1.0,1.0,1.0
esm3_top4_bilstm_attn,test,1,S,143,91,1.0,0.9790209790209791,0.9790209790209791,1.0
esm3_top4_bilstm_attn,test,1,T,315,150,1.0,0.9841269841269841,0.9841269841269841,1.0
esm3_top4_bilstm_attn,train,1,C,2597,871,0.993453985367732,0.8860223334616866,0.8513669618790912,0.0
esm3_top4_bilstm_attn,train,1,E,102,94,1.0,0.9901960784313726,0.9901960784313726,0.0
esm3_top4_bilstm_attn,train,1,G,113,102,1.0,0.9823008849557522,0.9823008849557522,0.0
esm3_top4_bilstm_attn,train,1,H,82,75,1.0,0.9878048780487805,0.975609756097561,0.0
esm3_top4_bilstm_attn,train,1,S,739,444,0.9986468200270636,0.9945872801082544,0.9945872801082544,0.0
esm3_top4_bilstm_attn,train,1,T,1493,665,0.9933020763563295,0.9725385130609511,0.9725385130609511,0.0
esm3_top4_bilstm_attn,validation,1,C,518,186,1.0,0.8918918918918919,0.8648648648648649,0.0
esm3_top4_bilstm_attn,validation,1,E,31,25,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,1,G,20,20,1.0,1.0,1.0,0.0
esm3_top4_bilstm_attn,validation,1,H,11,10,1.0,1.0,0.9090909090909091,0.0
esm3_top4_bilstm_attn,validation,1,S,185,110,1.0,0.9945945945945946,0.9945945945945946,0.0
esm3_top4_bilstm_attn,validation,1,T,324,152,1.0,0.9907407407407407,0.9907407407407407,0.0
esm2_frozen_bilstm_attn,test,-1,E,34,25,1.0,1.0,1.0,1.0
