condition,split,sign,mechanism_class,q8,feature,feature_group,n_proteins,n_selected_segments,n_control_segments,selected_macro_protein_mean,control_macro_protein_mean,selected_minus_control_macro_mean,ci95_low,ci95_high,inference_eligible,wilcoxon_p_two_sided,wilcoxon_q_bh
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,ca_end_to_end_ratio,experimental_geometry,112,275,1740,0.40159197933941637,0.46961562762428954,-0.06802364828487319,-0.08763481826578494,-0.048412478303961434,True,6.615103413596739e-11,6.535346847617204e-10
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,community_boundary_fraction,contact_network,114,281,2005,0.4904539338525387,0.44331131247553957,0.047142621376999136,-0.015517829466056954,0.10980307222005523,True,0.19098492839256376,0.2863746019922942
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,max_abs_ca_virtual_torsion_degrees,experimental_geometry,114,281,2005,95.57765123493284,97.9623699224651,-2.3847186875322386,-9.158982695005264,4.389545319940788,True,0.4579714572393506,0.55960898239861
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,max_betweenness,contact_network,114,281,2005,0.05785045060370684,0.04635262297656625,0.011497827627140583,0.004717503505360495,0.01827815174892067,True,0.0005530272121642411,0.001990612161614439
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,max_ca_curvature_degrees,experimental_geometry,114,281,2005,92.23236668173458,89.99255511478012,2.2398115669544407,1.4808650691037015,2.99875806480518,True,2.0451421674979374e-08,1.4244415196623133e-07
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,max_contact_degree,contact_network,114,281,2005,9.389727158806105,8.561700230363664,0.8280269284424409,0.4866349206381887,1.169418936246693,True,1.0620045985347442e-05,5.227464331303529e-05
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,max_inverse_distance_weighted_degree,contact_network,114,281,2005,1.53589667347838,1.389550830155335,0.14634584332304498,0.09150362594271894,0.20118806070337103,True,1.1805234129150963e-06,6.373911295312903e-06
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,max_strain,mechanical_strain_test_only,114,281,1985,0.10807886608546206,0.11179147641421962,-0.00371261032875757,-0.013680460247623594,0.006255239590108454,True,0.5441985189527205,0.6370323839505376
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,max_strain_spatial_gradient,mechanical_strain_test_only,114,281,1984,0.0511938833387706,0.04454485859343619,0.0066490247453344035,0.000501630017303965,0.012796419473364842,True,0.015937026506844795,0.03706223359605142
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_abs_ca_virtual_torsion_degrees,experimental_geometry,114,281,2005,54.00265468865163,64.73438069008702,-10.731726001435385,-14.283860385884797,-7.179591616985974,True,4.830609239577697e-10,4.179527124678094e-09
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_betweenness,contact_network,114,281,2005,0.02053611186327337,0.01904297414033561,0.0014931377229377555,-0.000909831848076467,0.003896107293951978,True,0.21714401416220452,0.31312796245129493
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_ca_curvature_degrees,experimental_geometry,114,281,2005,87.43355586046115,84.22400205629769,3.209553804163473,2.1162002832442828,4.302907325082662,True,2.3336175509638533e-10,2.0838008003158e-09
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_closeness,contact_network,114,281,2005,0.1926981886533206,0.18946189849759962,0.003236290155720965,-0.0012825979903105036,0.0077551783017524335,True,0.2007575081694889,0.29687389477717413
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_contact_degree,contact_network,114,281,2005,5.965204933186498,5.776287541224543,0.18891739196195387,-0.05252062850592154,0.4303554124298293,True,0.08281043434727955,0.1449182601077392
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_cross_domain_contact_fraction,inter_domain_geometry,114,281,2005,0.017502688438068615,0.026792012739374246,-0.009289324301305628,-0.021705350698571928,0.0031267020959606703,True,0.3117336289156569,0.4131731161555757
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_cross_domain_contacts,inter_domain_geometry,114,281,2005,0.129657225866482,0.16568739468408106,-0.036030168817599066,-0.10855551605363514,0.036495178418437,True,0.23407188879680374,0.33305632389575857
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_distance_to_domain_boundary,inter_domain_geometry,114,281,2005,54.16242859101256,45.73284722187807,8.429581369134489,3.792339437111692,13.066823301157285,True,0.001130936988299387,0.003742031412591558
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_inverse_distance_weighted_degree,contact_network,114,281,2005,0.9872658731795527,0.9411494207969019,0.046116452382650816,0.008713686952051825,0.08351921781324981,True,0.015210879853594572,0.035791816952799385
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_participation_coefficient,contact_network,114,281,2005,0.2011591791956306,0.18092254584026693,0.02023663335536366,-0.007249698389192909,0.04772296509992023,True,0.2622613693845329,0.3624306424133476
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_strain,mechanical_strain_test_only,114,281,1985,0.06485655932390474,0.07927219162848867,-0.01441563230458395,-0.020147916178774386,-0.008683348430393515,True,1.372802118698991e-07,8.172279279263652e-07
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,mean_strain_spatial_gradient,mechanical_strain_test_only,114,281,1984,0.0178080192437219,0.020345766761985396,-0.0025377475182635036,-0.0049537929899245384,-0.00012170204660246842,True,0.02275835754798006,0.05080511548771831
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,near_domain_boundary_fraction,inter_domain_geometry,114,281,2005,0.008773651466580807,0.03346402276233648,-0.024690371295755673,-0.0391491380611438,-0.010231604530367549,True,1.3103213464864332e-05,6.382089635159447e-05
esm2_frozen_bilstm_attn,test,-1,evidence_dominated,H,std_strain,mechanical_strain_test_only,112,278,1734,0.019583819425576108,0.020252417568977974,-0.0006685981434018688,-0.0033252116446098315,0.001988015357806094,True,0.44862083237432715,0.5505980788523681
esm2_frozen_bilstm_attn,test,1,combined,C,ca_end_to_end_ratio,experimental_geometry,148,323,3805,0.6697636383366051,0.8535062326022056,-0.18374259426560055,-0.21327772105528064,-0.15420746747592046,True,1.082320755160361e-19,3.506215841717169e-18
esm2_frozen_bilstm_attn,test,1,combined,C,community_boundary_fraction,contact_network,173,450,9709,0.23902019931261545,0.3995309696361463,-0.16051077032353087,-0.2007105020376712,-0.12031103860939053,True,6.468507778920172e-13,8.664068592342116e-12
esm2_frozen_bilstm_attn,test,1,combined,C,max_abs_ca_virtual_torsion_degrees,experimental_geometry,173,440,9393,151.14782019250586,132.82270494106677,18.325115251439065,13.731553693088665,22.918676809789467,True,1.4109245858759202e-15,2.977905982007813e-14
esm2_frozen_bilstm_attn,test,1,combined,C,max_betweenness,contact_network,173,450,9709,0.028897326984840366,0.02794684380796,0.0009504831768803677,-0.003987663124044879,0.005888629477805614,True,0.6542107562578794,0.7379073550341911
esm2_frozen_bilstm_attn,test,1,combined,C,max_ca_curvature_degrees,experimental_geometry,173,442,9483,83.14052075044417,71.8238440762267,11.31667667421746,9.807873056595236,12.825480291839684,True,2.3971099593599168e-23,1.3913225722451517e-21
esm2_frozen_bilstm_attn,test,1,combined,C,max_contact_degree,contact_network,173,450,9709,6.502319020093587,6.63465600062562,-0.13233698053203424,-0.4006620960470178,0.13598813498294932,True,0.46732789279510434,0.566760296047344
esm2_frozen_bilstm_attn,test,1,combined,C,max_inverse_distance_weighted_degree,contact_network,173,450,9709,1.0485491382657843,1.0726269975555256,-0.024077859289741377,-0.06881432025518304,0.020658601675700286,True,0.33692327653685405,0.438630022631624
esm2_frozen_bilstm_attn,test,1,combined,C,max_strain,mechanical_strain_test_only,157,370,7902,0.1418245132528183,0.09042279454864033,0.05140171870417797,0.04071051328640976,0.06209292412194618,True,4.929150938705583e-18,1.3732614515233753e-16
esm2_frozen_bilstm_attn,test,1,combined,C,max_strain_spatial_gradient,mechanical_strain_test_only,157,365,7788,0.05099432036591213,0.02884602918528279,0.022148291180629345,0.016977581424620466,0.027319000936638225,True,5.217717690054852e-14,8.973186101538776e-13
esm2_frozen_bilstm_attn,test,1,combined,C,mean_abs_ca_virtual_torsion_degrees,experimental_geometry,173,440,9393,105.54173030346463,115.27815705615906,-9.736426752694422,-13.580539732833593,-5.8923137725552515,True,2.763930911956194e-06,1.4528889661716898e-05
esm2_frozen_bilstm_attn,test,1,combined,C,mean_betweenness,contact_network,173,450,9709,0.009267029604721979,0.018408428587030748,-0.009141398982308771,-0.011253165686302032,-0.0070296322783155105,True,8.749977658888522e-19,2.5933444423046195e-17
esm2_frozen_bilstm_attn,test,1,combined,C,mean_ca_curvature_degrees,experimental_geometry,173,442,9483,67.85987686656439,65.77068395332618,2.0891929132382043,0.8342175212654037,3.3441683052110047,True,0.00475489796479862,0.013086779401611768
esm2_frozen_bilstm_attn,test,1,combined,C,mean_closeness,contact_network,173,450,9709,0.16497321592404018,0.19507070943004937,-0.03009749350600913,-0.0358268913741469,-0.024368095637871356,True,9.667155997752694e-21,3.6395535959106763e-19
esm2_frozen_bilstm_attn,test,1,combined,C,mean_contact_degree,contact_network,173,450,9709,3.9895719002718715,5.667354825875992,-1.6777829256041208,-1.8804484392042256,-1.475117412004016,True,3.986871414651609e-26,4.2720860620074554e-24
esm2_frozen_bilstm_attn,test,1,combined,C,mean_cross_domain_contact_fraction,inter_domain_geometry,173,444,9564,0.028131219775768948,0.02410210098067184,0.0040291187950971105,-0.004640545853183706,0.012698783443377926,True,0.9388830819359681,0.9560410329947395
esm2_frozen_bilstm_attn,test,1,combined,C,mean_cross_domain_contacts,inter_domain_geometry,173,444,9564,0.15798226147648115,0.17103873926097718,-0.013056477784496054,-0.06561402917410965,0.039501073605117544,True,0.1277088571970703,0.20685864892502204
esm2_frozen_bilstm_attn,test,1,combined,C,mean_distance_to_domain_boundary,inter_domain_geometry,173,444,9564,33.51057985046425,43.28994582575574,-9.7793659752915,-13.282713766547626,-6.276018184035372,True,1.0103384057834463e-08,7.503063990804479e-08
esm2_frozen_bilstm_attn,test,1,combined,C,mean_inverse_distance_weighted_degree,contact_network,173,450,9709,0.6353054882375732,0.9173552045267651,-0.282049716289192,-0.3153167328480261,-0.24878269973035796,True,1.7007913284707522e-26,1.9743352671331317e-24
esm2_frozen_bilstm_attn,test,1,combined,C,mean_participation_coefficient,contact_network,173,450,9709,0.09724869745845546,0.16153000678205026,-0.06428130932359478,-0.08183997650830616,-0.04672264213888341,True,5.2023290303871825e-12,6.039036949441121e-11
esm2_frozen_bilstm_attn,test,1,combined,C,mean_strain,mechanical_strain_test_only,157,370,7902,0.10644089862055255,0.07994749680904222,0.026493401811510348,0.019676195639399607,0.03331060798362109,True,1.7014816304822613e-13,2.5485633454427846e-12
esm2_frozen_bilstm_attn,test,1,combined,C,mean_strain_spatial_gradient,mechanical_strain_test_only,157,365,7788,0.027430394890124072,0.020621879925998336,0.006808514964125734,0.004024043476781897,0.009592986451469571,True,1.092328538243231e-05,5.3577945555381015e-05
esm2_frozen_bilstm_attn,test,1,combined,C,near_domain_boundary_fraction,inter_domain_geometry,173,444,9564,0.2220292227526523,0.09527175926371374,0.1267574634889386,0.08466139975605835,0.16885352722181884,True,5.206305850018297e-09,3.941513070149721e-08
esm2_frozen_bilstm_attn,test,1,combined,C,std_strain,mechanical_strain_test_only,146,319,3603,0.02833350451031623,0.01769314325119571,0.010640361259120523,0.006779588021018052,0.014501134497222994,True,5.068677252601144e-07,2.8470433116424975e-06
esm2_frozen_bilstm_attn,test,1,combined,T,community_boundary_fraction,contact_network,99,187,2612,0.1775533108866442,0.2762984509003788,-0.09874514001373455,-0.15908543014868337,-0.03840484987878572,True,0.000279479971880543,0.0010754574608552387
esm2_frozen_bilstm_attn,test,1,combined,T,max_abs_ca_virtual_torsion_degrees,experimental_geometry,99,187,2600,102.94780775406737,105.77542241602856,-2.827614661961171,-9.88290606864502,4.22767674472268,True,0.42413018377956335,0.5275119160758319
