condition,split,catalog_scope,sign,analysis_component,metric,estimate_equal_protein_mean,bootstrap_ci_lower_95,bootstrap_ci_upper_95,n_protein_rows,n_finite_protein_rows,n_bootstrap,test_set_primary,direction
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,mean_matched_interval_iou,0.7279106878306878,0.7048491496128773,0.7518110057809132,208,125,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,median_matched_interval_iou,0.7420229076479077,0.7205480576522242,0.7632557339642398,208,148,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,median_matched_interval_iou,0.7253873015873015,0.7021959389718259,0.7494468676814984,208,125,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,observed_only_bands,4.048076923076923,3.639423076923077,4.447115384615385,208,208,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,observed_only_bands,4.139423076923077,3.75,4.552884615384615,208,208,2000,True,
esm2_frozen_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,shifted_attention_only_bands,0.10576923076923077,0.0625,0.15384615384615385,208,208,2000,True,
esm2_frozen_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,shifted_attention_only_bands,0.057692307692307696,0.02403846153846154,0.10096153846153846,208,208,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.5413621340345478,0.48967342751494564,0.5921194820167277,208,174,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.4553487456666646,0.40314105156703467,0.5122266400524026,208,173,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.49219455512558963,0.4388939818993421,0.5453186379875926,208,174,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_5,0.4097092374549022,0.36041234281591406,0.4647892969664484,208,173,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.23790688876895774,0.1956650159846292,0.28346427717940315,208,174,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_observed_iou_ge_0_75,0.18748444875612505,0.14805488425736657,0.22991614778796357,208,173,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.8179959100204498,0.7656862996849712,0.8640001318126317,208,163,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_25,0.8381595881595881,0.7795532153748199,0.8872257453137995,208,148,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.7371165644171779,0.6807226209419889,0.7894048520923521,208,163,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_5,0.7452541827541828,0.683582832981735,0.801831183862434,208,148,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.36241600934852475,0.30561500190439916,0.4208968726379442,208,163,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,fraction_shifted_attention_iou_ge_0_75,0.33827220077220077,0.2760185094853063,0.4047619047619047,208,148,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,mean_matched_interval_iou,0.7037673216249588,0.6825179862132008,0.7237108546407734,208,145,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,mean_matched_interval_iou,0.6987360961109693,0.6750673857638348,0.7228861403262744,208,131,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,median_matched_interval_iou,0.7056748940680548,0.6841895432752946,0.7261037262221908,208,145,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,median_matched_interval_iou,0.7021398014856557,0.6784254401722849,0.7273955434413166,208,131,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,observed_only_bands,1.5913461538461537,1.3509615384615385,1.8365384615384615,208,208,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,observed_only_bands,1.8509615384615385,1.5816105769230768,2.129927884615384,208,208,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,-1,hungarian_interval_iou,shifted_attention_only_bands,0.2980769230769231,0.22115384615384615,0.375,208,208,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,-1,hungarian_interval_iou,shifted_attention_only_bands,0.1971153846153846,0.13942307692307693,0.2692307692307692,208,208,2000,True,
esm2_top28_bilstm_attn,test,mean_candidate,1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.22555902385040447,0.19474959993379468,0.25801997044997443,208,207,2000,True,
esm2_top28_bilstm_attn,test,seed_stable,1,hungarian_interval_iou,fraction_observed_iou_ge_0_25,0.17155943421928077,0.14328063836733584,0.20195583860499672,208,207,2000,True,
