condition,split,catalog_scope,sign,direction,n_protein_rows,mean_median_nearest_apex_distance,median_median_nearest_apex_distance,n_finite_median_nearest_apex_distance,mean_fraction_within_0_residues,median_fraction_within_0_residues,n_finite_fraction_within_0_residues,mean_fraction_within_2_residues,median_fraction_within_2_residues,n_finite_fraction_within_2_residues,mean_fraction_within_5_residues,median_fraction_within_5_residues,n_finite_fraction_within_5_residues,mean_fraction_within_10_residues,median_fraction_within_10_residues,n_finite_fraction_within_10_residues,mean_source_present_target_missing,median_source_present_target_missing,n_finite_source_present_target_missing,test_set_primary
esm2_top4_bilstm_attn,test,mean_candidate,1,observed_to_shifted_attention,208,30.185714285714287,19.25,140,0.09511376975145092,0.0,207,0.2520874723773275,0.2,207,0.27046029654725307,0.2222222222222222,207,0.2904712772466395,0.25,207,0.32211538461538464,0.0,208,True
esm2_top4_bilstm_attn,test,mean_candidate,1,shifted_attention_to_observed,208,1.792857142857143,1.0,140,0.29920454545454545,0.2111111111111111,140,0.8601641414141413,1.0,140,0.9251443001443002,1.0,140,0.9479419191919192,1.0,140,0.0,0.0,208,True
esm2_top4_bilstm_attn,test,seed_stable,-1,observed_to_shifted_attention,208,24.943708609271525,14.0,151,0.12776286407571322,0.0,179,0.37767539722846977,0.3333333333333333,179,0.45148492103799365,0.4,179,0.4655112578296936,0.45454545454545453,179,0.1346153846153846,0.0,208,True
esm2_top4_bilstm_attn,test,seed_stable,-1,shifted_attention_to_observed,208,4.824503311258278,1.0,151,0.21528152141359685,0.0,159,0.6701182988918838,0.8,159,0.7961690126784466,1.0,159,0.8185559548767094,1.0,159,0.038461538461538464,0.0,208,True
esm2_top4_bilstm_attn,test,seed_stable,1,observed_to_shifted_attention,208,40.9646017699115,29.5,113,0.06357301447881158,0.0,207,0.17327965914922436,0.1,207,0.18272487040602983,0.125,207,0.19476370382167482,0.13333333333333333,207,0.4519230769230769,0.0,208,True
esm2_top4_bilstm_attn,test,seed_stable,1,shifted_attention_to_observed,208,1.9424778761061947,1.0,113,0.2915402444163506,0.0,113,0.8848609355246523,1.0,113,0.9415191740412978,1.0,113,0.960693215339233,1.0,113,0.0,0.0,208,True
esm3_frozen_bilstm_attn,test,mean_candidate,-1,observed_to_shifted_attention,208,9.823033707865168,2.5,178,0.18082062139439192,0.0,183,0.5168395660198938,0.5,183,0.6681218295972394,0.75,183,0.7170529834464261,0.8,183,0.02403846153846154,0.0,208,True
esm3_frozen_bilstm_attn,test,mean_candidate,-1,shifted_attention_to_observed,208,8.561797752808989,2.5,178,0.18131141345427063,0.0,189,0.4998305045924094,0.5,189,0.6578855447903067,0.7,189,0.7074705864388404,0.8,189,0.052884615384615384,0.0,208,True
esm3_frozen_bilstm_attn,test,mean_candidate,1,observed_to_shifted_attention,208,34.00613496932515,24.0,163,0.11400243610388537,0.0,207,0.2696644203890581,0.25,207,0.29493000290101734,0.2727272727272727,207,0.3172247103406523,0.2857142857142857,207,0.21153846153846154,0.0,208,True
esm3_frozen_bilstm_attn,test,mean_candidate,1,shifted_attention_to_observed,208,2.6503067484662575,1.0,163,0.28937335670464504,0.25,163,0.7705813613789073,1.0,163,0.8594434706397897,1.0,163,0.8993353783231084,1.0,163,0.0,0.0,208,True
esm3_frozen_bilstm_attn,test,seed_stable,-1,observed_to_shifted_attention,208,21.19182389937107,11.0,159,0.11470029970029968,0.0,180,0.3866507720674387,0.3333333333333333,180,0.48087956796290127,0.452991452991453,180,0.5059898589065256,0.5,180,0.10096153846153846,0.0,208,True
