condition,split,catalog_scope,sign,n_protein_rows,mean_mean_matched_interval_iou,median_mean_matched_interval_iou,n_finite_mean_matched_interval_iou,mean_median_matched_interval_iou,median_median_matched_interval_iou,n_finite_median_matched_interval_iou,mean_observed_only_bands,median_observed_only_bands,n_finite_observed_only_bands,mean_shifted_attention_only_bands,median_shifted_attention_only_bands,n_finite_shifted_attention_only_bands,mean_fraction_observed_iou_ge_0_25,median_fraction_observed_iou_ge_0_25,n_finite_fraction_observed_iou_ge_0_25,mean_fraction_shifted_attention_iou_ge_0_25,median_fraction_shifted_attention_iou_ge_0_25,n_finite_fraction_shifted_attention_iou_ge_0_25,mean_fraction_observed_iou_ge_0_5,median_fraction_observed_iou_ge_0_5,n_finite_fraction_observed_iou_ge_0_5,mean_fraction_shifted_attention_iou_ge_0_5,median_fraction_shifted_attention_iou_ge_0_5,n_finite_fraction_shifted_attention_iou_ge_0_5,mean_fraction_observed_iou_ge_0_75,median_fraction_observed_iou_ge_0_75,n_finite_fraction_observed_iou_ge_0_75,mean_fraction_shifted_attention_iou_ge_0_75,median_fraction_shifted_attention_iou_ge_0_75,n_finite_fraction_shifted_attention_iou_ge_0_75,test_set_primary
esm3_frozen_bilstm_attn,test,mean_candidate,1,208,0.6383507876783805,0.65,156,0.6385387090979197,0.6666666666666666,156,4.230769230769231,4.0,208,0.28846153846153844,0.0,208,0.2860106479671697,0.25,207,0.8255915863277825,1.0,163,0.24829074575451385,0.2222222222222222,207,0.7180251241600935,1.0,163,0.11603237074251567,0.0,207,0.34546450482033303,0.2857142857142857,163,True
esm3_frozen_bilstm_attn,test,seed_stable,-1,208,0.6455065968006869,0.6666666666666666,148,0.6483836732231386,0.6666666666666666,148,1.8605769230769231,1.0,208,0.5625,0.0,208,0.4911087831921165,0.4807692307692308,180,0.7311279461279461,0.8888888888888888,165,0.42317648400981733,0.3333333333333333,180,0.6343073593073593,0.7142857142857143,165,0.1844239094239094,0.0,180,0.2731265031265031,0.0,165,True
esm3_frozen_bilstm_attn,test,seed_stable,1,208,0.6522781832617899,0.6666666666666666,122,0.6491631774418661,0.6666666666666666,122,4.336538461538462,4.0,208,0.1346153846153846,0.0,208,0.19996802819618353,0.125,206,0.8775252525252525,1.0,126,0.17476212029610091,0.1111111111111111,206,0.7729677729677731,1.0,126,0.08032583382097945,0.0,206,0.36156204906204903,0.25,126,True
esm3_top28_bilstm_attn,test,mean_candidate,-1,208,0.6558570847341023,0.6666666666666666,163,0.6618981389979576,0.6666666666666666,163,1.3173076923076923,1.0,208,1.0480769230769231,1.0,208,0.6383050804321523,0.6666666666666666,181,0.6369905981162526,0.6666666666666666,191,0.5398518608463361,0.5,181,0.5324472938347284,0.5,191,0.2569024744439109,0.2,181,0.26666910750680384,0.25,191,True
esm3_top28_bilstm_attn,test,mean_candidate,1,208,0.6464227002755142,0.6666666666666666,132,0.6428652471266108,0.638095238095238,132,4.778846153846154,4.0,208,0.24519230769230768,0.0,208,0.2123013033218313,0.15384615384615385,203,0.8362570028011205,1.0,136,0.16697938206330132,0.1111111111111111,203,0.6862394957983193,0.775,136,0.08395489474372024,0.0,203,0.337359943977591,0.3333333333333333,136,True
esm3_top28_bilstm_attn,test,seed_stable,-1,208,0.6726519577192492,0.6789718614718614,138,0.6720179586520582,0.6666666666666666,138,2.1490384615384617,2.0,208,0.5144230769230769,0.0,208,0.4217352554852555,0.4,180,0.7056585292344786,0.8333333333333334,158,0.3653082873916207,0.3333333333333333,180,0.6031118143459915,0.6666666666666666,158,0.1746588134088134,0.0,180,0.3102245328511151,0.25,158,True
esm3_top28_bilstm_attn,test,seed_stable,1,208,0.6696633342179319,0.6666666666666666,87,0.665943818314508,0.6666666666666666,87,4.7451923076923075,4.0,208,0.09134615384615384,0.0,208,0.12347608980620393,0.0,201,0.8676835317460316,1.0,96,0.10109030809206401,0.0,201,0.7357390873015873,1.0,96,0.051128518995068595,0.0,201,0.36842757936507936,0.0,96,True
esm3_top4_bilstm_attn,test,mean_candidate,-1,208,0.6793838856774905,0.6741341991341993,156,0.6860905321098839,0.6846590909090909,156,1.2548076923076923,1.0,208,0.8461538461538461,1.0,208,0.6275163351006047,0.6666666666666666,178,0.6879063027368112,0.75,177,0.5652161664802114,0.5454545454545454,178,0.6257500346483397,0.6666666666666666,177,0.23798681031827099,0.19090909090909092,178,0.2699584627550729,0.2,177,True
esm3_top4_bilstm_attn,test,mean_candidate,1,208,0.668536468411131,0.6666666666666666,130,0.6680585243591316,0.6666666666666666,130,4.399038461538462,4.0,208,0.2548076923076923,0.0,208,0.23369828338960882,0.2,206,0.816173469387755,1.0,140,0.20846239468284633,0.15476190476190477,206,0.7412641723356009,1.0,140,0.1041624294869335,0.0,206,0.36538548752834465,0.31666666666666665,140,True
esm3_top4_bilstm_attn,test,seed_stable,-1,208,0.6656438010830317,0.6681302824159967,142,0.6664102153289998,0.6666666666666666,142,1.8028846153846154,1.0,208,0.44711538461538464,0.0,208,0.47320638163334794,0.5,178,0.7541459733177525,1.0,163,0.42693609449227427,0.3693181818181818,178,0.6712581556139837,0.8,163,0.1634912528170955,0.0,178,0.2682564027656052,0.0,163,True
esm3_top4_bilstm_attn,test,seed_stable,1,208,0.682495370126949,0.6666666666666666,95,0.6840910259331312,0.6666666666666666,95,4.4951923076923075,4.0,208,0.07211538461538461,0.0,208,0.15039336923570776,0.0,206,0.8888495992456388,1.0,101,0.13699149333383187,0.0,206,0.8104667609618105,1.0,101,0.06735179540688194,0.0,206,0.41702027345591697,0.2857142857142857,101,True
