attention_source,profile,condition,n_proteins,n_seed_pair_observations,profile_spearman_mean,profile_spearman_std_between_proteins,profile_spearman_n_proteins,profile_spearman_ci95_low,profile_spearman_ci95_high,top10_residue_jaccard_mean,top10_residue_jaccard_std_between_proteins,top10_residue_jaccard_n_proteins,top10_residue_jaccard_ci95_low,top10_residue_jaccard_ci95_high,band_mask_jaccard_mean,band_mask_jaccard_std_between_proteins,band_mask_jaccard_n_proteins,band_mask_jaccard_ci95_low,band_mask_jaccard_ci95_high,band_peak_match_precision_mean,band_peak_match_precision_std_between_proteins,band_peak_match_precision_n_proteins,band_peak_match_precision_ci95_low,band_peak_match_precision_ci95_high,band_peak_match_recall_mean,band_peak_match_recall_std_between_proteins,band_peak_match_recall_n_proteins,band_peak_match_recall_ci95_low,band_peak_match_recall_ci95_high,band_peak_match_f1_mean,band_peak_match_f1_std_between_proteins,band_peak_match_f1_n_proteins,band_peak_match_f1_ci95_low,band_peak_match_f1_ci95_high,band_peak_mean_distance_mean,band_peak_mean_distance_std_between_proteins,band_peak_mean_distance_n_proteins,band_peak_mean_distance_ci95_low,band_peak_mean_distance_ci95_high,band_count_absdiff_mean,band_count_absdiff_std_between_proteins,band_count_absdiff_n_proteins,band_count_absdiff_ci95_low,band_count_absdiff_ci95_high,both_no_bands_mean,both_no_bands_std_between_proteins,both_no_bands_n_proteins,both_no_bands_ci95_low,both_no_bands_ci95_high,either_no_bands_mean,either_no_bands_std_between_proteins,either_no_bands_n_proteins,either_no_bands_ci95_low,either_no_bands_ci95_high,normalized_row_entropy_absdiff_mean,normalized_row_entropy_absdiff_std_between_proteins,normalized_row_entropy_absdiff_n_proteins,normalized_row_entropy_absdiff_ci95_low,normalized_row_entropy_absdiff_ci95_high,long_range_mass_absdiff_mean,long_range_mass_absdiff_std_between_proteins,long_range_mass_absdiff_n_proteins,long_range_mass_absdiff_ci95_low,long_range_mass_absdiff_ci95_high,diagonal_mass_absdiff_mean,diagonal_mass_absdiff_std_between_proteins,diagonal_mass_absdiff_n_proteins,diagonal_mass_absdiff_ci95_low,diagonal_mass_absdiff_ci95_high,top10_profile_mass_absdiff_mean,top10_profile_mass_absdiff_std_between_proteins,top10_profile_mass_absdiff_n_proteins,top10_profile_mass_absdiff_ci95_low,top10_profile_mass_absdiff_ci95_high
bilstm_self_attention,flexible_support,esm2_frozen_bilstm_attn,208,624,0.8802657201694852,0.03965151875969154,208,0.875049496533962,0.885635234951218,0.5667054084637434,0.10367078456752728,208,0.5520276706288735,0.5809162549465908,0.5521935794109987,0.13818580057920796,208,0.533432982365618,0.5710256936652374,0.7550295057506595,0.16577017576997763,208,0.7335282661604777,0.77881734006734,0.7276031106065043,0.1690509270876375,208,0.7055768958644736,0.7500851311756995,0.732024081881016,0.15844339579842545,208,0.710384456928884,0.7535673982046172,0.5285982535982536,0.28140624613371173,208,0.49164088082056834,0.5678023582320457,0.6185897435897435,0.494561445703697,208,0.5480769230769231,0.685897435897436,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,,,0,,,,,0,,,,,0,,,0.049201746901638185,0.03232567014074458,208,0.04496408540420746,0.053637965748988894
bilstm_self_attention,flexible_support,esm2_top28_bilstm_attn,208,624,0.9471174478856097,0.03879059275395882,208,0.9415171991421356,0.9519536314583835,0.6825012164145046,0.1276113347639794,208,0.6650933944393433,0.6995356877009203,0.6701304542780466,0.13909231998169072,208,0.6499258002849343,0.6886274542223096,0.828428216925106,0.14332867553276554,208,0.8096467612039586,0.8472220746367028,0.8508070495733109,0.14412734792279813,208,0.8324279142410506,0.8703182688496249,0.8294379257258705,0.13442242052927372,208,0.8110341899588621,0.8475438957157306,0.356621805900652,0.2689630284428447,208,0.32141919712232203,0.3926587966431716,0.6185897435897435,0.5116323098312622,208,0.5480769230769231,0.689102564102564,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,,,0,,,,,0,,,,,0,,,0.04245828341293356,0.020624328243511746,208,0.039692133667335164,0.04548961553455401
bilstm_self_attention,flexible_support,esm2_top4_bilstm_attn,208,624,0.9750913204871661,0.01249711472717995,207,0.9733180762559482,0.9767402098262831,0.7957482621746632,0.10203913323477162,207,0.7817805818454012,0.8099090649302313,0.7782592671520412,0.13022329216751963,208,0.7604785989382212,0.7950221296415922,0.8949170865637212,0.12778858156569747,208,0.8770509261705175,0.9120664453401833,0.8981283428999774,0.12461878336488792,208,0.8803333810064579,0.9142048085016836,0.8899515806667743,0.11785646195971887,208,0.8737223879077021,0.9059171084268883,0.18969839491684154,0.17469090041462426,206,0.16572196771225897,0.21484852571017618,0.41987179487179493,0.4309427239945063,208,0.36217948717948717,0.47756410256410253,0.004807692307692308,0.06933752452815363,208,0.0,0.014423076923076924,0.008012820512820512,0.08314732119661267,208,0.0,0.020833333333333332,,,0,,,,,0,,,,,0,,,0.028133220316116477,0.013813274357491367,207,0.026155348477028467,0.029943081400073866
bilstm_self_attention,flexible_support,esm3_frozen_bilstm_attn,208,624,0.8522795333276151,0.06036187847457446,207,0.8441645154027145,0.8601124292509243,0.47670295777711885,0.14479189879746582,208,0.4571055347278245,0.495654527031006,0.4624345581778897,0.15987283538765054,208,0.44156564512603885,0.4839281272805308,0.6393726821611436,0.2028913192369044,208,0.6122993846431347,0.6666703266462882,0.6421119967994967,0.19904222873846283,208,0.6153807188182188,0.6692221074642948,0.6301685045428508,0.19020241888755654,208,0.6028363513512134,0.6556874035414949,0.6438203112960394,0.3261451415584166,206,0.5995751464016026,0.6863550335182615,0.6794871794871794,0.5635617826106328,208,0.6025641025641026,0.7596153846153846,0.0016025641025641025,0.023112508176051212,208,0.0,0.004807692307692308,0.004807692307692308,0.06933752452815363,208,0.0,0.014423076923076924,,,0,,,,,0,,,,,0,,,0.05943965480983564,0.03275421970314608,207,0.055006813792142444,0.06411063486874798
bilstm_self_attention,flexible_support,esm3_top28_bilstm_attn,208,624,0.8848524761641003,0.062178416236931336,208,0.8757077129698749,0.8923520792244445,0.5252289305387828,0.12818656560277822,208,0.5085067479998598,0.5420978668060155,0.5113933468543631,0.1454531373721856,208,0.49086216679612743,0.5305000049826056,0.7028692283499975,0.1744241728680558,208,0.6793398251721569,0.7259884877853627,0.7097232495069034,0.19141176411999547,208,0.6837993585830123,0.7350078538359789,0.6948087586178004,0.17293914961896875,208,0.6707916409376461,0.7178091595789132,0.6131485990860992,0.32329882455149733,208,0.570240374498187,0.6561429773929773,0.6955128205128205,0.6052384968363864,208,0.6185096153846154,0.7788461538461539,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,,,0,,,,,0,,,,,0,,,0.05327769137186407,0.035790953952509634,208,0.04847540192913562,0.05818261731344473
bilstm_self_attention,flexible_support,esm3_top4_bilstm_attn,208,624,0.888944161498394,0.07717584390312474,208,0.8774464299990427,0.8974012310670284,0.5310900340885806,0.12960424860636177,208,0.5134361112558727,0.5490898651299201,0.5237772448601619,0.14967135352183106,208,0.5034017091195279,0.5441926362631233,0.7244109256128486,0.19062434139002152,208,0.6979991588495194,0.7505049617850098,0.720996306933807,0.18463241080684298,208,0.6951197876197877,0.7453876823408072,0.7101092406202008,0.1745564666838342,208,0.6860313450362359,0.7336787506475696,0.5861618379822264,0.32452477353675785,206,0.5425227789335799,0.6307000789798118,0.6955128205128205,0.5686581977215434,208,0.6217147435897435,0.7725160256410254,0.0,0.0,208,0.0,0.0,0.00641025641025641,0.06521395038887841,208,0.0,0.016025641025641024,,,0,,,,,0,,,,,0,,,0.053372041863067876,0.033788919016774735,208,0.04903233262017775,0.05830563391620945
bilstm_self_attention,raw_received,esm2_frozen_bilstm_attn,208,624,0.8438058683217489,0.04378796297219524,208,0.8379637600580836,0.8496008725402168,0.4824407473908666,0.10948436575400766,208,0.4665535099309245,0.49637047508329313,0.4813102052257347,0.1501035448228146,208,0.4613263264372351,0.5019905780900378,0.6838381238126712,0.19675942284800438,208,0.6565964980087577,0.711199874877406,0.655614692570292,0.1897025337839706,208,0.6306102310954192,0.6812978977630066,0.660002785436048,0.18516154265119808,208,0.6353628100177062,0.6844714997844199,0.6316981059734683,0.2878382874105771,207,0.5916376875495233,0.6730500440917108,0.685897435897436,0.536037674781973,208,0.6121794871794871,0.7596153846153846,0.0,0.0,208,0.0,0.0,0.003205128205128205,0.04622501635210243,208,0.0,0.009615384615384616,0.007618148297765925,0.00604555260896642,208,0.0067706059200223516,0.008431473226627203,0.003421955754951105,0.003032962394143015,208,0.0030150700346991545,0.0038577100050500757,0.0034219557549511124,0.0030329623941430105,208,0.00303912721681284,0.0038387901060982677,0.017577763944012045,0.012533355244394195,208,0.0159060469162968,0.019227984652209283
bilstm_self_attention,raw_received,esm2_top28_bilstm_attn,208,624,0.9228197822324399,0.05210161923793273,208,0.9158165647486738,0.9295148971104084,0.6214202565873718,0.12286759363554965,208,0.6051942221430102,0.6386031880632016,0.6101582501422291,0.15034531065827797,208,0.5901060806673134,0.629903211951429,0.7784463933502396,0.16634692484712488,208,0.7549560345503855,0.800275494181744,0.8089829849480584,0.16253409175446293,208,0.7851218967415764,0.8309774747023758,0.7821418826114747,0.1590776640572077,208,0.7605737903785748,0.8030560983978147,0.3631040745223437,0.2840033886297007,208,0.32543418653995576,0.4018505192723943,0.717948717948718,0.576455623551609,208,0.641025641025641,0.7948717948717948,0.0,0.0,208,0.0,0.0,0.003205128205128205,0.04622501635210243,208,0.0,0.009615384615384616,0.007483629849901314,0.005128549336559741,208,0.006823870858843128,0.008196044508250698,0.0029638043818215973,0.002744119333772192,208,0.002597305192807053,0.003357512961251949,0.002963804381821602,0.002744119333772186,208,0.0025979479117454406,0.003358391631460799,0.014833232918266069,0.0088309928909419,208,0.013660615431634266,0.016021437197913047
bilstm_self_attention,raw_received,esm2_top4_bilstm_attn,208,624,0.9668355432124176,0.09558759708658984,208,0.9509216459659978,0.9762698798855795,0.7485015165073658,0.11678757328072331,208,0.7325193715346018,0.7639977318250029,0.7288886298119214,0.1425745154678556,208,0.7098197327400281,0.7479024428012412,0.8652052030056837,0.14305910133035588,208,0.8456244257100627,0.8833365842891084,0.8664888930513932,0.15161452142489823,208,0.8449866797643241,0.8867729165866186,0.8571673499629383,0.13920580826497114,208,0.8361680221730233,0.874810220992582,0.22741607560448143,0.2040807154286488,207,0.20042271291063563,0.2555074088105489,0.5608974358974359,0.5154914650254252,208,0.49358974358974356,0.6314102564102563,0.0,0.0,208,0.0,0.0,0.009615384615384616,0.07967635512316605,208,0.0,0.022435897435897433,0.012055509565136707,0.0045557181502497626,208,0.011412909728233724,0.01266777188462169,0.002604032231663814,0.002019633206194614,208,0.0023298303597858753,0.00288249455231115,0.0026040322316638075,0.0020196332061946155,208,0.002341326636858546,0.0028933798883322964,0.020478494978482104,0.007382538616879844,208,0.01951828029323967,0.021489919074276567
bilstm_self_attention,raw_received,esm3_frozen_bilstm_attn,208,624,0.7890351220367824,0.09285662421133485,208,0.7753563519587032,0.8009635280331584,0.39739858845884984,0.1288444523346231,208,0.3801730489854081,0.4148831702962095,0.4017498107882821,0.15618263445956965,208,0.38081827409888613,0.42490227558805505,0.5819534053909053,0.20326391034286978,208,0.5548971673581049,0.6091767578486328,0.5687334922911845,0.19273883014379417,208,0.5434483459693795,0.5951234062411946,0.5649862582674753,0.18686618820909232,208,0.5389929308342942,0.5891865205334329,0.6595161041762982,0.35702536666217594,206,0.611404444059177,0.7080683656957927,0.7660256410256411,0.6012686671320356,208,0.689102564102564,0.8493589743589743,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,0.018411416791295473,0.01203538178575433,208,0.016808319689845922,0.020045160828874656,0.0059625573800238234,0.005308475976519338,208,0.005250040310041993,0.006703111240322396,0.005962557380023833,0.00530847597651933,208,0.0052851355736818015,0.006719923471189048,0.03411467231299275,0.01986958740603096,208,0.03149590841941755,0.036820775226317715
