condition,n_seeds,accuracy_mean_across_seed_mean,accuracy_mean_across_seed_std,macro_f1_mean_across_seed_mean,macro_f1_mean_across_seed_std,class0_precision_mean_across_seed_mean,class0_precision_mean_across_seed_std,class0_recall_mean_across_seed_mean,class0_recall_mean_across_seed_std,class0_f1_mean_across_seed_mean,class0_f1_mean_across_seed_std,class1_precision_mean_across_seed_mean,class1_precision_mean_across_seed_std,class1_recall_mean_across_seed_mean,class1_recall_mean_across_seed_std,class1_f1_mean_across_seed_mean,class1_f1_mean_across_seed_std,auroc_mean_across_seed_mean,auroc_mean_across_seed_std,auprc_mean_across_seed_mean,auprc_mean_across_seed_std,neq_score_spearman_mean_across_seed_mean,neq_score_spearman_mean_across_seed_std
esm2_frozen_bilstm_attn,3,0.8138002156405187,0.0032732148303173977,0.7840491122113105,0.005442228473228939,0.8010687150446003,0.010616572220787457,0.7047741615943107,0.015407778434025786,0.7326659616216262,0.008844703969352597,0.8217405692981625,0.005398350190271443,0.864116262132255,0.010481506063952777,0.8354322628009946,0.004091224962285622,0.879854968089003,0.0007042627758641688,0.8977633227624824,0.0005444428259311961,0.6687124998004261,0.0009164432553565361
esm2_top4_bilstm_attn,3,0.808164091008453,0.0019567036114642275,0.7635285092177083,0.004327692785673087,0.7726945702131682,0.010713507334701548,0.6674991170382439,0.011230684475907759,0.6986505159686066,0.006007265166629517,0.8097367817658863,0.006701969802098939,0.8609977463173545,0.013971109522801438,0.8284065024668101,0.004593897547927901,0.8742701003208849,0.00021155409046107825,0.8948449413827554,0.00047232014593411666,0.6621710197015251,0.00029443962920077706
esm2_top28_bilstm_attn,3,0.8147708654532374,0.0003262960719711915,0.7781099982247719,0.002237087660501333,0.7924865304042651,0.009293100993499679,0.6831923450334378,0.010015591961804193,0.7185627276921022,0.004076026284742062,0.8102886441033285,0.004247611522493394,0.8753723711749727,0.007605713900548542,0.8376572687574416,0.0015327203627198839,0.8779935394637021,0.0004287810768554853,0.8975922224110237,0.0008227711331204248,0.6673851388429489,0.0015393211086930508
esm3_frozen_bilstm_attn,3,0.7997826748277053,0.004157948917087077,0.754654262805483,0.008547978675098414,0.7736781279313075,0.01231813854660623,0.6423827797815161,0.022904662507209548,0.68395300801374,0.015419825410146073,0.7943023069915602,0.00865483713290641,0.8707749799999666,0.015146256871810176,0.8253555175972259,0.0044939153039508,0.8648589317759594,0.0025878396746850255,0.8897550428718269,0.0013029018813837466,0.6460781173632631,0.0033707503537356537
esm3_top4_bilstm_attn,3,0.8116352902982643,0.006701359556123341,0.7750740567163303,0.00994249478041795,0.7749834099769229,0.02102862133731741,0.6914158457797934,0.013437287169004485,0.7164010403790315,0.013565767672792573,0.8137178870946161,0.004534307856645325,0.8633894765565012,0.010698952118392432,0.833747073053629,0.006615684714692608,0.8784983294477046,0.007715580106472078,0.9031429919438766,0.0045325711216389845,0.6710896569768994,0.008561762959369036
esm3_top28_bilstm_attn,3,0.819692718523998,0.00389737343647408,0.7876627197190347,0.0060379408047193965,0.7868016654162182,0.01774125987949447,0.7199557188655271,0.017914641170083206,0.7371054958060124,0.010362067575974151,0.826599292924838,0.006302671715844706,0.8583667471181867,0.009574762406002534,0.8382199436320569,0.0036536533363308635,0.8839461376618228,0.004741106921824235,0.9061396804474816,0.003979201990605819,0.6795337074461738,0.006260726240369458
esm2_frozen_linear,3,0.7970213162466964,0.0013274935531349197,0.7657856350213438,0.0016464398323202032,0.774877598670419,0.005887074971917293,0.6779126416913698,0.004320039014913903,0.7106850167442468,0.002389233590870935,0.7997986826452426,0.0011586273644169137,0.8537034336327478,0.004213448228529529,0.8208862532984408,0.0019654955129597626,0.859083937032529,0.0009523274412456727,0.88170469514198,0.0009025984779680206,0.6337501936306255,0.0016072192103800626
