condition,n_seeds,accuracy_across_seed_mean,accuracy_across_seed_std,macro_f1_across_seed_mean,macro_f1_across_seed_std,class0_precision_across_seed_mean,class0_precision_across_seed_std,class0_recall_across_seed_mean,class0_recall_across_seed_std,class0_f1_across_seed_mean,class0_f1_across_seed_std,class1_precision_across_seed_mean,class1_precision_across_seed_std,class1_recall_across_seed_mean,class1_recall_across_seed_std,class1_f1_across_seed_mean,class1_f1_across_seed_std,auroc_across_seed_mean,auroc_across_seed_std,auprc_across_seed_mean,auprc_across_seed_std,neq_score_spearman_across_seed_mean,neq_score_spearman_across_seed_std
esm2_frozen_bilstm_attn,3,0.8064892183758804,0.0023879662079196217,0.7992179856494569,0.0025268628514485652,0.8064279751422173,0.010018170318354194,0.7207123386056837,0.013205834642217628,0.7610535127051462,0.0041798932293103126,0.8067085401734593,0.005760054331615941,0.8705817782656421,0.010293974412490662,0.8373824585937678,0.00264286676207766,0.875331234460574,0.0015406081386796563,0.8879686181568823,0.0008321345969803532,0.6742761165182097,0.001668965998778611
esm2_top4_bilstm_attn,3,0.8035713039168465,0.0009969638756890983,0.7957894154415307,0.0001265717242484962,0.8065927492975181,0.011384211895416848,0.7115877446419535,0.013511624424854606,0.75598023167151,0.0025654533542744957,0.8019641678765975,0.005330098873378072,0.872301500182949,0.011821232889173213,0.8355985992115514,0.0025626014736190536,0.874799425322955,0.00041340035072267087,0.8875497622566856,0.00015343293161028835,0.6715078382426939,0.0011187184571055274
esm2_top28_bilstm_attn,3,0.808653221922054,0.000518498812721867,0.8007529139361719,0.001067277753709217,0.816558765105532,0.004754130932170287,0.7127466823368102,0.008149510430523369,0.7610916842713925,0.002562372496463784,0.8040010231209894,0.003556450381461687,0.8803146725210391,0.005187632472440325,0.8404141436009512,0.00043122609552168637,0.8786445478190853,0.000869343065734425,0.8907690653275854,0.0006876141271739555,0.6800019779569584,0.0016933376996100282
esm3_frozen_bilstm_attn,3,0.7976168038365689,0.004181949346510528,0.7888715029048825,0.004212693997705721,0.8054656114066523,0.016000549776136283,0.6951340939882148,0.018462513481460215,0.7459972368141394,0.0063226610971054325,0.793402273577238,0.00732946890986985,0.8741919746310526,0.01586604025897384,0.8317457689956257,0.004736755379808514,0.8650850911642048,0.0019836022812762073,0.8768420147055949,0.002496706344772434,0.6543561698994708,0.004092923840759724
esm3_top4_bilstm_attn,3,0.811173238954856,0.006847010040313351,0.804429784012178,0.0067586647222111305,0.8089848653241959,0.012567412333113532,0.7312407162561415,0.004774517768448684,0.7681250111478682,0.007185032152807983,0.8126107803412684,0.0037406664117018793,0.8708988901085498,0.01024608833034579,0.8407345568764875,0.0063992239754396205,0.8821516893755277,0.00487553169103517,0.8944038823123069,0.0035626592588257826,0.684858930914528,0.007693788648057669
esm3_top28_bilstm_attn,3,0.8174209266123572,0.00489004337200479,0.8116788143508672,0.005151891301041439,0.8080455366110787,0.008391412481508894,0.7517424873088161,0.011953132897007633,0.7788203378741793,0.006613924926215857,0.8237168274532118,0.006419677375344359,0.8664959141358702,0.008066404422412816,0.8445372908275552,0.004169155421660768,0.8894937731623815,0.0052224967131498596,0.9022275112816681,0.004981158456965191,0.6976058560674625,0.008062173612959314
esm2_frozen_linear,3,0.7920252978995205,0.0007611476972371623,0.7836357771966576,0.0008126463951572594,0.792572263991195,0.002651910508831537,0.6958033396993292,0.0035623198627830594,0.7410340395360185,0.001296497765047413,0.7917087482129093,0.0014844649149783075,0.863922429564581,0.002774319807869391,0.8262375148572967,0.0008029200135695555,0.8621215653451308,0.0006097403785353233,0.8755527011492843,0.001003301995486388,0.6479588128678034,0.0011024604098964102
