attention_source,profile,condition_pair,n_proteins,n_seed_pair_observations,profile_spearman_mean,profile_spearman_std_between_proteins,profile_spearman_n_proteins,profile_spearman_ci95_low,profile_spearman_ci95_high,top10_residue_jaccard_mean,top10_residue_jaccard_std_between_proteins,top10_residue_jaccard_n_proteins,top10_residue_jaccard_ci95_low,top10_residue_jaccard_ci95_high,band_mask_jaccard_mean,band_mask_jaccard_std_between_proteins,band_mask_jaccard_n_proteins,band_mask_jaccard_ci95_low,band_mask_jaccard_ci95_high,band_peak_match_precision_mean,band_peak_match_precision_std_between_proteins,band_peak_match_precision_n_proteins,band_peak_match_precision_ci95_low,band_peak_match_precision_ci95_high,band_peak_match_recall_mean,band_peak_match_recall_std_between_proteins,band_peak_match_recall_n_proteins,band_peak_match_recall_ci95_low,band_peak_match_recall_ci95_high,band_peak_match_f1_mean,band_peak_match_f1_std_between_proteins,band_peak_match_f1_n_proteins,band_peak_match_f1_ci95_low,band_peak_match_f1_ci95_high,band_peak_mean_distance_mean,band_peak_mean_distance_std_between_proteins,band_peak_mean_distance_n_proteins,band_peak_mean_distance_ci95_low,band_peak_mean_distance_ci95_high,band_count_absdiff_mean,band_count_absdiff_std_between_proteins,band_count_absdiff_n_proteins,band_count_absdiff_ci95_low,band_count_absdiff_ci95_high,both_no_bands_mean,both_no_bands_std_between_proteins,both_no_bands_n_proteins,both_no_bands_ci95_low,both_no_bands_ci95_high,either_no_bands_mean,either_no_bands_std_between_proteins,either_no_bands_n_proteins,either_no_bands_ci95_low,either_no_bands_ci95_high,normalized_row_entropy_absdiff_mean,normalized_row_entropy_absdiff_std_between_proteins,normalized_row_entropy_absdiff_n_proteins,normalized_row_entropy_absdiff_ci95_low,normalized_row_entropy_absdiff_ci95_high,long_range_mass_absdiff_mean,long_range_mass_absdiff_std_between_proteins,long_range_mass_absdiff_n_proteins,long_range_mass_absdiff_ci95_low,long_range_mass_absdiff_ci95_high,diagonal_mass_absdiff_mean,diagonal_mass_absdiff_std_between_proteins,diagonal_mass_absdiff_n_proteins,diagonal_mass_absdiff_ci95_low,diagonal_mass_absdiff_ci95_high,top10_profile_mass_absdiff_mean,top10_profile_mass_absdiff_std_between_proteins,top10_profile_mass_absdiff_n_proteins,top10_profile_mass_absdiff_ci95_low,top10_profile_mass_absdiff_ci95_high
bilstm_self_attention,flexible_support,esm2_frozen_bilstm_attn vs esm2_top28_bilstm_attn,208,1872,0.8194339228080897,0.05919078671571716,208,0.8111421556024092,0.8271751006386988,0.416609329721347,0.13101109983425469,208,0.3985629884485761,0.4346440625059148,0.40528497277210784,0.15320601557071664,208,0.38426847704340933,0.4270440269498841,0.6109425149559953,0.19789026842227483,208,0.5828941223414734,0.63828698749961,0.6210096434973885,0.19079765517926978,208,0.5959905175424123,0.646125412215745,0.6058148064754607,0.18570346781529162,208,0.5808616822128527,0.6314902219232098,0.72735821576841,0.35422286604949277,206,0.6773039300385578,0.7741330756809114,0.7414529914529915,0.5180449430855911,208,0.6730769230769231,0.8125133547008546,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,,,0,,,,,0,,,,,0,,,0.07044404198798879,0.044914801815035085,208,0.06448054530223166,0.0765334063042717
bilstm_self_attention,flexible_support,esm2_frozen_bilstm_attn vs esm2_top4_bilstm_attn,208,1872,0.8464776187512728,0.0468073374246442,207,0.8401303911469055,0.8525446660610887,0.4666215824707415,0.14176799758197445,208,0.4474887424072321,0.48454277858872974,0.45461431293803106,0.16352114886897703,208,0.4325996123270788,0.4757022915897494,0.6421815482712918,0.19720677293249403,208,0.6153992039388674,0.6683515320224053,0.6644612591527655,0.20023345333078843,208,0.6369035187494724,0.6904502145342489,0.6444325298183233,0.19057824098331286,208,0.6182209019900029,0.6698207356282435,0.6154918026869245,0.3292093928664499,205,0.5692762135485712,0.659044497169497,0.6832264957264957,0.510191932216876,208,0.6143028846153845,0.7494791666666667,0.0,0.0,208,0.0,0.0,0.00641025641025641,0.0729821665254222,208,0.0,0.017628205128205128,,,0,,,,,0,,,,,0,,,0.06942950681139994,0.04847338181842941,207,0.06295689868578755,0.07595314051773498
bilstm_self_attention,flexible_support,esm2_frozen_bilstm_attn vs esm3_frozen_bilstm_attn,208,1872,0.7343270446844947,0.10243777403969687,208,0.7190690030023893,0.7465247093747649,0.34070725933678053,0.12834737498112095,208,0.32475911015214703,0.3594562284432224,0.3264134478757138,0.14158837077146924,208,0.3066171062281479,0.34529030829144314,0.48108106281183205,0.19408027719762203,208,0.45508501596041656,0.5072236944783018,0.5316984890702839,0.21032302656047075,208,0.5017819506511414,0.5606264051045702,0.49600784547992566,0.19442598444140935,208,0.4715494849414721,0.5223228227249327,0.8270841478353794,0.3038080567593904,203,0.7875292406234523,0.8681331205853989,0.9209401709401709,0.7904682167244903,208,0.8167735042735044,1.031517094017094,0.0,0.0,208,0.0,0.0,0.003205128205128205,0.046225016352102424,208,0.0,0.009615384615384616,,,0,,,,,0,,,,,0,,,0.11228376688451092,0.06071755003902864,208,0.10382902487958198,0.12062030841839304
bilstm_self_attention,flexible_support,esm2_frozen_bilstm_attn vs esm3_top28_bilstm_attn,208,1872,0.7469779902514316,0.09133829741573163,208,0.7344193278215642,0.758648742152229,0.35502314182645595,0.12519365816625908,208,0.3394005684861696,0.3722209567490441,0.3305431475472333,0.13907846309981442,208,0.3124783464372332,0.35065528022071324,0.5091782899380939,0.18890419232711564,208,0.48412920975786267,0.5348373435162298,0.5339212307161025,0.1947746414117301,208,0.5070962859404365,0.5596675703807114,0.5124707322609047,0.18513327479172514,208,0.48691985397737164,0.5401208864249294,0.7894974286901371,0.3393392879229077,208,0.7434431704483787,0.8348716875572345,0.8386752136752136,0.6158634922148533,208,0.7579994658119659,0.9252270299145299,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,,,0,,,,,0,,,,,0,,,0.11300694127263057,0.06523827840622905,208,0.10400949509752581,0.12160013543226994
bilstm_self_attention,flexible_support,esm2_frozen_bilstm_attn vs esm3_top4_bilstm_attn,208,1872,0.7459012174983037,0.09539935246115187,208,0.7326219840407203,0.758430372255591,0.34729901571851524,0.12918741910108106,208,0.3296611354672163,0.3652962388635666,0.3283452878858509,0.14559610539541426,208,0.3086248147074054,0.3488523172361894,0.49680756666522125,0.1941937003552634,208,0.46973294077725875,0.5223088163281295,0.5393651057513237,0.2120252084043366,208,0.5102903822495168,0.5684637695444987,0.5079814901981646,0.1958037283481993,208,0.4806023650253766,0.534722216672844,0.7669137728806011,0.32676731834568506,206,0.7234532906114621,0.8133842100306501,0.8846153846153846,0.6869213460280963,208,0.7959401709401709,0.9861244658119656,0.0,0.0,208,0.0,0.0,0.003205128205128205,0.032606975194439204,208,0.0,0.008012820512820512,,,0,,,,,0,,,,,0,,,0.10451453530184167,0.058475337888171955,208,0.09698700005310323,0.11261970224001548
bilstm_self_attention,flexible_support,esm2_top28_bilstm_attn vs esm2_top4_bilstm_attn,208,1872,0.9258625395077258,0.04118817645243509,207,0.9199463013140413,0.931154537331983,0.6048882731542975,0.13930917467485895,208,0.5845226067075296,0.6234967116232936,0.5868162584767241,0.15691534127013396,208,0.566967057262298,0.6082853650579008,0.7717730506062426,0.17560027924336835,208,0.7490467078175058,0.7944961431455116,0.7846641910143514,0.1813106756695033,208,0.7602260321661363,0.8086985150451697,0.7685457559822523,0.169303097398298,208,0.7446437199069557,0.7917293365048467,0.4262717727492284,0.24789464445538276,207,0.39276554428678023,0.4587685868211231,0.640491452991453,0.4735162233873424,208,0.5774439102564102,0.7051282051282051,0.0,0.0,208,0.0,0.0,0.00641025641025641,0.0729821665254222,208,0.0,0.017628205128205128,,,0,,,,,0,,,,,0,,,0.05689144476157486,0.028680801587506407,207,0.053402591547627436,0.06074592045698127
bilstm_self_attention,flexible_support,esm2_top28_bilstm_attn vs esm3_frozen_bilstm_attn,208,1872,0.779871309285019,0.09941050864337116,208,0.7653406347832276,0.7927763876962675,0.39929602223170324,0.13095549928002698,208,0.3816543523733807,0.41798792245900906,0.39450580607546204,0.14648695376346346,208,0.3744855490075412,0.4138395294530448,0.5680225657742626,0.18391414716012644,208,0.5419491884029851,0.5933754784656228,0.6158355563002998,0.20185780804819983,208,0.5877307005301797,0.6433176788785764,0.5793513494262446,0.1793273190392197,208,0.5543269122817298,0.6036900182228676,0.7743568175202478,0.30025066366690756,206,0.7332153906825225,0.8161482573072378,0.8408119658119657,0.5935508401873768,208,0.7692040598290598,0.9198717948717949,0.0,0.0,208,0.0,0.0,0.003205128205128205,0.046225016352102424,208,0.0,0.009615384615384616,,,0,,,,,0,,,,,0,,,0.12524727263746163,0.06341536166715363,208,0.11680080728899199,0.13402863533990908
bilstm_self_attention,flexible_support,esm2_top28_bilstm_attn vs esm3_top28_bilstm_attn,208,1872,0.8081440699277587,0.07728123656208802,208,0.7975964126681042,0.8184152600682901,0.4282118023268636,0.12880447248200044,208,0.4102057408143042,0.44578676066321693,0.41476186867004977,0.14093589130293566,208,0.39523071482250094,0.4337218314367791,0.6188947509165741,0.1796203405083147,208,0.5945547515437575,0.6428126692085496,0.6373905667575539,0.19232803344912622,208,0.6099800027844898,0.6642637702323199,0.6171450468182514,0.17525824022789427,208,0.5919658854029815,0.6395170817596348,0.788362770407859,0.33642938464069344,207,0.7437507428494747,0.8359151799026999,0.7831196581196582,0.5439758974335922,208,0.7110042735042735,0.8621928418803417,0.0,0.0,208,0.0,0.0,0.0,0.0,208,0.0,0.0,,,0,,,,,0,,,,,0,,,0.12463552140193265,0.06508731113162018,208,0.11593822101905624,0.13348173091842033
bilstm_self_attention,flexible_support,esm2_top28_bilstm_attn vs esm3_top4_bilstm_attn,208,1872,0.8091622270250384,0.09289879685976248,208,0.7953700511260766,0.8206659278459681,0.4176921086167547,0.13126278998470362,208,0.3993662366696335,0.43627444129904663,0.4059046432272293,0.14939833168118957,208,0.38602307148274967,0.4268476231467835,0.602207071303508,0.1838742042486796,208,0.577308718787968,0.6278600679981713,0.6424171314796314,0.20286425625738952,208,0.613936310121206,0.6691915173946423,0.6101635401898338,0.18242328967885704,208,0.5852941627056826,0.6350908361515559,0.7697186215288967,0.31941041208606197,206,0.7263973647711511,0.8135550883945403,0.8012820512820513,0.5293718226458018,208,0.7334268162393162,0.874465811965812,0.0,0.0,208,0.0,0.0,0.003205128205128205,0.032606975194439204,208,0.0,0.008012820512820512,,,0,,,,,0,,,,,0,,,0.11239344719897454,0.05831312712491448,208,0.10460546555805704,0.12066829209196277
bilstm_self_attention,flexible_support,esm2_top4_bilstm_attn vs esm3_frozen_bilstm_attn,208,1872,0.7875394664902335,0.07600735350441075,207,0.7769184265114655,0.7977592994896069,0.3881685833335968,0.1398615501901167,208,0.36843825469562785,0.4064838496936527,0.37506430053185025,0.15534681120227475,208,0.3539115914597204,0.39741087802769465,0.5508638018854365,0.2021764077186787,208,0.5246428501201137,0.5773933786528939,0.5891507071394891,0.2147537385300779,208,0.5580708023947207,0.6168012587483741,0.5595787279761366,0.19900086905913764,208,0.5326251722757711,0.5854156057918184,0.7555082376220587,0.34468477111958284,205,0.7083620305845917,0.8035428630575989,0.7537393162393162,0.6265085294717544,208,0.6752003205128205,0.8413461538461539,0.003205128205128205,0.046225016352102424,208,0.0,0.009615384615384616,0.00641025641025641,0.0729821665254222,208,0.0,0.01923076923076923,,,0,,,,,0,,,,,0,,,0.09766947742724126,0.056001758006496545,207,0.09018812382637337,0.10549981650723589
