n_residues,neq_score_spearman,accuracy,macro_f1,class0_precision,class0_recall,class0_f1,class1_precision,class1_recall,class1_f1,auroc,auprc,condition,seed,n_proteins
47751,0.6754665833574904,0.8078574270695902,0.8014624443923125,0.7997334754797442,0.7346848832084619,0.7658303769684286,0.8131144148183919,0.8625320160995243,0.8370945118161964,0.8761653159643008,0.8889153409087285,esm2_frozen_bilstm_attn,1,208
47751,0.6707086522836623,0.8025381667399636,0.7958354891105819,0.7942499196916158,0.7264580578815925,0.7588429371595181,0.807862965638221,0.8593852908891328,0.8328280410616457,0.8744383427354014,0.8876947223216591,esm2_top4_bilstm_attn,1,208
47751,0.68126454421506,0.8092395970765011,0.8019451792389218,0.8113508752614775,0.7217570148376671,0.7639360406354472,0.8079432144667906,0.8746066593487011,0.8399543178423966,0.8789832066468098,0.8906275774898251,esm2_top28_bilstm_attn,1,208
47751,0.6497095406658021,0.79663253125589,0.7863121183911976,0.8180684248039914,0.6744527692081681,0.7393509944439971,0.7849587578845221,0.8879253567508233,0.8332732423383982,0.8633524535387036,0.8739604329216979,esm3_frozen_bilstm_attn,1,208
47751,0.6849160309396328,0.8138258884630688,0.8067760203556418,0.8166291394365424,0.7281719798246903,0.7698679782552421,0.8120980299234988,0.8778265642151482,0.8436840624560416,0.8834516047876431,0.8950997857505314,esm3_top4_bilstm_attn,1,208
47751,0.7067688121672899,0.8223283282025508,0.8164987758778637,0.8171528774111271,0.7530483325987953,0.7837920489296637,0.825694732476151,0.8740944017563117,0.8492055028260637,0.8951694663054377,0.9077999087229741,esm3_top28_bilstm_attn,1,208
47751,0.6479196128643677,0.7922137756277355,0.7835242543671528,0.795530034341046,0.6919837422261398,0.7401529436413157,0.7902494331065759,0.8671057446030004,0.82689556509299,0.8619555520580117,0.8752684974192828,esm2_frozen_linear,1,208
47751,0.6723684277532305,0.8037318590186593,0.7964811852564432,0.8016050663318229,0.7190147397287107,0.7580670143012029,0.8050553781341306,0.8670325649469447,0.8348953562116834,0.8735534202261567,0.8873530069625264,esm2_frozen_bilstm_attn,2,208
47751,0.6727863551884511,0.8036480911394526,0.7956462606893393,0.808847379900453,0.7082415160863816,0.7552086052947626,0.8005356545028457,0.8749359678009513,0.8360839160839161,0.8752503633136455,0.8875654955971908,esm2_top4_bilstm_attn,2,208
47751,0.6780776993144397,0.8084647441938388,0.8004268912428819,0.8176593227024286,0.7105920376083443,0.7603751833997067,0.8030262631649113,0.8815953165020124,0.8404785990860572,0.8776568419547164,0.8901632007320988,esm2_top28_bilstm_attn,2,208
47751,0.657426915543137,0.79401478503068,0.7865687443383866,0.7874640160773451,0.7099554380294795,0.7467037494849609,0.7981254260395365,0.8568240029271862,0.8264337391918123,0.8646540460517953,0.8783596651386694,esm3_frozen_bilstm_attn,2,208
47751,0.6771367511700914,0.8033967875018324,0.7968106647473093,0.7944803288314739,0.7288085794035551,0.7602288399652654,0.8091529395547591,0.8591291620929382,0.8333924895293533,0.8767579489793274,0.8905446160533114,esm3_top4_bilstm_attn,2,208
47751,0.6916000114916947,0.8125484283051664,0.806249237234137,0.8063568376068376,0.7391900494588903,0.7713139674510104,0.8165409389962454,0.867361873399195,0.8411845070172637,0.8848911737956269,0.8982071206632575,esm3_top28_bilstm_attn,2,208
47751,0.646876475269116,0.7911876191074533,0.7828846519047179,0.7904068474877723,0.6963909700798198,0.7404264181396923,0.7916596659834,0.862019758507135,0.8253428856697436,0.8616120240829551,0.8747221591565257,esm2_frozen_linear,2,208
47751,0.6749933384439085,0.8078783690393918,0.7997103272996151,0.8179453836150845,0.7084373928798785,0.7592631468458068,0.8019558275678552,0.8821807537504573,0.8401575077534236,0.8762749671912642,0.8876375065993918,esm2_frozen_bilstm_attn,3,208
47751,0.6710285072559681,0.8045276538711231,0.7958864965246708,0.8166809483004855,0.7000636599578864,0.7538891525602489,0.7974938834887257,0.8825832418587632,0.8378838404890926,0.874709569919818,0.8873890688512065,esm2_top4_bilstm_attn,3,208
47751,0.6806636903413755,0.808255324495822,0.7998866713267121,0.82066609735269,0.705890994564419,0.7589638287790239,0.8010335917312662,0.884742041712404,0.8408095138744003,0.8792935948557294,0.8915164177608323,esm2_top28_bilstm_attn,3,208
47751,0.6559320534894733,0.8022030952231367,0.7937336459850635,0.8108643933386201,0.7009940747269967,0.7519369665134603,0.7971226368076553,0.8778265642151482,0.8355303254566667,0.8672487739021157,0.8782059460564171,esm3_frozen_bilstm_attn,3,208
47751,0.6925240106338596,0.816297040899667,0.8097026669335825,0.8158451277045713,0.7367415895401792,0.7742782152230971,0.8165813715455476,0.8757409440175631,0.8451271186440678,0.8862455143596126,0.8975672451330785,esm3_top4_bilstm_attn,3,208
47751,0.6944487445434028,0.8173860233293544,0.8122884299406009,0.8006268948152716,0.7629890798687625,0.7813549972418634,0.8289148108872393,0.8580314672521039,0.8432218626393384,0.88842067938608,0.9006755044587728,esm3_top28_bilstm_attn,3,208
47751,0.6490803504699265,0.7926744989633725,0.7844984253181022,0.7917799101447668,0.6990353067920279,0.742522756827048,0.7932171455487518,0.8626417855836077,0.8264740938091565,0.8627971198944258,0.8766674468720443,esm2_frozen_linear,3,208
