condition,sign,band_type,stratum,apex_q8,evaluation_split,n_train_discovered,n_inference_eligible,n_direction_matches_train,n_replicated
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,validation,237,237,147,0
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,test,237,237,150,0
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,validation,19,19,13,0
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,test,19,19,15,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_only,ALL,validation,428,428,296,1
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_only,ALL,test,428,428,275,1
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,validation,18,18,12,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,test,18,18,11,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,validation,182,182,132,1
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,test,182,182,125,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,validation,1,1,0,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,test,1,1,1,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,validation,4,4,4,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,test,4,4,2,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,validation,271,271,176,2
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,test,271,271,144,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,validation,220,220,132,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,test,220,220,124,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,validation,23,23,13,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,test,23,23,12,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,C,validation,1,1,1,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,C,test,1,1,1,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_only,ALL,validation,420,420,278,2
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_only,ALL,test,420,420,281,1
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,validation,14,14,10,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,test,14,14,6,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,validation,152,152,118,2
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,test,152,152,111,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,validation,1,1,0,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,test,1,1,1,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,validation,3,3,2,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,test,3,3,1,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,E,validation,1,1,0,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,E,test,1,1,0,0
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,validation,266,266,165,1
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,test,266,266,155,0
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,validation,219,219,131,0
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,test,219,219,131,0
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,validation,24,24,19,1
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,test,24,24,13,0
