condition,sign,band_type,stratum,apex_q8,evaluation_split,n_train_discovered,n_inference_eligible,n_direction_matches_train,n_replicated
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_only,ALL,validation,676,676,456,3
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_only,ALL,test,676,676,453,18
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,validation,35,35,17,0
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,test,35,35,26,0
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,validation,448,448,313,1
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,test,448,448,337,20
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,validation,1,1,0,0
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,test,1,1,0,0
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,validation,8,8,4,0
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,test,8,8,5,0
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,E,validation,1,1,0,0
esm3_frozen_bilstm_attn,1,flexibility_supporting,sign_by_q8,E,test,1,1,0,0
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,validation,365,365,240,1
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,test,365,365,217,3
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,validation,309,309,184,0
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,test,309,309,188,3
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,validation,73,73,50,0
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,test,73,73,41,0
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,G,validation,1,0,0,0
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,G,test,1,0,0,0
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,C,validation,3,3,2,0
esm3_frozen_bilstm_attn,-1,rigidity_supporting,sign_by_q8,C,test,3,3,1,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_only,ALL,validation,579,579,376,2
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_only,ALL,test,579,579,373,4
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,validation,38,38,17,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,test,38,38,26,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,validation,343,343,241,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,test,343,343,239,2
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,validation,12,12,8,0
esm3_top28_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,test,12,12,7,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,validation,342,342,179,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,test,342,342,176,1
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,validation,286,286,161,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,test,286,286,140,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,validation,52,52,35,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,test,52,52,33,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,C,validation,2,2,1,0
esm3_top28_bilstm_attn,-1,rigidity_supporting,sign_by_q8,C,test,2,2,1,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_only,ALL,validation,554,554,361,3
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_only,ALL,test,554,554,385,11
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,validation,40,40,25,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,T,test,40,40,24,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,validation,271,271,192,4
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,C,test,271,271,213,11
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,validation,2,2,0,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,H,test,2,2,0,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,validation,6,6,4,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,S,test,6,6,2,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,E,validation,2,2,0,0
esm3_top4_bilstm_attn,1,flexibility_supporting,sign_by_q8,E,test,2,2,1,0
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,validation,297,297,187,0
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_only,ALL,test,297,297,183,0
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,validation,278,278,170,0
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_by_q8,H,test,278,278,176,3
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,validation,57,57,33,0
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_by_q8,E,test,57,57,31,0
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_by_q8,C,validation,4,4,3,0
esm3_top4_bilstm_attn,-1,rigidity_supporting,sign_by_q8,C,test,4,4,4,0
